"ABORTION WITH D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY",770,MS-DRG,,,,,,,inpatient,1,UN,31943.80,12005438.65,ALIGN MCR ADV - ALL PLANS,ALIGN MCR ADV - ALL PLANS,,10945.39,,,,,,0,7818.14,31943.80,case rate,There were zero instances of the item or service in the 15 months prior to posting the file
"ABORTION WITH D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY",770,MS-DRG,,,,,,,inpatient,1,UN,31943.80,12005438.65,HUMANA COMM - ALL OTHER PLANS,HUMANA COMM - ALL OTHER PLANS,,24624.31,,,,,,0,7818.14,31943.80,case rate,There were zero instances of the item or service in the 15 months prior to posting the file
"ABORTION WITH D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY",770,MS-DRG,,,,,,,inpatient,1,UN,31943.80,12005438.65,MULTIPLAN - ALL PLANS,MULTIPLAN - ALL PLANS,,19485.72,61.00,,19485.72,,,0,7818.14,31943.80,percent of total billed charges,There were zero instances of the item or service in the 15 months prior to posting the file
"ABORTION WITH D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY",770,MS-DRG,,,,,,,inpatient,1,UN,31943.80,12005438.65,WELLCARE MCR,WELLCARE MCR,,9772.68,,,,,,0,7818.14,31943.80,case rate,There were zero instances of the item or service in the 15 months prior to posting the file
"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",281,MS-DRG,,,,,,,inpatient,1,UN,42876.84,16114401.76,LUCET BEHAV HLTH - ALL PLANS,LUCET BEHAV HLTH - ALL PLANS,,860.00,,,,,,0,775.00,42941.00,per diem,There were zero instances of the item or service in the 15 months prior to posting the file
"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITHOUT CC/MCC",282,MS-DRG,,,,,,,inpatient,1,UN,36845.26,13847555.72,BCBS FL BLUE HMO,BCBS FL BLUE HMO,,11536.34,,,,,,0,4611.00,34476.68,case rate,There were zero instances of the item or service in the 15 months prior to posting the file
"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH CC",284,MS-DRG,,,,,,,inpatient,1,UN,96997.35,36454514.05,MOLINA EXCH - ALL OTHER PLANS,MOLINA EXCH - ALL OTHER PLANS,,29099.21,30.00,,29099.21,,,0,5397.15,77597.88,percent of total billed charges,There were zero instances of the item or service in the 15 months prior to posting the file
"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH CC",284,MS-DRG,,,,,,,inpatient,1,UN,96997.35,36454514.05,PREFERRED CARE - ALL PLANS,PREFERRED CARE - ALL PLANS,,6746.43,,,,,,0,5397.15,77597.88,case rate,There were zero instances of the item or service in the 15 months prior to posting the file
"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH CC",284,MS-DRG,,,,,,,inpatient,1,UN,96997.35,36454514.05,WELLCARE HLTHY KIDS - ALL OTHER PLANS,WELLCARE HLTHY KIDS - ALL OTHER PLANS,,31155.55,32.12,,31155.55,,,0,5397.15,77597.88,percent of total billed charges,There were zero instances of the item or service in the 15 months prior to posting the file
"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC",283,MS-DRG,,,,,,,inpatient,1,UN,191370.44,71922753.67,AETNA BETTER HLTH CHIP ,AETNA BETTER HLTH CHIP ,,61468.19,32.12,,61468.19,,,0,15444.48,153096.35,percent of total billed charges,There were zero instances of the item or service in the 15 months prior to posting the file
"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC",283,MS-DRG,,,,,,,inpatient,1,UN,191370.44,71922753.67,AVMED MCR ADV,AVMED MCR ADV,,19305.59,,,,,,0,15444.48,153096.35,case rate,There were zero instances of the item or service in the 15 months prior to posting the file
"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC",283,MS-DRG,,,,,,,inpatient,1,UN,191370.44,71922753.67,DEVOTED MCR ADV - ALL PLANS,DEVOTED MCR ADV - ALL PLANS,,19884.76,,,,,,0,15444.48,153096.35,case rate,There were zero instances of the item or service in the 15 months prior to posting the file
"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC",283,MS-DRG,,,,,,,inpatient,1,UN,191370.44,71922753.67,SIMPLY HLTH MCAID - ALL OTHER PLANS,SIMPLY HLTH MCAID - ALL OTHER PLANS,,55880.17,29.20,,55880.17,,,0,15444.48,153096.35,percent of total billed charges,There were zero instances of the item or service in the 15 months prior to posting the file
"ADAPTER/EXTENSION, PACING LEAD OR NEUROSTIMULATOR LEAD (IMPLANTABLE)",0576983,CDM,0278,RC,,,C1883,HCPCS,outpatient,,,28000.00,30800.00,DIMENSION PHO - ALL PLANS,DIMENSION PHO - ALL PLANS,,22400.00,80.00,,22400,,,0,12040.00,46200.00,percent of total billed charges,There were zero instances of the item or service in the 15 months prior to posting the file
"ADAPTER/EXTENSION, PACING LEAD OR NEUROSTIMULATOR LEAD (IMPLANTABLE)",0577049,CDM,0278,RC,,,C1883,HCPCS,outpatient,,,875.00,962.50,AVMED COMM - ALL OTHER PLANS,AVMED COMM - ALL OTHER PLANS,,962.50,,,,,,0,376.25,1443.75,other,Cost Plus Markup [Rev Code] * Chg Exceeds Threshold of 669 (875.00*110 %) Term Line 766 | There were zero instances of the item or service in the 15 months prior to posting the file
