"2019 nCoV diagnostic P","U0001","HCPCS","","","","","","","facility","outpatient","","","","","","Freedom Health","Medicare Managed Care Plan","36.64","","","","","","","fee schedule","35.92","71.84","APC"
"2019 nCoV diagnostic P","U0001","HCPCS","","","","","","","facility","outpatient","","","","","","Health First Health Plans","Medicare Managed Care Plan","64.66","","","","","","","fee schedule","35.92","71.84","APC"
"2019 nCoV diagnostic P","U0001","HCPCS","","","","","","","facility","outpatient","","","","","","Simply Healthcare","Medicare Managed Care Plan","38.08","","","","","","","fee schedule","35.92","71.84","APC"
"2d tte w or w/o fol w/con,co","C8923","HCPCS","","","","","","","facility","outpatient","","","","","","Capital Health Plan Tallahassee","Medicare Managed Care Plan","818.63","","","","","","","fee schedule","818.63","1637.26","APC"
"2d tte w or w/o fol w/con,fu","C8924","HCPCS","","","","","","","facility","outpatient","","","","","","Aetna","Medicare Managed Care Plan","367.96","","","","","","","fee schedule","364.32","728.64","APC"
"2d tte w or w/o fol w/con,fu","C8924","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar","Exchange","728.64","","","","","","","fee schedule","364.32","728.64","APC"
"3-d radiotherapy plan","77295","HCPCS","","","","","","","facility","outpatient","","","","","","Molina","Exchange","2168.13","","","","","","","fee schedule","1445.42","2890.84","APC"
"4-bar link above knee w/swng","L5614","HCPCS","","","","","","","facility","outpatient","","","","","","Kaiser","Medicare Managed Care Plan","2298.04","","","","","","","fee schedule","2089.13","4178.26","APC"
"5% dextrose/normal saline","J7042","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar","Exchange","1.25","","","","","","","fee schedule","1.25","1.44",""
"ABACAVIR 20 MG/ML ORAL SOLUTION [24439]","31722-562-24","NDC","","","","","","","facility","both","1","EA","","4.06","1.42","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ABATACEPT (WITH MALTOSE) 250 MG INTRAVENOUS SOLUTION [70287]","J0129","HCPCS","0003-2187-13","NDC","","","","","facility","both","1","EA","","3016.48","1055.77","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION [148497]","J0131","HCPCS","63323-434-41","NDC","","","","","facility","both","1","EA","","0.73","0.25","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION [148497]","J0131","HCPCS","63323-434-41","NDC","","","","","facility","both","1","EA","","0.73","0.25","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ACETAMINOPHEN 80 MG CHEWABLE TABLET [99]","0904-5791-46","NDC","","","","","","","facility","both","1","EA","","0.05","0.02","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACETIC ACID 2 % EAR SOLUTION [17801]","52817-816-15","NDC","","","","","","","facility","both","1","EA","","14.34","5.02","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ACYCLOVIR 200 MG/5 ML ORAL SUSPENSION [8970]","70954-188-10","NDC","","","","","","","facility","both","1","EA","","36.53","12.78","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ADENOSINE 3 MG/ML INTRAVENOUS SOLUTION [8975]","J0153","HCPCS","67457-855-02","NDC","","","","","facility","both","1","EA","","249.96","87.48","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"AFO supramalleolar custom","L1907","HCPCS","","","","","","","facility","outpatient","","","","","","Freedom Health","Medicare Managed Care Plan","709.18","","","","","","","fee schedule","695.27","1390.54","APC"
"ALBUMIN, HUMAN 5 % INTRAVENOUS SOLUTION [8982]","P9041","HCPCS","68209-623-02","NDC","","","","","facility","both","1","EA","","3.41","1.19","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ALBUMIN, HUMAN 5 % INTRAVENOUS SOLUTION [8982]","P9041","HCPCS","68209-623-03","NDC","","","","","facility","both","1","EA","","3.41","1.19","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ALBUTEROL SULFATE HFA 90 MCG/ACTUATION AEROSOL INHALER [17837]","59310-579-22","NDC","","","","","","","facility","both","1","EA","","50.46","17.66","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 G"
"ALLOPURINOL 100 MG TABLET [310]","0603-2115-21","NDC","","","","","","","facility","both","1","EA","","0.31","0.11","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ALMOTRIPTAN MALATE 12.5 MG TABLET [30322]","27241-042-21","NDC","","","","","","","facility","both","1","EA","","33","11.55","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ALPRAZOLAM 0.25 MG TABLET [324]","59762-3719-1","NDC","","","","","","","facility","both","1","EA","","0.04","0.01","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ALUM, AMMONIUM TOPICAL POWDER [106985]","1093913801","NDC","","","","","","","facility","both","1","EA","","4.06","1.42","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 G"
"AMANTADINE HCL 100 MG CAPSULE [364]","0781-2048-01","NDC","","","","","","","facility","both","1","EA","","1.62","0.57","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMBRISENTAN 5 MG TABLET [82307]","61958-0801-2","NDC","","","","","","","facility","both","1","EA","","288.58","101.00","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
