"AMPICILLIN 2 GRAM SOLUTION FOR INJECTION [472]","J0290","HCPCS","67457-352-10","NDC","","","","","facility","both","1","EA","","279.78","97.92","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMPICILLIN-SULBACTAM 1.5 GRAM SOLUTION FOR INJECTION [32470]","J0295","HCPCS","0641-6116-01","NDC","","","","","facility","both","1","EA","","109.52","38.33","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMPICILLIN-SULBACTAM 3 GRAM SOLUTION FOR INJECTION [32471]","J0295","HCPCS","25021-143-30","NDC","","","","","facility","both","1","EA","","219.03","76.66","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ANTIHEMOPHILIC FACTOR-VWF 500 UNIT-1,200 UNIT INTRAVENOUS SOLUTION [70405]","J7187","HCPCS","0053-7615-10","NDC","","","","","facility","both","1","EA","","15461.24","5411.43","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"APRACLONIDINE 0.5 % EYE DROPS [9119]","61314-665-05","NDC","","","","","","","facility","both","1","EA","","101.19","35.42","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ARIPIPRAZOLE 30 MG TABLET [34372]","60687-213-21","NDC","","","","","","","facility","both","1","EA","","12.81","4.48","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ASCORBIC ACID (VITAMIN C) 500 MG/ML INJECTION SOLUTION [654]","67457-118-50","NDC","","","","","","","facility","both","1","EA","","70.35","24.62","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ASPIRIN 81 MG TABLET,DELAYED RELEASE [688]","0536-1234-41","NDC","","","","","","","facility","both","1","EA","","0.02","0.0077","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ASPIRIN 81 MG TABLET,DELAYED RELEASE [688]","0603-0026-22","NDC","","","","","","","facility","both","1","EA","","0.01","0.00385","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ASPIRIN 81 MG TABLET,DELAYED RELEASE [688]","63739-272-10","NDC","","","","","","","facility","both","1","EA","","0.05","0.02","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ATENOLOL 50 MG TABLET [718]","0781-1506-10","NDC","","","","","","","facility","both","1","EA","","0.02","0.00595","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ATORVASTATIN 80 MG TABLET [28645]","51079-211-01","NDC","","","","","","","facility","both","1","EA","","0.54","0.19","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ATROPINE 0.4 MG/ML INJECTION SOLUTION [731]","J0461","HCPCS","0641-6006-10","NDC","","","","","facility","both","1","EA","","51.54","18.04","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
