"2019 nCoV diagnostic P","U0001","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar","Exchange","71.84","","","","","","","fee schedule","35.92","71.84","APC"
"2d cephalometric image","D0340","HCPCS","","","","","","","facility","outpatient","","","","","","Kaiser","Medicare Managed Care Plan","99.97","","","","","","","fee schedule","90.88","181.76","APC"
"2d cephalometric image","D0340","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar","Exchange","181.76","","","","","","","fee schedule","90.88","181.76","APC"
"2d cephalometric image","D0340","HCPCS","","","","","","","facility","outpatient","","","","","","Sunshine Health","Ambetter Value Exchange","137.61","","","","","","","fee schedule","90.88","181.76","APC"
"2d tte w or w/o fol w/con,fu","C8924","HCPCS","","","","","","","facility","outpatient","","","","","","Capital Health Plan Tallahassee","Medicare Managed Care Plan","364.32","","","","","","","fee schedule","364.32","728.64","APC"
"3d cntr simula trgt lvr les","0944T","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar","Exchange","498.33","","","","","","","fee schedule","249.17","498.33","APC"
"4-bar link above knee w/swng","L5614","HCPCS","","","","","","","facility","outpatient","","","","","","Ultimate Health Plans","Medicare Managed Care Plan","2193.59","","","","","","","fee schedule","2089.13","4178.26","APC"
"5% dextrose in lac ringers","J7121","HCPCS","","","","","","","facility","outpatient","","","","","","Unitedhealthcare","Exchange","7.38","","","","","","","fee schedule","7.38","7.38",""
"ACETAMINOPHEN 325 MG TABLET [101]","49348-973-10","NDC","","","","","","","facility","both","1","EA","","0.06","0.02","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACETIC ACID (BULK) 5 % LIQUID [14702]","5155200558","NDC","","","","","","","facility","both","1","EA","","0.42","0.15","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ACETYLCHOLINE 50 MCG/2 ML (25 MCG/ML) SYRINGE 3 (PHARMACY PREMIX) [411272]","9999-0702-01","NDC","","","","","","","facility","both","1","EA","","3.05","1.07","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 SYRINGE"
"ACETYLCYSTEINE 20% (200 MG/ML) ORAL SOLN [152975]","0517-7604-25","NDC","","","","","","","facility","both","1","EA","","6.04","2.12","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION [23128]","J0133","HCPCS","55150-154-11","NDC","","","","","facility","both","1","EA","","33.26","11.64","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION [23128]","J0133","HCPCS","63323-325-20","NDC","","","","","facility","both","1","EA","","33.26","11.64","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ADUCANUMAB-AVWA 100 MG/ML INTRAVENOUS SOLUTION [191989]","J0172","HCPCS","64406-102-02","NDC","","","","","facility","both","1","EA","","1937.38","678.08","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"AFO supramalleolar custom","L1907","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Medicare Managed Care Plan","743.94","","","","","","","fee schedule","695.27","1390.54","APC"
