"2d tee w or w/o fol w/con,in","C8925","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar","Exchange","1637.26","","","","","","","fee schedule","818.63","1637.26","APC"
"2d tee w or w/o fol w/con,in","C8925","HCPCS","","","","","","","facility","outpatient","","","","","","Simply Healthcare","Medicare Managed Care Plan","867.75","","","","","","","fee schedule","818.63","1637.26","APC"
"3d bn img algor drvd fr mri","G0566","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Medicare Managed Care Plan","143.78","","","","","","","fee schedule","134.37","268.74","APC"
"4-bar link above knee w/swng","L5614","HCPCS","","","","","","","facility","outpatient","","","","","","Longevity","Medicare Managed Care Plan","2277.15","","","","","","","fee schedule","2089.13","4178.26","APC"
"AK/BK self-aligning unit ea","L5617","HCPCS","","","","","","","facility","outpatient","","","","","","Sunshine Health","Ambetter Exchange","1108.3","","","","","","","fee schedule","692.69","1385.38","APC"
"ALBUTEROL SULFATE CONCENTRATE 5 MG/ML(0.5 %) SOLUTION FOR NEBULIZATION [251]","J7611","HCPCS","50383-741-20","NDC","","","","","facility","both","1","EA","","23.62","8.27","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ALENDRONATE 10 MG TABLET [15661]","16714-631-01","NDC","","","","","","","facility","both","1","EA","","0.33","0.12","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ALMOTRIPTAN MALATE 12.5 MG TABLET [30322]","0062-2085-12","NDC","","","","","","","facility","both","1","EA","","26.60","9.31","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ALMOTRIPTAN MALATE 12.5 MG TABLET [30322]","27241-042-68","NDC","","","","","","","facility","both","1","EA","","33","11.55","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ALPRAZOLAM 0.25 MG TABLET [324]","0781-1061-01","NDC","","","","","","","facility","both","1","EA","","0.02","0.00875","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ALPROSTADIL 500 MCG/ML INJECTION SOLUTION [9001]","J0270","HCPCS","0009-0215-05","NDC","","","","","facility","both","1","EA","","5240.07","1834.03","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ALUMINUM-MAG HYDROXIDE-SIMETHICONE 200 MG-200 MG-20 MG/5 ML ORAL SUSP [38285]","0904-7325-62","NDC","","","","","","","facility","both","1","EA","","0.04","0.02","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"AMANTADINE HCL 100 MG CAPSULE [364]","50268-069-15","NDC","","","","","","","facility","both","1","EA","","2.00","0.70","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMANTADINE HCL 50 MG/5 ML ORAL SOLUTION [365]","G9017","HCPCS","0121-0646-16","NDC","","","","","facility","both","1","EA","","14.17","4.96","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"AMINO ACID 5 % NO.6 IN DEXTROSE 20 % INTRAVENOUS SOLUTION [27933]","0338-1101-04","NDC","","","","","","","facility","both","1","EA","","0.01","0.0035","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"AMITRIPTYLINE 50 MG TABLET [436]","0781-1488-01","NDC","","","","","","","facility","both","1","EA","","0.57","0.20","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMIVANTAMAB-VMJW 50 MG/ML INTRAVENOUS SOLUTION [191759]","J9061","HCPCS","57894-501-00","NDC","","","","","facility","both","1","EA","","2250.5","787.68","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"AMIVANTAMAB-VMJW 50 MG/ML INTRAVENOUS SOLUTION [191759]","J9061","HCPCS","57894-501-01","NDC","","","","","facility","both","1","EA","","2250.5","787.68","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"AMLODIPINE 5 MG TABLET [9071]","60687-488-11","NDC","","","","","","","facility","both","1","EA","","0.16","0.05","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMOXICILLIN 250 MG CAPSULE [450]","0093-3107-93","NDC","","","","","","","facility","both","1","EA","","0.12","0.04","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMOXICILLIN 250 MG CAPSULE [450]","0781-2020-01","NDC","","","","","","","facility","both","1","EA","","0.12","0.04","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
