"""""""Hb Thrc Fascial Pln Blk Uni Njx""","76101330","CDM","","","","","","","facility","both","","","","4340","1519","","","","","","","","","","","","","Gross Charge Type: Fsid 100"
"2d cephalometric image","D0340","HCPCS","","","","","","","facility","outpatient","","","","","","Health First Health Plans","Medicare Managed Care Plan","163.58","","","","","","","fee schedule","90.88","181.76","APC"
"2d tee w or w/o fol w/con,in","C8925","HCPCS","","","","","","","facility","outpatient","","","","","","Baycare","Medicare Managed Care Plan","843.19","","","","","","","fee schedule","818.63","1637.26","APC"
"2d tee w or w/o fol w/con,in","C8925","HCPCS","","","","","","","facility","outpatient","","","","","","Molina","Exchange","1227.95","","","","","","","fee schedule","818.63","1637.26","APC"
"3-d radiotherapy plan","77295","HCPCS","","","","","","","facility","outpatient","","","","","","Capital Health Plan Tallahassee","Medicare Managed Care Plan","1445.42","","","","","","","fee schedule","1445.42","2890.84","APC"
"3d anat seg imaging preop","C8001","HCPCS","","","","","","","facility","outpatient","","","","","","Molina","Exchange","201.56","","","","","","","fee schedule","134.37","268.74","APC"
"3d anat seg imaging preop","C8001","HCPCS","","","","","","","facility","outpatient","","","","","","Truli For Health","All Commercial Plans","255.3","","","","","","","fee schedule","134.37","268.74","APC"
"3d bn img algor drvd fr mri","G0566","HCPCS","","","","","","","facility","outpatient","","","","","","Truli For Health","All Commercial Plans","255.3","","","","","","","fee schedule","134.37","268.74","APC"
"ABACAVIR 300 MG TABLET [24438]","51079-204-06","NDC","","","","","","","facility","both","1","EA","","8.64","3.02","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACAMPROSATE 333 MG TABLET,DELAYED RELEASE [39720]","60687-121-25","NDC","","","","","","","facility","both","1","EA","","2.26","0.79","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACEBUTOLOL 200 MG CAPSULE [8939]","50268-050-15","NDC","","","","","","","facility","both","1","EA","","1.48","0.52","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY [103]","70677-1270-1","NDC","","","","","","","facility","both","1","EA","","2.45","0.86","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
