"2d tee w or w/o fol w/con,in","C8925","HCPCS","","","","","","","facility","outpatient","","","","","","Aetna","Medicare Managed Care Plan","826.82","","","","","","","fee schedule","818.63","1637.26","APC"
"2d tte w or w/o fol w/con,fu","C8924","HCPCS","","","","","","","facility","outpatient","","","","","","Sunshine Health","Ambetter Exchange","582.91","","","","","","","fee schedule","364.32","728.64","APC"
"3d anat seg imaging preop","C8001","HCPCS","","","","","","","facility","outpatient","","","","","","Devoted Health","Medicare Managed Care Plan","150.49","","","","","","","fee schedule","134.37","268.74","APC, OP Rate"
"3d cntr simula trgt lvr les","0944T","HCPCS","","","","","","","facility","outpatient","","","","","","Kaiser","Medicare Managed Care Plan","274.08","","","","","","","fee schedule","249.17","498.33","APC"
"3d cntr simula trgt lvr les","0944T","HCPCS","","","","","","","facility","outpatient","","","","","","Truli For Health","All Commercial Plans","473.42","","","","","","","fee schedule","249.17","498.33","APC"
"ABACAVIR 300 MG TABLET [24438]","51079-204-01","NDC","","","","","","","facility","both","1","EA","","8.64","3.02","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY [103]","0713-0118-50","NDC","","","","","","","facility","both","1","EA","","0.48","0.17","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY [103]","51672-2115-0","NDC","","","","","","","facility","both","1","EA","","0.7","0.24","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 325 MG TABLET [101]","63739-087-02","NDC","","","","","","","facility","both","1","EA","","0.05","0.02","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACETAZOLAMIDE 250 MG TABLET [113]","51672-4023-1","NDC","","","","","","","facility","both","1","EA","","0.35","0.12","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACETYLCYSTEINE PEDIATRIC 10 % COMPOUNDED RECTAL SOLUTION [408698]","9999-0249-01","NDC","","","","","","","facility","both","1","EA","","181.28","63.45","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 BOTTLE"
"ADENOSINE 3 MG/ML INTRAVENOUS SOLUTION [8975]","J0153","HCPCS","63323-651-02","NDC","","","","","facility","both","1","EA","","249.96","87.48","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"AFO w/ankle joint, prefab","L1971","HCPCS","","","","","","","facility","outpatient","","","","","","Simply Healthcare","Exchange","973.01","","","","","","","fee schedule","579.17","1158.34","APC"
"AK/BK self-aligning unit ea","L5617","HCPCS","","","","","","","facility","outpatient","","","","","","Simply Healthcare","Exchange","1163.72","","","","","","","fee schedule","692.69","1385.38","APC"
"ALBUMIN, HUMAN 25 % INTRAVENOUS SOLUTION [8981]","P9047","HCPCS","0053-7680-33","NDC","","","","","facility","both","1","EA","","11.65","4.08","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ALBUMIN, HUMAN 5 % INTRAVENOUS SOLUTION [8982]","P9041","HCPCS","0944-0495-05","NDC","","","","","facility","both","1","EA","","3.41","1.19","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ALBUTEROL SULFATE HFA 90 MCG/ACTUATION AEROSOL INHALER [17837]","45802-088-01","NDC","","","","","","","facility","both","1","EA","","50.46","17.66","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 G"
"ALFUZOSIN ER 10 MG TABLET,EXTENDED RELEASE 24 HR [36982]","0024-4200-10","NDC","","","","","","","facility","both","1","EA","","12.32","4.31","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ALLOPURINOL 100 MG TABLET [310]","0904-6571-61","NDC","","","","","","","facility","both","1","EA","","0.33","0.12","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ALPRAZOLAM 0.25 MG TABLET [324]","60687-377-11","NDC","","","","","","","facility","both","1","EA","","0.30","0.11","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ALPRAZOLAM 0.25 MG TABLET [324]","63739-644-10","NDC","","","","","","","facility","both","1","EA","","0.06","0.02","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ALPRAZOLAM 0.25 MG TABLET [324]","68084-647-11","NDC","","","","","","","facility","both","1","EA","","0.12","0.04","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ALPRAZOLAM 1 MG TABLET [326]","59762-3721-1","NDC","","","","","","","facility","both","1","EA","","0.07","0.03","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ALVIMOPAN 12 MG CAPSULE [91870]","11227-010-31","NDC","","","","","","","facility","both","1","EA","","84.14","29.45","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMBRISENTAN 5 MG TABLET [82307]","47335-236-83","NDC","","","","","","","facility","both","1","EA","","38.40","13.44","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMINOCAPROIC ACID 250 MG/ML INTRAVENOUS SOLUTION [403]","J0281","HCPCS","0517-9191-01","NDC","","","","","facility","both","1","EA","","1.39","0.49","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"AMINOCAPROIC ACID 500 MG TABLET [9063]","66479-021-82","NDC","","","","","","","facility","both","1","EA","","2.78","0.97","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMIODARONE 200 MG TABLET [9066]","0904-6993-61","NDC","","","","","","","facility","both","1","EA","","0.30","0.10","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMITRIPTYLINE 75 MG TABLET [437]","0378-2675-01","NDC","","","","","","","facility","both","1","EA","","0.86","0.30","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMLODIPINE 10 MG TABLET [9069]","68382-123-05","NDC","","","","","","","facility","both","1","EA","","0.04","0.01","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMLODIPINE 2.5 MG TABLET [9070]","51079-450-01","NDC","","","","","","","facility","both","1","EA","","0.17","0.06","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ANTITHROMBIN III (HUMAN) 500 (+/-) UNIT INTRAVENOUS SOLUTION [9116]","J7197","HCPCS","13533-603-20","NDC","","","","","facility","both","1","EA","","7730.62","2705.72","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ASPIRIN 325 MG TABLET,DELAYED RELEASE [685]","57896-921-01","NDC","","","","","","","facility","both","1","EA","","0.02","0.00525","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ASPIRIN 81 MG TABLET,DELAYED RELEASE [688]","0536-3086-41","NDC","","","","","","","facility","both","1","EA","","0.02","0.0077","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ATENOLOL 50 MG TABLET [718]","0182-8236-89","NDC","","","","","","","facility","both","1","EA","","0.09","0.03","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ATOMOXETINE 25 MG CAPSULE [34446]","50268-057-13","NDC","","","","","","","facility","both","1","EA","","3.51","1.23","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
