"""""""Hb 43999 Unlisted Procedure Stomach""","75000184","CDM","750","RC","","","","","facility","both","","","","6069","2124.15","","","","","","","","","","","","","Gross Charge Type: Fsid 100"
"ASENAPINE 5 MG SUBLINGUAL TABLET [99754]","0456-2405-60","NDC","","","","","","","facility","both","1","EA","","20.01","7.00","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ASENAPINE 5 MG SUBLINGUAL TABLET [99754]","0456-2405-63","NDC","","","","","","","facility","both","1","EA","","20.01","7.00","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ASPIRIN 25 MG-DIPYRIDAMOLE 200 MG CAPSULE,EXT.RELEASE 12 HR MULTIPHASE [27644]","60687-305-32","NDC","","","","","","","facility","both","1","EA","","10.5","3.68","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ASPIRIN 81 MG TABLET,DELAYED RELEASE [688]","63739-212-02","NDC","","","","","","","facility","both","1","EA","","0.05","0.02","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ATAZANAVIR 150 MG CAPSULE [36149]","0003-3624-12","NDC","","","","","","","facility","both","1","EA","","24.39","8.54","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ATAZANAVIR 200 MG CAPSULE [36150]","59762-0409-6","NDC","","","","","","","facility","both","1","EA","","14.63","5.12","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ATENOLOL 100 MG TABLET [716]","52427-431-90","NDC","","","","","","","facility","both","1","EA","","13.36","4.67","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ATENOLOL 50 MG TABLET [718]","51079-684-01","NDC","","","","","","","facility","both","1","EA","","0.09","0.03","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ATOMOXETINE 10 MG CAPSULE [34444]","68462-265-30","NDC","","","","","","","facility","both","1","EA","","1.59","0.56","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ATORVASTATIN 20 MG TABLET [19178]","51079-209-01","NDC","","","","","","","facility","both","1","EA","","0.37","0.13","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ATORVASTATIN 20 MG TABLET [19178]","68084-565-11","NDC","","","","","","","facility","both","1","EA","","0.74","0.26","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ATROPINE 0.1 MG/ML INJECTION SYRINGE [730]","J0461","HCPCS","0409-1630-10","NDC","","","","","facility","both","1","EA","","12.88","4.51","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ATROPINE 0.1 MG/ML INJECTION SYRINGE [730]","J0461","HCPCS","0409-4911-34","NDC","","","","","facility","both","1","EA","","12.88","4.51","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"Abd paracentesis","49082","HCPCS","","","","","","","facility","outpatient","","","","","","Aetna","Medicare Managed Care Plan","956.62","","","","","","","fee schedule","947.15","2923","APC"
"Abd paracentesis","49082","HCPCS","","","","","","","facility","outpatient","","","","","","Baycare","Medicare Managed Care Plan","975.56","","","","","","","fee schedule","947.15","2923","APC"
