"2019 nCoV diagnostic P","U0001","HCPCS","","","","","","","facility","outpatient","","","","","","Kaiser","Medicare Managed Care Plan","39.51","","","","","","","fee schedule","35.92","71.84","APC"
"2d tte w or w/o fol w/con,co","C8923","HCPCS","","","","","","","facility","outpatient","","","","","","Bcbs","Medicare Managed Care Plan","831.98","","","","","","","fee schedule","818.63","1637.26","APC"
"2d tte w or w/o fol w/con,co","C8923","HCPCS","","","","","","","facility","outpatient","","","","","","Molina","Exchange","1227.95","","","","","","","fee schedule","818.63","1637.26","APC"
"2d tte w or w/o fol w/con,fu","C8924","HCPCS","","","","","","","facility","outpatient","","","","","","Bcbs","Medicare Managed Care Plan","370.26","","","","","","","fee schedule","364.32","728.64","APC"
"3d bn img algor drvd fr mri","G0566","HCPCS","","","","","","","facility","outpatient","","","","","","Baycare","Medicare Managed Care Plan","138.4","","","","","","","fee schedule","134.37","268.74","APC"
"5% dextrose/water","J7060","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Hmo","2.06","","","","","","","fee schedule","1.82","2.2",""
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION [148497]","J0134","HCPCS","63323-434-00","NDC","","","","","facility","both","1","EA","","0.73","0.25","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION [148497]","J0134","HCPCS","63323-434-00","NDC","","","","","facility","both","1","EA","","0.73","0.25","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ACETAMINOPHEN 325 MG TABLET [101]","57896-102-10","NDC","","","","","","","facility","both","1","EA","","0.01","0.00385","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACETIC ACID 0.25 % IRRIGATION SOLUTION [8963]","0264-2304-00","NDC","","","","","","","facility","both","1","EA","","236.75","82.86","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 BOTTLE"
"ACTIVATED CHARCOAL 50 GRAM/240 ML ORAL SUSPENSION [109510]","0574-0121-08","NDC","","","","","","","facility","both","1","EA","","0.10","0.03","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ACYCLOVIR 400 MG TABLET [8971]","50268-061-11","NDC","","","","","","","facility","both","1","EA","","0.29","0.10","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AFO w/ankle joint, prefab","L1971","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Medicare Managed Care Plan","619.71","","","","","","","fee schedule","579.17","1158.34","APC"
"AFO w/ankle joint, prefab","L1971","HCPCS","","","","","","","facility","outpatient","","","","","","Truli For Health","All Commercial Plans","1100.42","","","","","","","fee schedule","579.17","1158.34","APC"
"AFO w/ankle joint, prefab","L1971","HCPCS","","","","","","","facility","outpatient","","","","","","Ultimate Health Plans","Medicare Managed Care Plan","608.13","","","","","","","fee schedule","579.17","1158.34","APC"
