"2d tee w or w/o fol w/con,in","C8925","HCPCS","","","","","","","facility","outpatient","","","","","","Care Plus Health Plans","Medicare Managed Care Plan","831.73","","","","","","","fee schedule","818.63","1637.26","APC"
"2d tte w or w/o fol w/con,co","C8923","HCPCS","","","","","","","facility","outpatient","","","","","","Freedom Health","Medicare Managed Care Plan","835","","","","","","","fee schedule","818.63","1637.26","APC"
"2d tte w or w/o fol w/con,co","C8923","HCPCS","","","","","","","facility","outpatient","","","","","","Ultimate Health Plans","Medicare Managed Care Plan","859.56","","","","","","","fee schedule","818.63","1637.26","APC"
"2d tte w or w/o fol w/con,fu","C8924","HCPCS","","","","","","","facility","outpatient","","","","","","Health First Health Plans","Medicare Managed Care Plan","655.78","","","","","","","fee schedule","364.32","728.64","APC"
"3-d radiotherapy plan","77295","HCPCS","","","","","","","facility","outpatient","","","","","","Sunshine Health","Ambetter Exchange","2312.67","","","","","","","fee schedule","1445.42","2890.84","APC"
"3d anat seg imaging preop","C8001","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar","Exchange","268.74","","","","","","","fee schedule","134.37","268.74","APC"
"3d bn img algor drvd fr mri","G0566","HCPCS","","","","","","","facility","outpatient","","","","","","Longevity","Medicare Managed Care Plan","146.46","","","","","","","fee schedule","134.37","268.74","APC"
"ABACAVIR 300 MG TABLET [24438]","49702-221-44","NDC","","","","","","","facility","both","1","EA","","9.31","3.26","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ABATACEPT (WITH MALTOSE) 250 MG INTRAVENOUS SOLUTION [70287]","J0129","HCPCS","0003-2187-10","NDC","","","","","facility","both","1","EA","","3016.48","1055.77","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 650 MG RECTAL SUPPOSITORY [105]","45802-730-33","NDC","","","","","","","facility","both","1","EA","","0.20","0.07","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 650 MG/20.3 ML ORAL SOLUTION [113787]","0121-1971-21","NDC","","","","","","","facility","both","1","EA","","0.33","0.12","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ACETIC ACID 2 % EAR SOLUTION [17801]","50383-889-15","NDC","","","","","","","facility","both","1","EA","","14.34","5.02","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
