"""Hb Guide Wire 35"""" X 300Cm""","27204955_C1769_272","CDM","272","RC","C1769","HCPCS","","","facility","both","","","","1179.12","412.69","","","","","","","","","","","","","Gross Charge Type: Fsid 100 | Price is variable based on underlying billing methodology - especially, for drug and supply items."
"""Hb Tubing 1/2""""""","27204484_272","CDM","272","RC","","","","","facility","both","","","","1752.18","613.26","","","","","","","","","","","","","Gross Charge Type: Fsid 100 | Price is variable based on underlying billing methodology - especially, for drug and supply items."
"2d tte w or w/o fol w/con,co","C8923","HCPCS","","","","","","","facility","outpatient","","","","","","Truli For Health","All Commercial Plans","1555.4","","","","","","","fee schedule","818.63","1637.26","APC"
"2d tte w or w/o fol w/con,fu","C8924","HCPCS","","","","","","","facility","outpatient","","","","","","Kaiser","Medicare Managed Care Plan","400.75","","","","","","","fee schedule","364.32","728.64","APC"
"3d anat seg imaging preop","C8001","HCPCS","","","","","","","facility","outpatient","","","","","","Freedom Health","Medicare Managed Care Plan","137.06","","","","","","","fee schedule","134.37","268.74","APC"
"3d cntr simula trgt lvr les","0944T","HCPCS","","","","","","","facility","outpatient","","","","","","Care Plus Health Plans","Medicare Managed Care Plan","253.15","","","","","","","fee schedule","249.17","498.33","APC"
"5% dextrose/normal saline","J7042","HCPCS","","","","","","","facility","outpatient","","","","","","Unitedhealthcare","Hmo/Pos","1.44","","","","","","","fee schedule","1.25","1.44",""
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION [148497]","J0137","HCPCS","0143-9386-01","NDC","","","","","facility","both","1","EA","","0.73","0.25","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION [148497]","J0137","HCPCS","0143-9386-01","NDC","","","","","facility","both","1","EA","","0.73","0.25","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ACETAMINOPHEN 325 MG TABLET [101]","50580-501-10","NDC","","","","","","","facility","both","1","EA","","0.05","0.02","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION [114]","J1120","HCPCS","0143-9503-01","NDC","","","","","facility","both","1","EA","","325.18","113.81","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ADEFOVIR 10 MG TABLET [33816]","42794-003-08","NDC","","","","","","","facility","both","1","EA","","29.83","10.44","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ADO-TRASTUZUMAB EMTANSINE 100 MG INTRAVENOUS SOLUTION [161667]","J9354","HCPCS","50242-088-01","NDC","","","","","facility","both","1","EA","","16028.15","5609.85","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AFO spiral prefabricated","L1951","HCPCS","","","","","","","facility","outpatient","","","","","","Devoted Health","Medicare Managed Care Plan","1162.24","","","","","","","fee schedule","1037.71","2075.42","APC, OP Rate"
"AFO w/ankle joint, prefab","L1971","HCPCS","","","","","","","facility","outpatient","","","","","","Aetna","Medicare Managed Care Plan","584.96","","","","","","","fee schedule","579.17","1158.34","APC"
"ALBENDAZOLE 200 MG TABLET [8979]","16714-907-01","NDC","","","","","","","facility","both","1","EA","","191.18","66.91","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ALBUMIN, HUMAN 5 % INTRAVENOUS SOLUTION [8982]","P9041","HCPCS","0053-7670-92","NDC","","","","","facility","both","1","EA","","3.42","1.20","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ALBUTEROL SULFATE 2 MG/5 ML ORAL SYRUP [252]","50383-740-16","NDC","","","","","","","facility","both","1","EA","","23.00","8.05","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ALBUTEROL SULFATE 2.5 MG/3 ML (0.083 %) SOLUTION FOR NEBULIZATION [250]","J7613","HCPCS","0378-6990-98","NDC","","","","","facility","both","1","EA","","7.16","2.51","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ALLOPURINOL 100 MG TABLET [310]","62584-988-11","NDC","","","","","","","facility","both","1","EA","","0.41","0.14","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ALPRAZOLAM 0.25 MG TABLET [324]","60687-377-01","NDC","","","","","","","facility","both","1","EA","","0.30","0.11","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ALPRAZOLAM 0.25 MG TABLET [324]","68084-018-01","NDC","","","","","","","facility","both","1","EA","","0.06","0.02","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ALPRAZOLAM 1 MG TABLET [326]","68084-020-01","NDC","","","","","","","facility","both","1","EA","","0.08","0.03","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ALPROSTADIL 500 MCG/ML INJECTION SOLUTION [9001]","J0270","HCPCS","0009-3169-06","NDC","","","","","facility","both","1","EA","","5240.07","1834.03","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"AMBRISENTAN 5 MG TABLET [82307]","61958-0801-1","NDC","","","","","","","facility","both","1","EA","","412.47","144.37","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMINO ACID 5 % NO.6-DEXTROSE 15 %-ELECTROLYTES NO.23 IV SOLUTION [27963]","0338-1123-04","NDC","","","","","","","facility","both","1","EA","","0.01","0.0035","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"AMINOCAPROIC ACID 250 MG/ML (25 %) ORAL SOLUTION [9062]","66479-023-56","NDC","","","","","","","facility","both","1","EA","","45.30","15.85","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"AMINOLEVULINIC ACID HCL 30 MG/ML ORAL SOLUTION [183087]","59137-231-01","NDC","","","","","","","facility","both","1","EA","","8949.28","3132.25","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMOXICILLIN 875 MG-POTASSIUM CLAVULANATE 125 MG TABLET [33228]","16714-014-01","NDC","","","","","","","facility","both","1","EA","","0.91","0.32","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMPICILLIN 1 GRAM SOLUTION FOR INJECTION [469]","J0290","HCPCS","0781-3404-85","NDC","","","","","facility","both","1","EA","","146.88","51.41","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMPICILLIN 500 MG SOLUTION FOR INJECTION [474]","J0290","HCPCS","25021-135-10","NDC","","","","","facility","both","1","EA","","73.44","25.70","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMPICILLIN-SULBACTAM 3 GRAM SOLUTION FOR INJECTION [32471]","J0295","HCPCS","0781-3033-95","NDC","","","","","facility","both","1","EA","","219.03","76.66","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
