"2d cephalometric image","D0340","HCPCS","","","","","","","facility","outpatient","","","","","","Devoted Health","Medicare Managed Care Plan","101.78","","","","","","","fee schedule","90.88","181.76","APC, OP Rate"
"2d cephalometric image","D0340","HCPCS","","","","","","","facility","outpatient","","","","","","Molina","Exchange","136.32","","","","","","","fee schedule","90.88","181.76","APC"
"3-d radiotherapy plan","77295","HCPCS","","","","","","","facility","outpatient","","","","","","Devoted Health","Medicare Managed Care Plan","1618.87","","","","","","","fee schedule","1445.42","2890.84","APC, OP Rate"
"3d anat seg imaging preop","C8001","HCPCS","","","","","","","facility","outpatient","","","","","","Capital Health Plan Tallahassee","Medicare Managed Care Plan","134.37","","","","","","","fee schedule","134.37","268.74","APC"
"3d bn img algor drvd fr mri","G0566","HCPCS","","","","","","","facility","outpatient","","","","","","Care Plus Health Plans","Medicare Managed Care Plan","136.52","","","","","","","fee schedule","134.37","268.74","APC"
"3d cntr simula trgt lvr les","0944T","HCPCS","","","","","","","facility","outpatient","","","","","","Devoted Health","Medicare Managed Care Plan","279.07","","","","","","","fee schedule","249.17","498.33","APC, OP Rate"
"3d cntr simula trgt lvr les","0944T","HCPCS","","","","","","","facility","outpatient","","","","","","Longevity","Medicare Managed Care Plan","271.59","","","","","","","fee schedule","249.17","498.33","APC"
"3d cntr simula trgt lvr les","0944T","HCPCS","","","","","","","facility","outpatient","","","","","","Simply Healthcare","Medicare Managed Care Plan","264.12","","","","","","","fee schedule","249.17","498.33","APC"
"3d cntr simula trgt lvr les","0944T","HCPCS","","","","","","","facility","outpatient","","","","","","Ultimate Health Plans","Medicare Managed Care Plan","261.63","","","","","","","fee schedule","249.17","498.33","APC"
"ABACAVIR 300 MG TABLET [24438]","68084-021-21","NDC","","","","","","","facility","both","1","EA","","8.82","3.09","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACYCLOVIR 400 MG TABLET [8971]","0173-0949-55","NDC","","","","","","","facility","both","1","EA","","8.34","2.92","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ADENOSINE (DIAGNOSTIC) 3 MG/ML INTRAVENOUS SOLUTION [15330]","J0153","HCPCS","67457-857-30","NDC","","","","","facility","both","1","EA","","249.96","87.48","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"AFO spiral prefabricated","L1951","HCPCS","","","","","","","facility","outpatient","","","","","","Capital Health Plan Tallahassee","Medicare Managed Care Plan","1037.71","","","","","","","fee schedule","1037.71","2075.42","APC"
"AFO spiral prefabricated","L1951","HCPCS","","","","","","","facility","outpatient","","","","","","Kaiser","Medicare Managed Care Plan","1141.48","","","","","","","fee schedule","1037.71","2075.42","APC"
