"2019 nCoV diagnostic P","U0001","HCPCS","","","","","","","facility","outpatient","","","","","","Longevity","Medicare Managed Care Plan","39.15","","","","","","","fee schedule","35.92","71.84","APC"
"2019 nCoV diagnostic P","U0001","HCPCS","","","","","","","facility","outpatient","","","","","","Molina","Exchange","53.88","","","","","","","fee schedule","35.92","71.84","APC"
"2019 nCoV diagnostic P","U0001","HCPCS","","","","","","","facility","outpatient","","","","","","Sunshine Health","Ambetter Exchange","57.47","","","","","","","fee schedule","35.92","71.84","APC"
"2d tte w or w/o fol w/con,co","C8923","HCPCS","","","","","","","facility","outpatient","","","","","","Devoted Health","Medicare Managed Care Plan","916.87","","","","","","","fee schedule","818.63","1637.26","APC, OP Rate"
"3d bn img algor drvd fr mri","G0566","HCPCS","","","","","","","facility","outpatient","","","","","","Molina","Exchange","201.56","","","","","","","fee schedule","134.37","268.74","APC"
"4-bar link above knee w/swng","L5614","HCPCS","","","","","","","facility","outpatient","","","","","","Sunshine Health","Ambetter Exchange","3342.61","","","","","","","fee schedule","2089.13","4178.26","APC"
"4-bar link above knee w/swng","L5614","HCPCS","","","","","","","facility","outpatient","","","","","","Sunshine Health","Ambetter Value Exchange","3163.36","","","","","","","fee schedule","2089.13","4178.26","APC"
"ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SOLUTION [113785]","0121-0657-00","NDC","","","","","","","facility","both","1","EA","","1.35","0.47","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ACETAMINOPHEN 325 MG TABLET [101]","71399-8014-1","NDC","","","","","","","facility","both","1","EA","","0.04","0.01","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACETIC ACID 2 % EAR SOLUTION [17801]","60432-741-15","NDC","","","","","","","facility","both","1","EA","","14.34","5.02","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"AFO spiral prefabricated","L1951","HCPCS","","","","","","","facility","outpatient","","","","","","Truli For Health","All Commercial Plans","1971.65","","","","","","","fee schedule","1037.71","2075.42","APC"
"AFO supramalleolar custom","L1907","HCPCS","","","","","","","facility","outpatient","","","","","","Longevity","Medicare Managed Care Plan","757.84","","","","","","","fee schedule","695.27","1390.54","APC"
"AFO supramalleolar custom","L1907","HCPCS","","","","","","","facility","outpatient","","","","","","Simply Healthcare","Exchange","1168.05","","","","","","","fee schedule","695.27","1390.54","APC"
"AFO w/ankle joint, prefab","L1971","HCPCS","","","","","","","facility","outpatient","","","","","","Freedom Health","Medicare Managed Care Plan","590.75","","","","","","","fee schedule","579.17","1158.34","APC"
"AK/BK self-aligning unit ea","L5617","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Medicare Managed Care Plan","741.18","","","","","","","fee schedule","692.69","1385.38","APC"
"AK/BK self-aligning unit ea","L5617","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar","Exchange","1385.38","","","","","","","fee schedule","692.69","1385.38","APC"
"ALBUTEROL SULFATE HFA 90 MCG/ACTUATION AEROSOL INHALER [17837]","0173-0682-24","NDC","","","","","","","facility","both","1","EA","","53.61","18.76","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 G"
"ALBUTEROL SULFATE HFA 90 MCG/ACTUATION AEROSOL INHALER [17837]","66993-019-68","NDC","","","","","","","facility","both","1","EA","","53.61","18.76","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 G"
"ALLOPURINOL 300 MG TABLET [311]","53489-157-01","NDC","","","","","","","facility","both","1","EA","","0.15","0.05","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ALTEPLASE 2 MG INTRA-CATHETER SOLUTION [31310]","J2997","HCPCS","50242-041-63","NDC","","","","","facility","both","1","EA","","261.55","91.54","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 MG"
"AMIFOSTINE CRYSTALLINE 500 MG INTRAVENOUS SOLUTION [20803]","J0207","HCPCS","55390-308-03","NDC","","","","","facility","both","1","EA","","2642.58","924.90","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 VIAL"
"AMIODARONE 200 MG TABLET [9066]","0245-0147-90","NDC","","","","","","","facility","both","1","EA","","0.28","0.10","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMIODARONE 50 MG/ML INTRAVENOUS SOLUTION [9065]","J0282","HCPCS","67457-153-03","NDC","","","","","facility","both","1","EA","","48.38","16.93","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"AMITRIPTYLINE 10 MG TABLET [432]","16571-105-01","NDC","","","","","","","facility","both","1","EA","","0.06","0.02","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMLODIPINE 5 MG TABLET [9071]","68084-505-11","NDC","","","","","","","facility","both","1","EA","","0.16","0.06","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMLODIPINE 5 MG-BENAZEPRIL 10 MG CAPSULE [14821]","0078-0405-05","NDC","","","","","","","facility","both","1","EA","","10.96","3.83","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMOXICILLIN 250 MG-POTASSIUM CLAVULANATE 62.5 MG/5 ML ORAL SUSPENSION [9080]","60432-065-75","NDC","","","","","","","facility","both","1","EA","","55.47","19.41","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"AMOXICILLIN 400 MG-POTASSIUM CLAVULANATE 57 MG/5 ML ORAL SUSPENSION [33230]","66685-1012-0","NDC","","","","","","","facility","both","1","EA","","94.70","33.15","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"AMOXICILLIN 400 MG/5 ML ORAL SUSPENSION [25246]","65862-071-75","NDC","","","","","","","facility","both","1","EA","","16.24","5.68","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"AMOXICILLIN 500 MG CAPSULE [451]","76439-104-10","NDC","","","","","","","facility","both","1","EA","","0.10","0.03","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMOXICILLIN 500 MG-POTASSIUM CLAVULANATE 125 MG TABLET [33227]","0093-2274-34","NDC","","","","","","","facility","both","1","EA","","1.41","0.49","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMOXICILLIN 500 MG-POTASSIUM CLAVULANATE 125 MG TABLET [33227]","65862-502-20","NDC","","","","","","","facility","both","1","EA","","0.44","0.15","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMOXICILLIN 600 MG-POTASSIUM CLAVULANATE 42.9 MG/5 ML ORAL SUSPENSION [31177]","0093-8675-75","NDC","","","","","","","facility","both","1","EA","","1.86","0.65","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"AMPICILLIN 1 GRAM SOLUTION FOR INJECTION [469]","J0290","HCPCS","0409-3726-01","NDC","","","","","facility","both","1","EA","","146.58","51.30","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMPICILLIN-SULBACTAM 3 GRAM SOLUTION FOR INJECTION [32471]","J0295","HCPCS","71288-006-31","NDC","","","","","facility","both","1","EA","","219.03","76.66","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ANTIHEMOPHILIC FACTOR-VWF 500 UNIT-1,200 UNIT IV (FACTOR VIII) [408726]","J7187","HCPCS","63833-616-02","NDC","","","","","facility","both","1","EA","","15461.24","5411.43","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ANTIHEMOPHILIC FACTOR-VWF 500 UNIT-1,200 UNIT IV (FACTOR VIII) [408726]","J7187","HCPCS","63833-616-02","NDC","","","","","facility","both","1","EA","","15461.24","5411.43","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ARFORMOTEROL 15 MCG/2 ML SOLUTION FOR NEBULIZATION [77581]","J7605","HCPCS","70748-175-30","NDC","","","","","facility","both","1","EA","","7.73","2.71","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ARIPIPRAZOLE 10 MG TABLET [34369]","16714-143-01","NDC","","","","","","","facility","both","1","EA","","1.18","0.41","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ASPIRIN 325 MG TABLET [681]","0536-1054-29","NDC","","","","","","","facility","both","1","EA","","0.02","0.00525","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ASPIRIN 81 MG CHEWABLE TABLET [679]","77333-049-25","NDC","","","","","","","facility","both","1","EA","","1","0.35","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ATAZANAVIR 150 MG CAPSULE [36149]","65862-711-60","NDC","","","","","","","facility","both","1","EA","","2.97","1.04","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ATORVASTATIN 40 MG TABLET [19177]","59762-0157-1","NDC","","","","","","","facility","both","1","EA","","0.30","0.11","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ATROPINE 0.4 MG/ML INJECTION SOLUTION [731]","J0461","HCPCS","16729-512-43","NDC","","","","","facility","both","1","EA","","51.54","18.04","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"AZACITIDINE 100 MG SOLUTION FOR INJECTION [78420]","J9025","HCPCS","69097-805-40","NDC","","","","","facility","both","1","EA","","4172.08","1460.23","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AZITHROMYCIN 250 MG TABLET [20943]","59762-3060-2","NDC","","","","","","","facility","both","1","EA","","2.12","0.74","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AZITHROMYCIN 600 MG TABLET [17387]","60687-314-25","NDC","","","","","","","facility","both","1","EA","","5.31","1.86","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AZTREONAM 2 GRAM SOLUTION FOR INJECTION [9186]","J0457","HCPCS","63323-402-01","NDC","","","","","facility","both","1","EA","","258.53","90.49","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"Abd paracentesis w/imaging","49083","HCPCS","","","","","","","facility","outpatient","","","","","","Freedom Health","Medicare Managed Care Plan","966.09","","","","","","","fee schedule","947.15","2923","APC"
"Abd paracentesis w/imaging","49083","HCPCS","","","","","","","facility","outpatient","","","","","","Sunshine Health","Ambetter Value Exchange","1434.17","","","","","","","fee schedule","947.15","2923","APC"
"Abdomen surgery procedure","22999","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Ppo","3993","","","","","","","fee schedule","257.59","3993",""
"Abdomen surgery procedure","49999","HCPCS","","","","","","","facility","outpatient","","","","","","Freedom Health","Medicare Managed Care Plan","966.09","","","","","","","fee schedule","947.15","3993","APC"
"Abduct control hip semi-flex","L1630","HCPCS","","","","","","","facility","outpatient","","","","","","Care Plus Health Plans","Medicare Managed Care Plan","201.42","","","","","","","fee schedule","198.25","396.5","APC"
"Abl1 gene","81170","HCPCS","","","","","","","facility","outpatient","","","","","","Sunshine Health","Ambetter Exchange","480","","","","","","","fee schedule","300","600","APC"
"Ablate atria w/bypass exten","33256","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Hmo","3885","","","","","","","fee schedule","3613","4992",""
"Ablate atria x10sv add-on","33258","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Hmo","3885","","","","","","","fee schedule","3613","4992",""
"Ablate bone tumor(s) perq","20982","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Ppo","3993","","","","","","","fee schedule","3885","36620.39",""
"Ablate bone tumor(s) perq","20982","HCPCS","","","","","","","facility","outpatient","","","","","","Truli For Health","All Commercial Plans","34789.37","","","","","","","fee schedule","3885","36620.39","APC"
"Ablate bone tumor(s) perq","20983","HCPCS","","","","","","","facility","outpatient","","","","","","Ultimate Health Plans","Medicare Managed Care Plan","7956.39","","","","","","","fee schedule","3885","15155.02","APC"
"Ablate inf turbinate submuc","30802","HCPCS","","","","","","","facility","outpatient","","","","","","Phcs","Ppo","1500","","","","","","","fee schedule","990.66","3240.57",""
"Ablate inf turbinate superf","30801","HCPCS","","","","","","","facility","outpatient","","","","","","Baycare","Medicare Managed Care Plan","1668.89","","","","","","","fee schedule","990.66","3240.57","APC"
"Ablate inf turbinate superf","30801","HCPCS","","","","","","","facility","outpatient","","","","","","Ultimate Health Plans","Medicare Managed Care Plan","1701.3","","","","","","","fee schedule","990.66","3240.57","APC"
"Ablate pulm tumor perq crybl","32994","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar","Exchange","22201.02","","","","","","","fee schedule","3885","22201.02","APC"
"Abltj b9 thyr ndul perq lasr","0673T","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Ppo","4499","","","","","","","fee schedule","1724.73","4499",""
"Abltj ire liver 1+ tum perq","47384","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar","Exchange","22201.02","","","","","","","fee schedule","11100.51","22201.02","APC"
