"2019 nCoV diagnostic P","U0001","HCPCS","","","","","","","facility","outpatient","","","","","","Truli For Health","All Commercial Plans","68.25","","","","","","","fee schedule","35.92","71.84","APC"
"2d cephalometric image","D0340","HCPCS","","","","","","","facility","outpatient","","","","","","Care Plus Health Plans","Medicare Managed Care Plan","92.33","","","","","","","fee schedule","90.88","181.76","APC"
"2d tee w or w/o fol w/con,in","C8925","HCPCS","","","","","","","facility","outpatient","","","","","","Kaiser","Medicare Managed Care Plan","900.5","","","","","","","fee schedule","818.63","1637.26","APC"
"2d tte w or w/o fol w/con,co","C8923","HCPCS","","","","","","","facility","outpatient","","","","","","Simply Healthcare","Exchange","1375.3","","","","","","","fee schedule","818.63","1637.26","APC"
"3-d radiotherapy plan","77295","HCPCS","","","","","","","facility","outpatient","","","","","","Truli For Health","All Commercial Plans","2746.29","","","","","","","fee schedule","1445.42","2890.84","APC"
"5% dextrose/water","J7060","HCPCS","","","","","","","facility","outpatient","","","","","","Unitedhealthcare","Exchange","2.2","","","","","","","fee schedule","1.82","2.2",""
"ACETAMINOPHEN 300 MG-CODEINE 30 MG TABLET [14087]","0406-0484-23","NDC","","","","","","","facility","both","1","EA","","0.13","0.05","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 325 MG TABLET [101]","57896-102-01","NDC","","","","","","","facility","both","1","EA","","0.02","0.00665","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACETYLCHOLINE 2 MCG/2 ML (1 MCG/ML) SYRINGE 1 (PHARMACY PREMIX) [411270]","9999-0700-01","NDC","","","","","","","facility","both","1","EA","","0.92","0.32","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 SYRINGE"
"AFO spiral prefabricated","L1951","HCPCS","","","","","","","facility","outpatient","","","","","","Longevity","Medicare Managed Care Plan","1131.1","","","","","","","fee schedule","1037.71","2075.42","APC"
"ALBUMIN, HUMAN 25 % INTRAVENOUS SOLUTION [8981]","P9047","HCPCS","44206-251-90","NDC","","","","","facility","both","1","EA","","11.65","4.08","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ALBUMIN, HUMAN 5 % INTRAVENOUS SOLUTION [8982]","P9041","HCPCS","13533-690-26","NDC","","","","","facility","both","1","EA","","3.41","1.19","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ALBUMIN, HUMAN 5 % INTRAVENOUS SOLUTION [8982]","P9041","HCPCS","68516-5214-1","NDC","","","","","facility","both","1","EA","","3.41","1.19","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ALLOPURINOL 100 MG TABLET [310]","51079-205-20","NDC","","","","","","","facility","both","1","EA","","0.31","0.11","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ALPRAZOLAM 0.25 MG TABLET [324]","0781-1061-05","NDC","","","","","","","facility","both","1","EA","","0.04","0.01","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
