"ALBUMIN/5%,250ML BU 5% 250ML",11270002,CDM,636,RC,P9045,HCPCS,00944049505,NDC,facility,inpatient,1,EA,286.44000,,Preferred Health Partnership,Commercial,,243.47,,,,,,,143.22,257.80,percent of total billed charges,
"ALBUMIN/5%,250ML BU 5% 250ML",11270002,CDM,636,RC,P9045,HCPCS,00944049505,NDC,facility,outpatient,1,EA,286.44000,,Preferred Health Partnership,Commercial,,243.47,,,,,,,48.83,257.80,percent of total billed charges,
"ALCOHOL, DRUG ABUSE OR DEPENDENCE, LEFT AMA",894,MS-DRG,,,,,,,facility,inpatient,,,,,Humana,Medicare Advantage,,8718.66,,,,,,,1000.00,18383.62,fee schedule,
"AMPA-R AB CBA, CSF",03002209,CDM,300,RC,86255,CPT,,,facility,outpatient,,,1538.00000,,University of Alabama,Athletics,,769.00,,,,,,,11.09,1384.20,percent of total billed charges,"Claim is reimbursement at 50% of billed charges for charges up to $10,000, not to exceed $2,500. Claim with billed charges above $10,000 are reimbursed at 100% of billed charges."
"AMPA-R AB CBA, S",03001963,CDM,300,RC,86255,CPT,,,facility,inpatient,,,923.00000,,Southern Nuclear,Commercial,,784.55,,,,,,,461.50,830.70,percent of total billed charges,
"AMPA-R AB CBA, S",03001963,CDM,300,RC,86255,CPT,,,facility,outpatient,,,923.00000,,Cigna,Medicare Advantage,,12.89,,,,,,,11.09,830.70,fee schedule,
"AMPA-R AB CBA, S",03001963,CDM,300,RC,86255,CPT,,,facility,outpatient,,,923.00000,,DaVita VillageHealth,Medicare Advantage,,12.05,,,,,,,11.09,830.70,fee schedule,
"AMPA-R AB CBA, S",03001963,CDM,300,RC,86255,CPT,,,facility,outpatient,,,923.00000,,Southern Nuclear,Commercial,,784.55,,,,,,,11.09,830.70,percent of total billed charges,
"AMPA-R AB CBA, S",03001963,CDM,300,RC,86255,CPT,,,facility,outpatient,,,923.00000,,Vantage Health Plan,Commercial,,784.55,,,,,,,11.09,830.70,percent of total billed charges,
"AMPA-R AB IF TITER ASSAY, CSF",03002213,CDM,300,RC,86256,CPT,,,facility,inpatient,,,431.00000,,Evolutions,Commercial,,387.90,,,,,,,215.50,387.90,percent of total billed charges,
"AMPA-R AB IF TITER ASSAY, CSF",03002213,CDM,300,RC,86256,CPT,,,facility,outpatient,,,431.00000,,Galaxy Health Network,Commercial,,387.90,,,,,,,6.58,387.90,percent of total billed charges,
"AMPA-R AB IF TITER ASSAY, CSF",03002213,CDM,300,RC,86256,CPT,,,facility,outpatient,,,431.00000,,TriWest,Qualifying Choice Program,,12.05,,,,,,,6.58,387.90,fee schedule,
"AMPA-R AB IF TITER ASSAY, CSF",03002213,CDM,300,RC,86256,CPT,,,facility,outpatient,,,431.00000,,Viva,Medicare Advantage,,12.17,,,,,,,6.58,387.90,fee schedule,
"AMPA-R AB IF TITER ASSAY, S",03001966,CDM,300,RC,86256,CPT,,,facility,inpatient,,,923.00000,,University of Alabama,Athletics,,461.50,,,,,,,461.50,830.70,percent of total billed charges,"Claim is reimbursement at 50% of billed charges for charges up to $10,000, not to exceed $2,500. Claim with billed charges above $10,000 are reimbursed at 100% of billed charges."
"AMPA-R AB IF TITER ASSAY, S",03001966,CDM,300,RC,86256,CPT,,,facility,outpatient,,,923.00000,,Coventry,Commercial,,599.95,,,,,,,6.58,830.70,percent of total billed charges,
"AMPA-R AB IF TITER ASSAY, S",03001966,CDM,300,RC,86256,CPT,,,facility,outpatient,,,923.00000,,NovaNet,Commercial,,830.70,,,,,,,6.58,830.70,percent of total billed charges,
"AMPHIPHYSIN AB, CSF**",03002195,CDM,300,RC,86255,CPT,,,facility,inpatient,,,123.00000,,Preferred Health Partnership,Commercial,,104.55,,,,,,,61.50,110.70,percent of total billed charges,
"AMPHIPHYSIN AB, CSF**",03002195,CDM,300,RC,86255,CPT,,,facility,outpatient,,,123.00000,,Heritage Summit Health,Workers' Compensation,,104.55,,,,,,,11.09,110.70,percent of total billed charges,
"AMPHIPHYSIN WESTERN BLOT, CSF",03002205,CDM,300,RC,84182,CPT,,,facility,inpatient,,,953.00000,,North Alabama Managed Care,Commercial,,619.45,,,,,,,476.50,857.70,percent of total billed charges,
"AMPHIPHYSIN WESTERN BLOT, CSF",03002205,CDM,300,RC,84182,CPT,,,facility,outpatient,,,953.00000,,Aetna,Commercial,,581.33,,,,,,,13.41,857.70,percent of total billed charges,
"AMPHIPHYSIN WESTERN BLOT, CSF",03002205,CDM,300,RC,84182,CPT,,,facility,outpatient,,,953.00000,,TriWest,Qualifying Choice Program,,29.21,,,,,,,13.41,857.70,fee schedule,
"AMPHIPHYSIN WESTERN BLOT, CSF",03002205,CDM,300,RC,84182,CPT,,,facility,outpatient,,,953.00000,,Vantage Health Plan,Commercial,,810.05,,,,,,,13.41,857.70,percent of total billed charges,
"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH MCC",616,MS-DRG,,,,,,,facility,inpatient,,,,,DaVita VillageHealth,Medicare Advantage,,29965.57,,,,,,,7719.00,103924.52,fee schedule,
"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITHOUT CC/MCC",618,MS-DRG,,,,,,,facility,inpatient,,,,,Cigna,New Business,,42265.34,,,,,,,5748.00,42265.34,case rate,
"ANALY GENE KRAS-CODON 61,146)*",20602243,CDM,310,RC,81479,CPT,,,facility,outpatient,,,842.00000,,Cigna,New Business,,350.58,,,,,,,165.03,757.80,fee schedule,
"ANALY GENE KRAS-CODON 61,146)*",20602243,CDM,310,RC,81479,CPT,,,facility,outpatient,,,842.00000,,Galaxy Health Network,Commercial,,757.80,,,,,,,165.03,757.80,percent of total billed charges,
"ANTI SS-A 52 KD A, IGG",03001858,CDM,302,RC,86235,CPT,,,facility,outpatient,,,132.00000,,Cigna,New Business,91,38.79,,,,,,,12.19,118.80,fee schedule,
"ANTI SS-A 52 KD A, IGG",03001858,CDM,302,RC,86235,CPT,,,facility,outpatient,,,132.00000,,Comp One,Workers' Compensation,91,95.04,,,,,,,12.19,118.80,percent of total billed charges,
"ANTI SS-A 52 KD A, IGG",03001858,CDM,302,RC,86235,CPT,,,facility,outpatient,,,132.00000,,Humana,Commercial,91,112.20,,,,,,,12.19,118.80,percent of total billed charges,
"ANTI SS-A 52 KD A, IGG",03001858,CDM,302,RC,86235,CPT,,,facility,outpatient,,,132.00000,,NovaNet,Workers' Compensation,91,105.60,,,,,,,12.19,118.80,percent of total billed charges,
"ANTI SS-A 52 KD A, IGG",15801858,CDM,302,RC,86235,CPT,,,facility,inpatient,,,132.00000,,Cigna,Commercial,91,88.44,,,,,,,66.00,118.80,percent of total billed charges,
"ANTI SS-A 52 KD A, IGG",15801858,CDM,302,RC,86235,CPT,,,facility,inpatient,,,132.00000,,North Alabama Managed Care,Commercial,91,85.80,,,,,,,66.00,118.80,percent of total billed charges,
"ANTI SS-A 52 KD A, IGG",15801858,CDM,302,RC,86235,CPT,,,facility,inpatient,,,132.00000,,North Mississippi Health Link,Commercial,91,118.80,,,,,,,66.00,118.80,percent of total billed charges,
"ANTI SS-A 52 KD A, IGG",95101858,CDM,302,RC,86235,CPT,,,facility,inpatient,,,132.00000,,Cigna,Commercial,91,88.44,,,,,,,66.00,118.80,percent of total billed charges,
"ANTI-NEURONAL NUC AB, TYPE 1**",03002196,CDM,300,RC,86255,CPT,,,facility,outpatient,,,123.00000,,Cooper Green,Commercial,,12.05,,,,,,,11.09,110.70,fee schedule,
