"ABORTION WITH D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY",770,MS-DRG,,,,,,,facility,inpatient,,,,,Viva,Medicare Advantage,,11125.39,,,,,,,9601.00,29880.46,fee schedule,
"ACHR GANGLIONIC NEURONAL AB,S*",03005979,CDM,301,RC,83519,CPT,,,facility,inpatient,,,204.00000,,Southern Nuclear,Commercial,,173.40,,,,,,,102.00,183.60,percent of total billed charges,
"ACHR GANGLIONIC NEURONAL AB,S*",03005979,CDM,301,RC,83519,CPT,,,facility,outpatient,,,204.00000,,BlueCross BlueShield of Alabama,Medicare Advantage,,18.40,,,,,,,7.92,183.60,fee schedule,
"ACHR GANGLIONIC NEURONAL AB,S*",03005979,CDM,301,RC,83519,CPT,,,facility,outpatient,,,204.00000,,DaVita VillageHealth,Medicare Advantage,,18.40,,,,,,,7.92,183.60,fee schedule,
"ACHR GANGLIONIC NEURONAL AB,S*",03005979,CDM,301,RC,83519,CPT,,,facility,outpatient,,,204.00000,,Viva,Medicare Advantage,,18.58,,,,,,,7.92,183.60,fee schedule,
"ACHR GANGLIONIC NEURONAL AB,S*",15805979,CDM,301,RC,83519,CPT,,,facility,outpatient,,,204.00000,,Comp One,Workers' Compensation,,146.88,,,,,,,7.92,183.60,percent of total billed charges,
"ACHR GANGLIONIC NEURONAL AB,S*",15805979,CDM,301,RC,83519,CPT,,,facility,outpatient,,,204.00000,,NovaNet,Commercial,,183.60,,,,,,,7.92,183.60,percent of total billed charges,
"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITHOUT CC/MCC",282,MS-DRG,,,,,,,facility,inpatient,,,,,Optum,VACCN,,8882.80,,,,,,,7719.00,21548.38,fee schedule,
"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITHOUT CC/MCC",285,MS-DRG,,,,,,,facility,inpatient,,,,,Cigna,New Business,,17847.22,,,,,,,7380.04,17847.22,case rate,
"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT CC/MCC",561,MS-DRG,,,,,,,facility,inpatient,,,,,DaVita VillageHealth,Medicare Advantage,,9499.05,,,,,,,5748.00,23956.22,fee schedule,
"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT CC/MCC",561,MS-DRG,,,,,,,facility,inpatient,,,,,Optum,VACCN,,9499.05,,,,,,,5748.00,23956.22,fee schedule,
"AG SCRN REF-(E,S)",15880093,CDM,300,RC,86902,CPT,,,facility,inpatient,,,198.00000,,University of Alabama,Athletics,,99.00,,,,,,,99.00,178.20,percent of total billed charges,"Claim is reimbursement at 50% of billed charges for charges up to $10,000, not to exceed $2,500. Claim with billed charges above $10,000 are reimbursed at 100% of billed charges."
"AG SCRN REF-(E,S)",15880093,CDM,300,RC,86902,CPT,,,facility,outpatient,,,198.00000,,Heritage Summit Health,Workers' Compensation,,168.30,,,,,,,5.21,178.20,percent of total billed charges,
"AG SCRN REF-(KPB,V,VEL)",04080094,CDM,302,RC,86902,CPT,,,facility,outpatient,,,198.00000,,Tethys,Commercial,,158.40,,,,,,,5.21,178.20,percent of total billed charges,
"AG SCRN REF-(KPB,V,VEL)",15880094,CDM,300,RC,86902,CPT,,,facility,inpatient,,,198.00000,,University of Alabama,Athletics,,99.00,,,,,,,99.00,178.20,percent of total billed charges,"Claim is reimbursement at 50% of billed charges for charges up to $10,000, not to exceed $2,500. Claim with billed charges above $10,000 are reimbursed at 100% of billed charges."
