"ADAPT/EXT, PACING/NEURO LEAD",C1883,HCPCS,278,RC,173980,CDM,,,,both,,,10302.0000,6696.3000,BLUE CROSS,BCBS NETWORKBLUE,6181.20,,,,,,,173.1700,10302.0000,percent of total billed charges,"60% of $10,302.00 in Billed Charges for Rev 278 Proc C1883 = $6,181.20. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"ADAPT/EXT, PACING/NEURO LEAD",C1883,HCPCS,278,RC,197351,CDM,,,,both,,,2650.0000,1722.5000,AETNA,AETNA CATASTROPHIC,1351.50,,,,,,,173.1700,2650.0000,percent of total billed charges,"51% of $2,650.00 in Billed Charges for Rev 278 Proc C1883 = $1,351.50. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"ADAPT/EXT, PACING/NEURO LEAD",C1883,HCPCS,278,RC,197351,CDM,,,,both,,,2650.0000,1722.5000,AETNA,AETNA HMO,1351.50,,,,,,,173.1700,2650.0000,percent of total billed charges,"51% of $2,650.00 in Billed Charges for Rev 278 Proc C1883 = $1,351.50. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"ADAPT/EXT, PACING/NEURO LEAD",C1883,HCPCS,278,RC,205842,CDM,,,,both,,,9349.0000,6076.8500,CIGNA,CIGNA CONNECT NETWORK EXCHANGE,3552.62,,,,,,,173.1700,9349.0000,percent of total billed charges,"38% of $9,349.00 in Billed Charges for Rev 278 Proc C1883 = $3,552.62. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"ADAPT/EXT, PACING/NEURO LEAD",C1883,HCPCS,278,RC,211552,CDM,,,,both,,,10388.0000,6752.2000,AMERIHEALTH,AMERIHTH CARITAS NXT EX,4674.60,,,,,,,173.1700,10388.0000,percent of total billed charges,"45% of $10,388.00 in Billed Charges for Rev 278 Proc C1883 = $4,674.60. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"ADAPT/EXT, PACING/NEURO LEAD",C1883,HCPCS,278,RC,211553,CDM,,,,both,,,13139.0000,8540.3500,AETNA,AETNA HMO,6700.89,,,,,,,173.1700,13139.0000,percent of total billed charges,"51% of $13,139.00 in Billed Charges for Rev 278 Proc C1883 = $6,700.89. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,116567,CDM,,,,both,,,65434.0000,42532.1000,AVMED,AVMED HMO,27089.68,,,,,,,173.1700,65434.0000,percent of total billed charges,"41.4% of $65,434.00 in Billed Charges for Rev 275 Proc C1721 = $27,089.68. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,116589,CDM,,,,both,,,66175.0000,43013.7500,AVMED,AVMED HMO,27396.45,,,,,,,173.1700,66175.0000,percent of total billed charges,"41.4% of $66,175.00 in Billed Charges for Rev 275 Proc C1721 = $27,396.45. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,116589,CDM,,,,both,,,66175.0000,43013.7500,CIGNA,CIGNA HMO,38381.50,,,,,,,173.1700,66175.0000,percent of total billed charges,"58% of $66,175.00 in Billed Charges for Rev 275 Proc C1721 = $38,381.50. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,149280,CDM,,,,both,,,51038.0000,33174.7000,NON CONTRACTED,OSCAR HEALTH EXCHANGE,18730.95,,,,,,,173.1700,51038.0000,percent of total billed charges,"36.7% of $51,038.00 in Billed Charges for Rev 275 Proc C1721 = $18,730.95. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
