"ADAPT/EXT, PACING/NEURO LEAD",C1883,HCPCS,278,RC,197351,CDM,,,,both,,,2650.0000,1722.5000,BLUE CROSS,BLUE CROSS,1717.20,,,,,,,173.1700,2650.0000,percent of total billed charges,"64.8% of $2,650.00 in Billed Charges for Rev 278 Proc C1883 = $1,717.20. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"ADAPT/EXT, PACING/NEURO LEAD",C1883,HCPCS,278,RC,211552,CDM,,,,both,,,10388.0000,6752.2000,AETNA,AETNA HMO EXCHANGE,3947.44,,,,,,,173.1700,10388.0000,percent of total billed charges,"38% of $10,388.00 in Billed Charges for Rev 278 Proc C1883 = $3,947.44. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"ADAPT/EXT, PACING/NEURO LEAD",C1883,HCPCS,278,RC,211552,CDM,,,,both,,,10388.0000,6752.2000,AVMED,AVMED HMO,4300.63,,,,,,,173.1700,10388.0000,percent of total billed charges,"41.4% of $10,388.00 in Billed Charges for Rev 278 Proc C1883 = $4,300.63. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"ADAPT/EXT, PACING/NEURO LEAD",C1883,HCPCS,278,RC,211552,CDM,,,,both,,,10388.0000,6752.2000,NON CONTRACTED,OSCAR HEALTH EXCHANGE,3812.40,,,,,,,173.1700,10388.0000,percent of total billed charges,"36.7% of $10,388.00 in Billed Charges for Rev 278 Proc C1883 = $3,812.40. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"ADAPT/EXT, PACING/NEURO LEAD",C1883,HCPCS,278,RC,211552,CDM,,,,both,,,10388.0000,6752.2000,QUALITY HEALTH,MULTIPLAN,9349.20,,,,,,,173.1700,10388.0000,percent of total billed charges,"90% of $10,388.00 in Billed Charges for Rev 278 Proc C1883 = $9,349.20. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"ADAPT/EXT, PACING/NEURO LEAD",C1883,HCPCS,278,RC,211553,CDM,,,,both,,,13139.0000,8540.3500,AFFORDABLE,AFFORDABLE PPO,11168.15,,,,,,,173.1700,13139.0000,percent of total billed charges,"85% of $13,139.00 in Billed Charges for Rev 278 Proc C1883 = $11,168.15. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,116600,CDM,,,,both,,,62014.0000,40309.1000,AETNA,AETNA CATASTROPHIC,31627.14,,,,,,,173.1700,62014.0000,percent of total billed charges,"51% of $62,014.00 in Billed Charges for Rev 275 Proc C1721 = $31,627.14. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,116600,CDM,,,,both,,,62014.0000,40309.1000,AVMED,AVMED ENTRUST,22014.97,,,,,,,173.1700,62014.0000,percent of total billed charges,"35.5% of $62,014.00 in Billed Charges for Rev 275 Proc C1721 = $22,014.97. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,116600,CDM,,,,both,,,62014.0000,40309.1000,QUALITY HEALTH,MULTIPLAN,55812.60,,,,,,,173.1700,62014.0000,percent of total billed charges,"90% of $62,014.00 in Billed Charges for Rev 275 Proc C1721 = $55,812.60. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,149280,CDM,,,,both,,,51038.0000,33174.7000,DIMENSION HEALTH PLAN,DIMENSION HEALTH PLANS,45934.20,,,,,,,173.1700,51038.0000,percent of total billed charges,"90% of $51,038.00 in Billed Charges for Rev 275 Proc C1721 = $45,934.20. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
