"ADAPT/EXT, PACING/NEURO LEAD",C1883,HCPCS,278,RC,173980,CDM,,,,both,,,10302.0000,6696.3000,VISTA,COVENTRY MEDICAID,173.17,,,,,,,173.1700,10302.0000,other,Rev 278 Proc C1883 1 Visit at $160.34 per Visit = $160.34... $160.34 at 108% = $173.17 Final Expected The contract rate provided is when this service is billed outpatient.  The inpatient rate for this service is included with the inpatient rate.
"ADAPT/EXT, PACING/NEURO LEAD",C1883,HCPCS,278,RC,197351,CDM,,,,both,,,2650.0000,1722.5000,DIMENSION HEALTH PLAN,DIMENSION HEALTH PLANS,2385.00,,,,,,,173.1700,2650.0000,percent of total billed charges,"90% of $2,650.00 in Billed Charges for Rev 278 Proc C1883 = $2,385.00. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"ADAPT/EXT, PACING/NEURO LEAD",C1883,HCPCS,278,RC,205842,CDM,,,,both,,,9349.0000,6076.8500,AMERIHEALTH,AMERIHTH CARITAS NXT EX,4207.05,,,,,,,173.1700,9349.0000,percent of total billed charges,"45% of $9,349.00 in Billed Charges for Rev 278 Proc C1883 = $4,207.05. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"ADAPT/EXT, PACING/NEURO LEAD",C1883,HCPCS,278,RC,211553,CDM,,,,both,,,13139.0000,8540.3500,DIMENSION HEALTH PLAN,DIMENSION PLUS,9854.25,,,,,,,173.1700,13139.0000,percent of total billed charges,"75% of $13,139.00 in Billed Charges for Rev 278 Proc C1883 = $9,854.25. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,116567,CDM,,,,both,,,65434.0000,42532.1000,DIMENSION HEALTH PLAN,DIMENSION PLUS,49075.50,,,,,,,173.1700,65434.0000,percent of total billed charges,"75% of $65,434.00 in Billed Charges for Rev 275 Proc C1721 = $49,075.50. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,116600,CDM,,,,both,,,62014.0000,40309.1000,CIGNA,CIGNA PPO,49611.20,,,,,,,173.1700,62014.0000,percent of total billed charges,"80% of $62,014.00 in Billed Charges for Rev 275 Proc C1721 = $49,611.20. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,116600,CDM,,,,both,,,62014.0000,40309.1000,INTERNATIONAL,INTERNATIONAL AETNA,40309.10,,,,,,,173.1700,62014.0000,percent of total billed charges,"65% of $62,014.00 in Billed Charges for Rev 275 Proc C1721 = $40,309.10. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,116600,CDM,,,,both,,,62014.0000,40309.1000,NON CONTRACTED,OSCAR HEALTH EXCHANGE,22759.14,,,,,,,173.1700,62014.0000,percent of total billed charges,"36.7% of $62,014.00 in Billed Charges for Rev 275 Proc C1721 = $22,759.14. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,116600,CDM,,,,both,,,62014.0000,40309.1000,UNITED HEALTHCARE,UNITED HMO,37208.40,,,,,,,173.1700,62014.0000,percent of total billed charges,"60% of $62,014.00 in Billed Charges for Rev 275 Proc C1721 = $37,208.40. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,116600,CDM,,,,both,,,62014.0000,40309.1000,VISTA,COVENTRY MEDICAID,173.17,,,,,,,173.1700,62014.0000,other,Rev 275 Proc C1721 1 Visit at $160.34 per Visit = $160.34... $160.34 at 108% = $173.17 Final Expected The contract rate provided is when this service is billed outpatient.  The inpatient rate for this service is included with the inpatient rate.
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,149280,CDM,,,,both,,,51038.0000,33174.7000,UNITED HEALTHCARE,UNITED HMO,30622.80,,,,,,,173.1700,51038.0000,percent of total billed charges,"60% of $51,038.00 in Billed Charges for Rev 275 Proc C1721 = $30,622.80. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,151713,CDM,,,,both,,,80652.0000,52423.8000,BLUE CROSS,MY BLUE EX,13952.80,,,,,,,173.1700,80652.0000,percent of total billed charges,"17.3% of $80,652.00 in Billed Charges for Rev 275 Proc C1721 = $13,952.80. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,151713,CDM,,,,both,,,80652.0000,52423.8000,DIMENSION HEALTH PLAN,DIMENSION 2,72586.80,,,,,,,173.1700,80652.0000,percent of total billed charges,"90% of $80,652.00 in Billed Charges for Rev 275 Proc C1721 = $72,586.80. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,151794,CDM,,,,both,,,48283.0000,31383.9500,AETNA,AETNA HMO,24624.33,,,,,,,173.1700,48283.0000,percent of total billed charges,"51% of $48,283.00 in Billed Charges for Rev 275 Proc C1721 = $24,624.33. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,151807,CDM,,,,both,,,26758.0000,17392.7000,AETNA,AETNA CATASTROPHIC,13646.58,,,,,,,173.1700,26758.0000,percent of total billed charges,"51% of $26,758.00 in Billed Charges for Rev 275 Proc C1721 = $13,646.58. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,157907,CDM,,,,both,,,1.0000,0.6500,CIGNA,CIGNA CONNECT NETWORK EXCHANGE,0.38,,,,,,,0.1700,173.1700,percent of total billed charges,38% of $1.00 in Billed Charges for Rev 275 Proc C1721 = $0.38. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person.
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,174400,CDM,,,,both,,,61830.0000,40189.5000,AFFORDABLE,AFFORDABLE PPO,52555.50,,,,,,,173.1700,61830.0000,percent of total billed charges,"85% of $61,830.00 in Billed Charges for Rev 275 Proc C1721 = $52,555.50. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,174400,CDM,,,,both,,,61830.0000,40189.5000,BLUE CROSS,BLUE SELECT,25968.60,,,,,,,173.1700,61830.0000,percent of total billed charges,"42% of $61,830.00 in Billed Charges for Rev 275 Proc C1721 = $25,968.60. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,174400,CDM,,,,both,,,61830.0000,40189.5000,UNITED HEALTHCARE,UNITED HLTH MC HMO,19414.62,,,,,,,173.1700,61830.0000,percent of total billed charges,"31.4% of $61,830.00 in Billed Charges for Rev 275 Proc C1721 = $19,414.62. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,198309,CDM,,,,both,,,69651.0000,45273.1500,UNITED HEALTHCARE,NHP HMO,41790.60,,,,,,,173.1700,69651.0000,percent of total billed charges,"60% of $69,651.00 in Billed Charges for Rev 275 Proc C1721 = $41,790.60. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,199045,CDM,,,,both,,,71517.0000,46486.0500,AETNA,AETNA HMO,36473.67,,,,,,,173.1700,71517.0000,percent of total billed charges,"51% of $71,517.00 in Billed Charges for Rev 275 Proc C1721 = $36,473.67. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,199045,CDM,,,,both,,,71517.0000,46486.0500,BLUE CROSS,BCBS FL SIMPLYBLUE HMO,31467.48,,,,,,,173.1700,71517.0000,percent of total billed charges,"44% of $71,517.00 in Billed Charges for Rev 275 Proc C1721 = $31,467.48. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, OTHER THAN SING/DUAL",C1882,HCPCS,275,RC,116566,CDM,,,,both,,,84890.0000,55178.5000,DIMENSION HEALTH PLAN,DIMENSION PLUS,63667.50,,,,,,,173.1700,84890.0000,percent of total billed charges,"75% of $84,890.00 in Billed Charges for Rev 275 Proc C1882 = $63,667.50. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
