"ADAPT/EXT, PACING/NEURO LEAD",C1883,HCPCS,278,RC,173980,CDM,,,,both,,,10302.0000,6696.3000,BLUE CROSS,MY BLUE EX,1782.25,,,,,,,173.1700,10302.0000,percent of total billed charges,"17.3% of $10,302.00 in Billed Charges for Rev 278 Proc C1883 = $1,782.25. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"ADAPT/EXT, PACING/NEURO LEAD",C1883,HCPCS,278,RC,173980,CDM,,,,both,,,10302.0000,6696.3000,INTERNATIONAL,INTERNATIONAL AETNA,6696.30,,,,,,,173.1700,10302.0000,percent of total billed charges,"65% of $10,302.00 in Billed Charges for Rev 278 Proc C1883 = $6,696.30. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"ADAPT/EXT, PACING/NEURO LEAD",C1883,HCPCS,278,RC,173980,CDM,,,,both,,,10302.0000,6696.3000,UNITED HEALTHCARE,INTL UNITED HEALTH,8241.60,,,,,,,173.1700,10302.0000,percent of total billed charges,"80% of $10,302.00 in Billed Charges for Rev 278 Proc C1883 = $8,241.60. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"ADAPT/EXT, PACING/NEURO LEAD",C1883,HCPCS,278,RC,173980,CDM,,,,both,,,10302.0000,6696.3000,UNITED HEALTHCARE,NHP HMO,6181.20,,,,,,,173.1700,10302.0000,percent of total billed charges,"60% of $10,302.00 in Billed Charges for Rev 278 Proc C1883 = $6,181.20. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"ADAPT/EXT, PACING/NEURO LEAD",C1883,HCPCS,278,RC,197351,CDM,,,,both,,,2650.0000,1722.5000,UNITED HEALTHCARE,UNITED HMO,1590.00,,,,,,,173.1700,2650.0000,percent of total billed charges,"60% of $2,650.00 in Billed Charges for Rev 278 Proc C1883 = $1,590.00. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"ADAPT/EXT, PACING/NEURO LEAD",C1883,HCPCS,278,RC,205842,CDM,,,,both,,,9349.0000,6076.8500,AETNA,AETNA HMO EXCHANGE,3552.62,,,,,,,173.1700,9349.0000,percent of total billed charges,"38% of $9,349.00 in Billed Charges for Rev 278 Proc C1883 = $3,552.62. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"ADAPT/EXT, PACING/NEURO LEAD",C1883,HCPCS,278,RC,205842,CDM,,,,both,,,9349.0000,6076.8500,AVMED,AVMED PPO,4599.71,,,,,,,173.1700,9349.0000,percent of total billed charges,"49.2% of $9,349.00 in Billed Charges for Rev 278 Proc C1883 = $4,599.71. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"ADAPT/EXT, PACING/NEURO LEAD",C1883,HCPCS,278,RC,205842,CDM,,,,both,,,9349.0000,6076.8500,UNITED HEALTHCARE,UNITED HMO,5609.40,,,,,,,173.1700,9349.0000,percent of total billed charges,"60% of $9,349.00 in Billed Charges for Rev 278 Proc C1883 = $5,609.40. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"ADAPT/EXT, PACING/NEURO LEAD",C1883,HCPCS,278,RC,211552,CDM,,,,both,,,10388.0000,6752.2000,BLUE CROSS,BLUE CROSS,6731.42,,,,,,,173.1700,10388.0000,percent of total billed charges,"64.8% of $10,388.00 in Billed Charges for Rev 278 Proc C1883 = $6,731.42. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"ADAPT/EXT, PACING/NEURO LEAD",C1883,HCPCS,278,RC,211552,CDM,,,,both,,,10388.0000,6752.2000,BLUE CROSS,MY BLUE EX,1797.12,,,,,,,173.1700,10388.0000,percent of total billed charges,"17.3% of $10,388.00 in Billed Charges for Rev 278 Proc C1883 = $1,797.12. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
