"ADAPT/EXT, PACING/NEURO LEAD",C1883,HCPCS,278,RC,197351,CDM,,,,both,,,2650.0000,1722.5000,QUALITY HEALTH,MULTIPLAN,2385.00,,,,,,,173.1700,2650.0000,percent of total billed charges,"90% of $2,650.00 in Billed Charges for Rev 278 Proc C1883 = $2,385.00. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"ADAPT/EXT, PACING/NEURO LEAD",C1883,HCPCS,278,RC,211552,CDM,,,,both,,,10388.0000,6752.2000,BLUE CROSS,BCBS NETWORKBLUE,6232.80,,,,,,,173.1700,10388.0000,percent of total billed charges,"60% of $10,388.00 in Billed Charges for Rev 278 Proc C1883 = $6,232.80. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"ADAPT/EXT, PACING/NEURO LEAD",C1883,HCPCS,278,RC,211552,CDM,,,,both,,,10388.0000,6752.2000,PHCS,PHCS,9349.20,,,,,,,173.1700,10388.0000,percent of total billed charges,"90% of $10,388.00 in Billed Charges for Rev 278 Proc C1883 = $9,349.20. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"ADAPT/EXT, PACING/NEURO LEAD",C1883,HCPCS,278,RC,211553,CDM,,,,both,,,13139.0000,8540.3500,UNITED HEALTHCARE,NHP HMO,7883.40,,,,,,,173.1700,13139.0000,percent of total billed charges,"60% of $13,139.00 in Billed Charges for Rev 278 Proc C1883 = $7,883.40. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,116567,CDM,,,,both,,,65434.0000,42532.1000,AVMED,AVMED INDIVIDUAL,26435.34,,,,,,,173.1700,65434.0000,percent of total billed charges,"40.4% of $65,434.00 in Billed Charges for Rev 275 Proc C1721 = $26,435.34. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,116567,CDM,,,,both,,,65434.0000,42532.1000,DIMENSION HEALTH PLAN,DIMENSION 2,58890.60,,,,,,,173.1700,65434.0000,percent of total billed charges,"90% of $65,434.00 in Billed Charges for Rev 275 Proc C1721 = $58,890.60. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,116600,CDM,,,,both,,,62014.0000,40309.1000,UNITED HEALTHCARE,NHP HMO,37208.40,,,,,,,173.1700,62014.0000,percent of total billed charges,"60% of $62,014.00 in Billed Charges for Rev 275 Proc C1721 = $37,208.40. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,151794,CDM,,,,both,,,48283.0000,31383.9500,AFFORDABLE,AFFORDABLE PPO,41040.55,,,,,,,173.1700,48283.0000,percent of total billed charges,"85% of $48,283.00 in Billed Charges for Rev 275 Proc C1721 = $41,040.55. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,151794,CDM,,,,both,,,48283.0000,31383.9500,AVMED,AVMED PPO,23755.24,,,,,,,173.1700,48283.0000,percent of total billed charges,"49.2% of $48,283.00 in Billed Charges for Rev 275 Proc C1721 = $23,755.24. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,151807,CDM,,,,both,,,26758.0000,17392.7000,BLUE CROSS,BCBS NETWORKBLUE,16054.80,,,,,,,173.1700,26758.0000,percent of total billed charges,"60% of $26,758.00 in Billed Charges for Rev 275 Proc C1721 = $16,054.80. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
