"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,157907,CDM,,,,both,,,1.0000,0.6500,NON CONTRACTED,OSCAR HEALTH EXCHANGE,0.37,,,,,,,0.1700,173.1700,percent of total billed charges,36.7% of $1.00 in Billed Charges for Rev 275 Proc C1721 = $0.37. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person.
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,160973,CDM,,,,both,,,67095.0000,43611.7500,AVMED,AVMED INDIVIDUAL,27106.38,,,,,,,173.1700,67095.0000,percent of total billed charges,"40.4% of $67,095.00 in Billed Charges for Rev 275 Proc C1721 = $27,106.38. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,174400,CDM,,,,both,,,61830.0000,40189.5000,CIGNA,CIGNA CONNECT NETWORK EXCHANGE,23495.40,,,,,,,173.1700,61830.0000,percent of total billed charges,"38% of $61,830.00 in Billed Charges for Rev 275 Proc C1721 = $23,495.40. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,174400,CDM,,,,both,,,61830.0000,40189.5000,QUALITY HEALTH,MULTIPLAN,55647.00,,,,,,,173.1700,61830.0000,percent of total billed charges,"90% of $61,830.00 in Billed Charges for Rev 275 Proc C1721 = $55,647.00. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,177368,CDM,,,,both,,,57116.0000,37125.4000,AVMED,AVMED INDIVIDUAL,23074.86,,,,,,,173.1700,57116.0000,percent of total billed charges,"40.4% of $57,116.00 in Billed Charges for Rev 275 Proc C1721 = $23,074.86. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,177368,CDM,,,,both,,,57116.0000,37125.4000,PHCS,PHCS,51404.40,,,,,,,173.1700,57116.0000,percent of total billed charges,"90% of $57,116.00 in Billed Charges for Rev 275 Proc C1721 = $51,404.40. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,196794,CDM,,,,both,,,63900.0000,41535.0000,AETNA,AETNA HMO EXCHANGE,24282.00,,,,,,,173.1700,63900.0000,percent of total billed charges,"38% of $63,900.00 in Billed Charges for Rev 275 Proc C1721 = $24,282.00. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,196794,CDM,,,,both,,,63900.0000,41535.0000,AFFORDABLE,AFFORDABLE PPO,54315.00,,,,,,,173.1700,63900.0000,percent of total billed charges,"85% of $63,900.00 in Billed Charges for Rev 275 Proc C1721 = $54,315.00. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,196794,CDM,,,,both,,,63900.0000,41535.0000,AVMED,AVMED ENTRUST,22684.50,,,,,,,173.1700,63900.0000,percent of total billed charges,"35.5% of $63,900.00 in Billed Charges for Rev 275 Proc C1721 = $22,684.50. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,196794,CDM,,,,both,,,63900.0000,41535.0000,BLUE CROSS,MY BLUE EX,11054.70,,,,,,,173.1700,63900.0000,percent of total billed charges,"17.3% of $63,900.00 in Billed Charges for Rev 275 Proc C1721 = $11,054.70. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,198308,CDM,,,,both,,,59204.0000,38482.6000,CIGNA,CIGNA PPO,47363.20,,,,,,,173.1700,59204.0000,percent of total billed charges,"80% of $59,204.00 in Billed Charges for Rev 275 Proc C1721 = $47,363.20. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,198308,CDM,,,,both,,,59204.0000,38482.6000,UNITED HEALTHCARE,INTL UNITED HEALTH,47363.20,,,,,,,173.1700,59204.0000,percent of total billed charges,"80% of $59,204.00 in Billed Charges for Rev 275 Proc C1721 = $47,363.20. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,198309,CDM,,,,both,,,69651.0000,45273.1500,UNITED HEALTHCARE,UNITED INDIVIDUAL EXCHANGE,69651.00,,,,,,,173.1700,69651.0000,percent of total billed charges,"100% of $69,651.00 in Billed Charges for Rev 275 Proc C1721 = $69,651.00. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, DUAL CHAMBER",C1721,HCPCS,275,RC,199045,CDM,,,,both,,,71517.0000,46486.0500,BLUE CROSS,BLUE SELECT,30037.14,,,,,,,173.1700,71517.0000,percent of total billed charges,"42% of $71,517.00 in Billed Charges for Rev 275 Proc C1721 = $30,037.14. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
"AICD, OTHER THAN SING/DUAL",C1882,HCPCS,275,RC,116566,CDM,,,,both,,,84890.0000,55178.5000,UNITED HEALTHCARE,UNITED HMO,50934.00,,,,,,,173.1700,84890.0000,percent of total billed charges,"60% of $84,890.00 in Billed Charges for Rev 275 Proc C1882 = $50,934.00. Percent of Charge CDM service is reimbursed at a line level and those calculations will not change from person to person."
