"*ADAPTER, 1/4"" PERF. W/ M-LUER","Wilm54204847","CDM","270","RC","","","","","facility","both","","","","22.9","22.9","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, CATHETER","CcsmCT11426","CDM","270","RC","","","","","facility","both","","","","0.91","0.91","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, DUAL MALE","Chrs541305","CDM","270","RC","","","","","facility","both","","","","2.85","2.85","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, DUAL MALE","Wilm541305","CDM","270","RC","","","","","facility","both","","","","2.85","2.85","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, LUER LOCK C - CATHETER ADAPTER EQ2","CcthChSup106220","CDM","272","RC","","","","","facility","both","","","","19.19","19.19","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, STAY SAFE LUER LOCK 4 INCH","CcthChSup31063","CDM","270","RC","","","","","facility","both","","","","87.87","87.87","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, UROSTOMY DRAIN TUBE","EplbChSup4771","CDM","270","RC","","","","","facility","both","","","","5.82","5.82","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTOR, BIOPSY VALVE","EplbChSup31698","CDM","270","RC","","","","","facility","both","","","","40.46","40.46","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE SUCTION 500ML","ChrsMR100777","CDM","270","RC","","","","","facility","both","","","","166.41","166.41","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE W/TWIST VALVE","CcthChSup7963","CDM","270","RC","","","","","facility","both","","","","61.25","61.25","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, LEG URI-DRAIN MED","CcicMR2465","CDM","270","RC","","","","","facility","both","","","","16.86","16.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, LEG URI-DRAIN MED","Ccsm382465","CDM","270","RC","","","","","facility","both","","","","16.86","16.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, LEG URI-DRAIN MED","CcthChSup2465","CDM","270","RC","","","","","facility","both","","","","16.86","16.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, URINARY DRAINAGE CYSTOFLO","Ccsp38837","CDM","270","RC","","","","","facility","both","","","","16.46","16.46","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, URINARY DRAINAGE CYSTOFLO","EplbChSup837","CDM","270","RC","","","","","facility","both","","","","16.46","16.46","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BANDAGE, CHIN MEDIUM","Wilm5426471","CDM","270","RC","","","","","facility","both","","","","186.84","186.84","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
