"*BIT, DRILL 8.0MM","Chrs5457748","CDM","272","RC","","","","","facility","both","","","","3254.62","3254.62","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL AO STERILE 04.2X360MM","AngiWmSup119405","CDM","272","RC","","","","","facility","both","","","","750.38","750.38","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL CALIBRATED CMP FT 2.0MM","Wilm3164217","CDM","272","RC","","","","","facility","both","","","","1233.4","1233.4","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL CANNULATED 2.1MM","EplbChSup76864","CDM","272","RC","","","","","facility","both","","","","1515.13","1515.13","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL CANNULATED 2.7MM FOR QUICK COUPLING","AngiChSup107157","CDM","272","RC","","","","","facility","both","","","","2745.61","2745.61","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL CANNULATED LONG 3.0MM","AngiChSup106860","CDM","272","RC","","","","","facility","both","","","","1233.4","1233.4","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL CANNULATED LONG 3.0MM","CcthChSup106860","CDM","272","RC","","","","","facility","both","","","","1233.4","1233.4","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL CARBIDE 4.0MM STRL","CcthChSup67941","CDM","272","RC","","","","","facility","both","","","","1634.76","1634.76","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL CARBIDE 4.0MM STRL","Wilm5467941","CDM","272","RC","","","","","facility","both","","","","1634.76","1634.76","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL LOCKING MEDIUM 3.1X238MM","CcthChSup73868","CDM","272","RC","","","","","facility","both","","","","1194.23","1194.23","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL MATRIX 1.5MM J-LATCH FOR 03.503.045/047","Wilm5456426","CDM","272","RC","","","","","facility","both","","","","1331.2","1331.2","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL NON-LOCKING SHORT 2.5X216MM","EplbChSup63541","CDM","272","RC","","","","","facility","both","","","","1255.54","1255.54","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL QUICK COUPLING 2.8X165MM","Chrs5466555","CDM","272","RC","","","","","facility","both","","","","538.96","538.96","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL RELINE C","AngiWmSup119204","CDM","272","RC","","","","","facility","both","","","","583.86","583.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL RELINE C","CcthChSup119204","CDM","272","RC","","","","","facility","both","","","","583.86","583.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL SOLID CORE AO/QC 3.0MM","EplbChSup118821","CDM","272","RC","","","","","facility","both","","","","671.44","671.44","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL STOP 1.5X105X7MM","CcthChSup106554","CDM","272","RC","","","","","facility","both","","","","759.02","759.02","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL UCSS","Chrs5419843","CDM","270","RC","","","","","facility","both","","","","2002.64","2002.64","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL W/STOP 1.1X6MM","CcthChSup48878","CDM","272","RC","","","","","facility","both","","","","590.69","590.69","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT,TRIM-IT DRILL 2.4MM","Wilm3165731","CDM","272","RC","","","","","facility","both","","","","1233.4","1233.4","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, ACROMIOBLASTER 4.0MM","EplbChSup213818","CDM","270","RC","","","","","facility","both","","","","120.8","120.8","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, ARTH INCISOR 4.5MM PLUS","EplbChSup86403","CDM","270","RC","","","","","facility","both","","","","131.02","131.02","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, BONE REDUCTION 2.0X7MM","AngiWmSup109364","CDM","272","RC","","","","","facility","both","","","","1237.79","1237.79","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, CHISEL STAINLESS #8400","CcthChSup97556","CDM","270","RC","","","","","facility","both","","","","7.9","7.9","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, DUAL-CUT SAGITTAL 31.5 X .89 X 75MM","AngiChSup110918","CDM","270","RC","","","","","facility","both","","","","735.67","735.67","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, ELECTRODE 3/4""","EplbChSup825","CDM","270","RC","","","","","facility","both","","","","18.73","18.73","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, FLAT 10MM X 11CM","AngiChSup115068","CDM","272","RC","","","","","facility","both","","","","932.9","932.9","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, FLAT 8MM X 5CM","AngiWmSup115064","CDM","272","RC","","","","","facility","both","","","","932.9","932.9","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, FULL RADIUS 60MM","Chrs5447214","CDM","272","RC","","","","","facility","both","","","","3328.01","3328.01","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, MINI BEAVER ORTHOPEDIC  1.31IN","EplbChSup76281","CDM","272","RC","","","","","facility","both","","","","8.07","8.07","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, MT1S-10 OSTEOTOMY MICROSAW .35MM THICK","AngiChSup116410","CDM","272","RC","","","","","facility","both","","","","3497.33","3497.33","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, OSTEOTOME SHORT 12MM WIDE","AngiWmSup109531","CDM","272","RC","","","","","facility","both","","","","842.87","842.87","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, PATELLAR REAMER 41MM","CcthChSup100407","CDM","270","RC","","","","","facility","both","","","","437.9","437.9","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, PATELLAR REAMER 51MM","EplbChSup100409","CDM","270","RC","","","","","facility","both","","","","437.9","437.9","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, PERFORATED HELICAL 95MM","EplbChSup75190","CDM","272","RC","","","","","facility","both","","","","3823.36","3823.36","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, PRECISION FALCON OSCILLATING TIP 25X90X27MM","AngiWmSup78356","CDM","272","RC","","","","","facility","both","","","","822.62","822.62","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, REAMER X-REAM BLADE","EplbChSup118256","CDM","272","RC","","","","","facility","both","","","","2672.49","2672.49","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, RECIPROCATING STRYKER","EplbChSup9948","CDM","270","RC","","","","","facility","both","","","","274.01","274.01","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, ROUND 3.0 AGGRESSIVE 10-FLUTE","Chrs5472317","CDM","272","RC","","","","","facility","both","","","","227.71","227.71","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, SAG MICRO","Wilm549394","CDM","270","RC","","","","","facility","both","","","","43.97","43.97","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, SAGITAL SAFEDGE STERNUM REV","Chrs3132581","CDM","270","RC","","","","","facility","both","","","","190.05","190.05","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, SAGITAL SYSTEM 6","Wilm5437024","CDM","270","RC","","","","","facility","both","","","","319.08","319.08","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, SHAVER STRAIGHT SINGLE SERRATED STERIL 3MM","AngiWmSup114798","CDM","272","RC","","","","","facility","both","","","","1234.72","1234.72","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, TRICUT ROTATE W/IRR 4MM M4","CcthChSup29139","CDM","270","RC","","","","","facility","both","","","","1466.01","1466.01","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, TRUNCATED STARTER 60MM","EplbChSup47207","CDM","272","RC","","","","","facility","both","","","","3328.01","3328.01","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE,LARYNGOSCOPE  DISP MAC 2","CcthChSup75378","CDM","272","RC","","","","","facility","both","","","","22.48","22.48","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE,OPHTH ANG.CRESCENT #0002","Wilm5495661","CDM","270","RC","","","","","facility","both","","","","66.73","66.73","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE,SAGITTAL FINE THIN OFFSET 9.5X41X0.4","Wilm3164186","CDM","272","RC","","","","","facility","both","","","","172.24","172.24","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE,SAGITTAL SURGICAL SAW 9.5X25.5 RES","EplbChSup76868","CDM","272","RC","","","","","facility","both","","","","80.92","80.92","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BRA, POST SURGICAL DALE XX-LARGE","CcthChSup29072","CDM","270","RC","","","","","facility","both","","","","93.13","93.13","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BUR, HOLE COVER FOR SHUNT 15MM DIAMETER","Wilm5470596","CDM","278","RC","C1713","HCPCS","","","facility","both","","","","1063.73","1063.73","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BUR, LEGEND MATCH 14CMX3MM","EplbChSup28448","CDM","272","RC","","","","","facility","both","","","","663.33","663.33","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BUR, MR8 9CM ACORN 6MM DIAMETER","CcthChSup111310","CDM","272","RC","","","","","facility","both","","","","668.23","668.23","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BUR, OVAL FLUSHCUT 8 FLUTE 5.5MMX13CM","EplbChSup49827","CDM","272","RC","","","","","facility","both","","","","231.2","231.2","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BUR, ROUND DIAMOND HIGH SPEED 5MM","Chrs3131586","CDM","270","RC","","","","","facility","both","","","","2465.69","2465.69","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BUR, ROUND HL 8 FLUTE 4.0MM X 19CM","Chrs5455190","CDM","272","RC","","","","","facility","both","","","","231.2","231.2","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
