"*ADAPTER, CATHETER","AngiChSup1426","CDM","270","RC","","","","","facility","both","","","","0.91","0.91","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, CATHETER","WilmCT11426","CDM","270","RC","","","","","facility","both","","","","0.91","0.91","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, CORONARY PERFUSION","Chrs5482502","CDM","270","RC","","","","","facility","both","","","","51.8","51.8","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, MULTI-TAP BONE FILLER","AngiChSup112267","CDM","272","RC","","","","","facility","both","","","","283.75","283.75","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, SWIVEL TRACH FIBEROPT","EplbChSup1175","CDM","270","RC","","","","","facility","both","","","","23.98","23.98","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, UROSTOMY DRAIN TUBE","Chrs544771","CDM","270","RC","","","","","facility","both","","","","5.82","5.82","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, VIAL MULTI-DOSE","Chrs541844","CDM","270","RC","","","","","facility","both","","","","7.91","7.91","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTOR, ADULT AIRWAY","Chrs5423320","CDM","270","RC","","","","","facility","both","","","","88.69","88.69","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTOR, BIOPSY VALVE","PulmCh31698","CDM","270","RC","","","","","facility","both","","","","40.46","40.46","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ALCOHOL, ISOPROPYL  70% 4OZ","CcthChSup69220","CDM","272","RC","","","","","facility","both","","","","0.67","0.67","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*APPLICATOR, ARISTA FLEXI TIP","Wilm5433127","CDM","270","RC","","","","","facility","both","","","","71.82","71.82","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*APPLICATOR,ARISTA FLEXI TIP RIGID XL-R 38","Wilm3166941","CDM","272","RC","","","","","facility","both","","","","242.31","242.31","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ARISTA, 1 GRAM TOPICAL DRESSING","EplbChSup31703","CDM","272","RC","","","","","facility","both","","","","475.85","475.85","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE SUCTION 500ML","Ccim47100777","CDM","270","RC","","","","","facility","both","","","","166.41","166.41","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE SUCTION 500ML","Ccsm47100777","CDM","270","RC","","","","","facility","both","","","","166.41","166.41","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE SUCTION 500ML","HcccMR100777","CDM","270","RC","","","","","facility","both","","","","166.41","166.41","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE W/TWIST VALVE","Chrs387963","CDM","270","RC","","","","","facility","both","","","","61.25","61.25","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
