"*ADAPTER, CATHETER","CcsmUS11426","CDM","270","RC","","","","","facility","both","","","","0.91","0.91","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, SWIVEL TRACH FIBEROPT","Wilm541175","CDM","270","RC","","","","","facility","both","","","","23.98","23.98","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTOR, ADULT AIRWAY","EplbChSup23320","CDM","270","RC","","","","","facility","both","","","","88.69","88.69","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTOR, ADULT AIRWAY","Wilm5423320","CDM","270","RC","","","","","facility","both","","","","88.69","88.69","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADHESIVE, SKIN CLOSURE DERMABOND TOPICAL 0.36ML","CcthChSup110416","CDM","270","RC","","","","","facility","both","","","","60.84","60.84","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ALCOHOL, ISOPROPYL  70% 4OZ","EplbChSup69220","CDM","272","RC","","","","","facility","both","","","","0.67","0.67","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE SUCTION 500ML","Ccsp38100777","CDM","270","RC","","","","","facility","both","","","","166.41","166.41","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE SUCTION 500ML","Chrs54100777","CDM","270","RC","","","","","facility","both","","","","166.41","166.41","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, LEG URI-DRAIN MED","Fcin472465","CDM","270","RC","","","","","facility","both","","","","16.86","16.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, URINARY DRAINAGE CYSTOFLO","Ccim41837","CDM","270","RC","","","","","facility","both","","","","16.46","16.46","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, URINARY DRAINAGE CYSTOFLO","CcimCT837","CDM","270","RC","","","","","facility","both","","","","16.46","16.46","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, URINARY DRAINAGE CYSTOFLO","Chrs38837","CDM","270","RC","","","","","facility","both","","","","16.46","16.46","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, URINARY DRAINAGE CYSTOFLO","HcccMR837","CDM","270","RC","","","","","facility","both","","","","16.46","16.46","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAND, CIRCLING 2.5MM  STYLE 240","Chrs5450403","CDM","270","RC","","","","","facility","both","","","","94.59","94.59","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BANDAGE, COBAN 3"" ST NO LATEX","Wilm54214140","CDM","270","RC","","","","","facility","both","","","","7","7","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BANDAGE, COMPRESSION COBAN 2 LAYER","EplbChSup34216","CDM","270","RC","","","","","facility","both","","","","64.81","64.81","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BANDAGE, ELASTIC 6""","Wilm549x","CDM","270","RC","","","","","facility","both","","","","4.85","4.85","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BANDAGE, ELASTIC DOUBLE 6""","CcbcMg82180","CDM","270","RC","","","","","facility","both","","","","8.97","8.97","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BANDAGE, ELASTIC DOUBLE 6""","CcicMR82180","CDM","270","RC","","","","","facility","both","","","","8.97","8.97","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BANDAGE, ELASTIC DOUBLE 6""","Ccsp3882180","CDM","270","RC","","","","","facility","both","","","","8.97","8.97","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
