"*ADAPTER, CATHETER","Fcin4711426","CDM","270","RC","","","","","facility","both","","","","0.91","0.91","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, CATHETER","HcccMR11426","CDM","270","RC","","","","","facility","both","","","","0.91","0.91","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, Y GATEWAY PLUS .118","EplbChSup9964","CDM","270","RC","","","","","facility","both","","","","132.51","132.51","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*APPLICATOR, DUPLOTIP DUAL CANNULA TIP 20GX4""","Chrs3132601","CDM","270","RC","","","","","facility","both","","","","254.28","254.28","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE SUCTION 500ML","Midd38100777","CDM","270","RC","","","","","facility","both","","","","166.41","166.41","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE UROCATCHER STRL","CcthChSup215469","CDM","270","RC","","","","","facility","both","","","","90.5","90.5","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE W/TWIST VALVE","CcicCT7963","CDM","270","RC","","","","","facility","both","","","","61.25","61.25","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE W/TWIST VALVE","Ccsp417963","CDM","270","RC","","","","","facility","both","","","","61.25","61.25","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE W/TWIST VALVE","CcspMR7963","CDM","270","RC","","","","","facility","both","","","","61.25","61.25","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE W/TWIST VALVE","S107MR7963","CDM","270","RC","","","","","facility","both","","","","61.25","61.25","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, LEG URI-DRAIN MED","CcspUS2465","CDM","270","RC","","","","","facility","both","","","","16.86","16.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, LEG URI-DRAIN MED","ChadCh2465","CDM","270","RC","","","","","facility","both","","","","16.86","16.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, LEG URI-DRAIN MED","MiddUS2465","CDM","270","RC","","","","","facility","both","","","","16.86","16.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, LEG URI-DRAIN MED","S107412465","CDM","270","RC","","","","","facility","both","","","","16.86","16.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BANDAGE, COBAN 4""","CcthChSup480","CDM","270","RC","","","","","facility","both","","","","7.48","7.48","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BANDAGE, ELASTOPLAST 4""","CcthChSup26","CDM","270","RC","","","","","facility","both","","","","35.35","35.35","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BANDAGE, ESMARK 6"" - NO LATEX","Wilm54214139","CDM","270","RC","","","","","facility","both","","","","18.9","18.9","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
