"**ADAPTER, STAY SAFE LUER LOCK 12 INCH","CcthChSup34119","CDM","270","RC","","","","","facility","both","","","","156.82","156.82","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, 20FR UNIVERSAL PEG ENFIT","CcthChSup114030","CDM","272","RC","","","","","facility","both","","","","78.31","78.31","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*AIRWAY, 90 MM GUEDEL","EplbChSup2644","CDM","270","RC","","","","","facility","both","","","","0.29","0.29","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ANCHOR, BUTTERFLY","EplbChSup67283","CDM","278","RC","C1883","HCPCS","","","facility","both","","","","183.92","183.92","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*APPLICATOR, MASTISOL ADH SEPPS","CcthChSup1231","CDM","270","RC","","","","","facility","both","","","","10.05","10.05","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, BILIARY DRAINAGE","CcthChSup3049","CDM","270","RC","","","","","facility","both","","","","93.33","93.33","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE SUCTION 500ML","CcsbCT100777","CDM","270","RC","","","","","facility","both","","","","166.41","166.41","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE SUCTION 500ML","Ccsp47100777","CDM","270","RC","","","","","facility","both","","","","166.41","166.41","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE SUCTION 500ML","ChrsCT100777","CDM","270","RC","","","","","facility","both","","","","166.41","166.41","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE W/TWIST VALVE","Ccim387963","CDM","270","RC","","","","","facility","both","","","","61.25","61.25","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE W/TWIST VALVE","Hccc477963","CDM","270","RC","","","","","facility","both","","","","61.25","61.25","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE W/TWIST VALVE","Midd477963","CDM","270","RC","","","","","facility","both","","","","61.25","61.25","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE W/TWIST VALVE","Wilm547963","CDM","270","RC","","","","","facility","both","","","","61.25","61.25","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, LEG URI-DRAIN MED","Ccim382465","CDM","270","RC","","","","","facility","both","","","","16.86","16.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, LEG URI-DRAIN MED","CcsmMR2465","CDM","270","RC","","","","","facility","both","","","","16.86","16.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, LEG URI-DRAIN MED","CcspCT2465","CDM","270","RC","","","","","facility","both","","","","16.86","16.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, URINARY DRAINAGE CYSTOFLO","CcimMR837","CDM","270","RC","","","","","facility","both","","","","16.46","16.46","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BALL, JURGAN  W332","CcthChSup97634","CDM","270","RC","","","","","facility","both","","","","40.87","40.87","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BANDAGE, ELASTIC DOUBLE 6""","CcimCT82180","CDM","270","RC","","","","","facility","both","","","","8.97","8.97","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BANDAGE, ELASTIC DOUBLE 6""","ChrsCT82180","CDM","270","RC","","","","","facility","both","","","","8.97","8.97","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BANDAGE, ELASTIC DOUBLE 6""","Wilm5482180","CDM","270","RC","","","","","facility","both","","","","8.97","8.97","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BANDAGE, ESMARK 6"" - NO LATEX","CcthChSup214139","CDM","270","RC","","","","","facility","both","","","","18.9","18.9","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, CANNULATED 2.5MM","CcthChSup65296","CDM","272","RC","","","","","facility","both","","","","1042","1042","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 1.1X50MM 9MM STOP W/NT 108565","EplbChSup108565","CDM","272","RC","","","","","facility","both","","","","729.83","729.83","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 16MM CANN PERCUTANEOUS FLEXIBLE","EplbChSup118222","CDM","272","RC","","","","","facility","both","","","","4631.86","4631.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 2.0MM - 6425","EplbChSup6425","CDM","270","RC","","","","","facility","both","","","","428.79","428.79","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 2.0MM DIA 125MM RES","CcthChSup76858","CDM","272","RC","","","","","facility","both","","","","138.67","138.67","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 2.0MM DIA 125MM","EplbChSup93942","CDM","270","RC","","","","","facility","both","","","","452.6","452.6","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 2.0X140MM","AngiChSup112084","CDM","272","RC","","","","","facility","both","","","","911.17","911.17","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 2.0X24MM","Wilm5457701","CDM","272","RC","","","","","facility","both","","","","1138.53","1138.53","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 2.5MM 3 FLUTED","CcthChSup24217","CDM","270","RC","","","","","facility","both","","","","1033.26","1033.26","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 2.5MMQK COUP STRL","EplbChSup107230","CDM","272","RC","","","","","facility","both","","","","726.56","726.56","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 3.0MM","Wilm5470445","CDM","272","RC","","","","","facility","both","","","","500.95","500.95","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 3.5MM ARTHREX","CcthChSup49649","CDM","272","RC","","","","","facility","both","","","","500.95","500.95","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 3.5MM ARTHREX","Chrs5449649","CDM","272","RC","","","","","facility","both","","","","500.95","500.95","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 4.2MM","AngiChSup110247","CDM","272","RC","","","","","facility","both","","","","1693.2","1693.2","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 8.0MM","EplbChSup57748","CDM","272","RC","","","","","facility","both","","","","3254.62","3254.62","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL ADJUST YUKON 2.3MM","CcthChSup78564","CDM","272","RC","","","","","facility","both","","","","659.76","659.76","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL ADJUST YUKON 2.3MM","EplbChSup78564","CDM","272","RC","","","","","facility","both","","","","659.76","659.76","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
