"*115185 BIT, DRILL CANNULATED 2.9MM","AngiChSup115185","CDM","272","RC","","","","","facility","both","","","","1070.09","1070.09","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, CATHETER","CcimUS11426","CDM","270","RC","","","","","facility","both","","","","0.91","0.91","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, CATHETER","ChrsCT11426","CDM","270","RC","","","","","facility","both","","","","0.91","0.91","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, LUER LOCK C - CATHETER ADAPTER EQ2","EplbChSup106220","CDM","272","RC","","","","","facility","both","","","","19.19","19.19","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTOR, BIOPSY VALVE","Wilm5431698","CDM","270","RC","","","","","facility","both","","","","40.46","40.46","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*AIRWAY, 90 MM GUEDEL","Wilm542644x","CDM","270","RC","","","","","facility","both","","","","0.29","0.29","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE W/TWIST VALVE","Ccsm387963","CDM","270","RC","","","","","facility","both","","","","61.25","61.25","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, LEG URI-DRAIN MED","CcsbMR2465","CDM","270","RC","","","","","facility","both","","","","16.86","16.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, LEG URI-DRAIN MED","Chrs542465","CDM","270","RC","","","","","facility","both","","","","16.86","16.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, LEG URI-DRAIN MED","Hccc382465","CDM","270","RC","","","","","facility","both","","","","16.86","16.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, LEG URI-DRAIN MED","HcccCT2465","CDM","270","RC","","","","","facility","both","","","","16.86","16.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, LEG URI-DRAIN MED","S107472465","CDM","270","RC","","","","","facility","both","","","","16.86","16.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, OSTOMY 1 PIECE CUT TO FIT 3/8-3IN SENSURA","CcthChSup38410","CDM","270","RC","","","","","facility","both","","","","2.74","2.74","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
