"**TRAY,WAYNE PNEUMOTHORAX CATH 14FR 29CM PIGT","CinvClSup71887","CDM","272","RC","","","","","facility","both","","","","1357.86","1357.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, CORONARY PERFUSION","Wilm5482502","CDM","270","RC","","","","","facility","both","","","","51.8","51.8","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, MULTI-TAP BONE FILLER","CcthChSup112267","CDM","272","RC","","","","","facility","both","","","","283.75","283.75","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ARISTA, 1 GRAM TOPICAL DRESSING","Wilm5431703","CDM","272","RC","","","","","facility","both","","","","475.85","475.85","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, CFS DRAINAGE REPLACEMENT","Chrs54631","CDM","270","RC","","","","","facility","both","","","","180.06","180.06","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, CFS DRAINAGE REPLACEMENT","Wilm31631","CDM","270","RC","","","","","facility","both","","","","180.06","180.06","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE SUCTION 500ML","CcsmUS100777","CDM","270","RC","","","","","facility","both","","","","166.41","166.41","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE SUCTION 500ML","FcinMR100777","CDM","270","RC","","","","","facility","both","","","","166.41","166.41","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE SUCTION 500ML","S107US100777","CDM","270","RC","","","","","facility","both","","","","166.41","166.41","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE W/TWIST VALVE","MiddCT7963","CDM","270","RC","","","","","facility","both","","","","61.25","61.25","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, LEG URI-DRAIN MED","ChrsCT2465","CDM","270","RC","","","","","facility","both","","","","16.86","16.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, OSTOMY 1 PIECE CUT TO FIT 3/8-3IN SENSURA","Wilm5438410","CDM","270","RC","","","","","facility","both","","","","2.74","2.74","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, URINARY DRAINAGE CYSTOFLO","S107US837","CDM","270","RC","","","","","facility","both","","","","16.46","16.46","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BANDAGE, CHIN LARGE","Wilm5433423","CDM","270","RC","","","","","facility","both","","","","186.84","186.84","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BANDAGE, COBAN 3"" ST NO LATEX","Chrs54214140","CDM","270","RC","","","","","facility","both","","","","7","7","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BANDAGE, ELASTIC 6""","Chrs549x","CDM","270","RC","","","","","facility","both","","","","4.85","4.85","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BANDAGE, ELASTIC DOUBLE 6""","CcsbMR82180","CDM","270","RC","","","","","facility","both","","","","8.97","8.97","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BANDAGE, ELASTIC DOUBLE 6""","ChrsMR82180","CDM","270","RC","","","","","facility","both","","","","8.97","8.97","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BANDAGE, ELASTIC DOUBLE 6""","MiddUS82180","CDM","270","RC","","","","","facility","both","","","","8.97","8.97","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BANDAGE, ESMARK LF BLU STRL 3INX12FT","Chrs5469114","CDM","272","RC","","","","","facility","both","","","","12.37","12.37","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BINDER, ABDOMINAL 12"" 30-45","EplbChSup2759","CDM","270","RC","","","","","facility","both","","","","33.39","33.39","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BINDER, ABDOMINAL 12"" 45-62","Wilm542715","CDM","270","RC","","","","","facility","both","","","","32.69","32.69","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BINDER, ABDOMINAL 9"" 30-45","Chrs312760","CDM","270","RC","","","","","facility","both","","","","26.68","26.68","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, 5.0MM CANNULATED DRILL","Wilm5423258","CDM","270","RC","","","","","facility","both","","","","2084.39","2084.39","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 1.5 MINI-QUICK 65MM","Chrs54211375","CDM","270","RC","","","","","facility","both","","","","440.7","440.7","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 1.8MM QUICK COUP","Chrs5494058","CDM","270","RC","","","","","facility","both","","","","1050.95","1050.95","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 3.5X130MM STERILE","Wilm5425640","CDM","270","RC","","","","","facility","both","","","","1033.43","1033.43","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 3.5X60MM","EplbChSup61044","CDM","272","RC","","","","","facility","both","","","","1138.53","1138.53","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 4.3MM PERCUTANEOUS QC CALIB","EplbChSup31752","CDM","272","RC","","","","","facility","both","","","","1036.24","1036.24","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL AO CALIBRATED 3.2MMX180MM","Chrs5463830","CDM","272","RC","","","","","facility","both","","","","961.27","961.27","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL AO FITTING SCALED 2.6X135MM","EplbChSup70979","CDM","272","RC","","","","","facility","both","","","","916.66","916.66","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL ATLANTIS TRANSLAT 11MM","Chrs5459486","CDM","272","RC","","","","","facility","both","","","","682.53","682.53","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL CALIBRATED CMP FT 2.0MM","CcthChSup64217","CDM","272","RC","","","","","facility","both","","","","1233.4","1233.4","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL CALIBRATED CMP FT 2.2MM","Wilm3163159","CDM","272","RC","","","","","facility","both","","","","1233.4","1233.4","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL CANN AO FITTING 2.7MM","EplbChSup60948","CDM","272","RC","","","","","facility","both","","","","1603.4","1603.4","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
