"**ADAPTER, STAY SAFE LUER LOCK 12 INCH","DialCh34119","CDM","270","RC","","","","","facility","both","","","","156.82","156.82","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*116756 SIZER, NATRELLE SM RND LOW PROFILE 400-420CC","AngiChSup116756","CDM","272","RC","","","","","facility","both","","","","38.5","38.5","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, CATHETER","CcicMR11426","CDM","270","RC","","","","","facility","both","","","","0.91","0.91","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, CATHETER","Ccsb3811426","CDM","270","RC","","","","","facility","both","","","","0.91","0.91","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, CATHETER","Chrs3811426","CDM","270","RC","","","","","facility","both","","","","0.91","0.91","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, CORONARY PERFUSION","EplbChSup82502","CDM","270","RC","","","","","facility","both","","","","51.8","51.8","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, EXTENSION LINE DLP 10""","EplbChSup57898","CDM","272","RC","","","","","facility","both","","","","37.63","37.63","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*APPLICATOR, ARISTA FLEXI TIP","Chrs3133127","CDM","270","RC","","","","","facility","both","","","","71.82","71.82","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE SUCTION 500ML","FcinCT100777","CDM","270","RC","","","","","facility","both","","","","166.41","166.41","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE SUCTION 500ML","WilmMR100777","CDM","270","RC","","","","","facility","both","","","","166.41","166.41","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE W/TWIST VALVE","CcccCR7963","CDM","270","RC","","","","","facility","both","","","","61.25","61.25","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE W/TWIST VALVE","Ccsm477963","CDM","270","RC","","","","","facility","both","","","","61.25","61.25","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE W/TWIST VALVE","HcccMR7963","CDM","270","RC","","","","","facility","both","","","","61.25","61.25","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, LEG URI-DRAIN MED","Cccc562465","CDM","270","RC","","","","","facility","both","","","","16.86","16.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, LEG URI-DRAIN MED","CcimMR2465","CDM","270","RC","","","","","facility","both","","","","16.86","16.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, URIMETER DRAINAGE 350ML","Wilm54904","CDM","270","RC","","","","","facility","both","","","","41.92","41.92","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, URINARY DRAINAGE CYSTOFLO","CcsbUS837","CDM","270","RC","","","","","facility","both","","","","16.46","16.46","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, URINARY DRAINAGE CYSTOFLO","Chrs83837","CDM","270","RC","","","","","facility","both","","","","16.46","16.46","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, URINARY DRAINAGE CYSTOFLO","HcccUS837","CDM","270","RC","","","","","facility","both","","","","16.46","16.46","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
