"*115185 BIT, DRILL CANNULATED 2.9MM","EplbChSup115185","CDM","272","RC","","","","","facility","both","","","","1070.09","1070.09","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*115423 BIT, DRILL 2.8MM","AngiChSup115423","CDM","272","RC","","","","","facility","both","","","","808.82","808.82","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, CATHETER","HcccUS11426","CDM","270","RC","","","","","facility","both","","","","0.91","0.91","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, CATHETER","S1074111426","CDM","270","RC","","","","","facility","both","","","","0.91","0.91","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTOR, BIOPSY VALVE","AngiChSup31698","CDM","270","RC","","","","","facility","both","","","","40.46","40.46","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTOR, BIOPSY VALVE","CcthChSup31698","CDM","270","RC","","","","","facility","both","","","","40.46","40.46","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADHESIVE, SKIN CLOSURE DERMABOND ADVANCED 0.7ML","EplbChSup110415","CDM","270","RC","","","","","facility","both","","","","104.28","104.28","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*APPLICATOR, DUPLOTIP DUAL CANNULA TIP 20GX4""","CcthChSup32601","CDM","270","RC","","","","","facility","both","","","","254.28","254.28","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BABCOCK, REPROCESSED W/RATCHET HNDLE 5MM","Wilm5445414","CDM","272","RC","","","","","facility","both","","","","148.07","148.07","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE SUCTION 500ML","Ccsb41100777","CDM","270","RC","","","","","facility","both","","","","166.41","166.41","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE SUCTION 500ML","Wilm47100777","CDM","270","RC","","","","","facility","both","","","","166.41","166.41","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, LEG URI-DRAIN MED","CcccCR2465","CDM","270","RC","","","","","facility","both","","","","16.86","16.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, LEG URI-DRAIN MED","CcsbCT2465","CDM","270","RC","","","","","facility","both","","","","16.86","16.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, LEG URI-DRAIN MED","CcsbUS2465","CDM","270","RC","","","","","facility","both","","","","16.86","16.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, LEG URI-DRAIN MED","Chrs472465","CDM","270","RC","","","","","facility","both","","","","16.86","16.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, URINARY DRAINAGE CYSTOFLO","Ccsm38837","CDM","270","RC","","","","","facility","both","","","","16.46","16.46","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, ZIPLOC 8X10IN STERILE","Wilm3165297","CDM","270","RC","","","","","facility","both","","","","12.46","12.46","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BALL, JURGAN  W564","Chrs5497633","CDM","270","RC","","","","","facility","both","","","","42.82","42.82","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BALL, JURGAN W035","EplbChSup29055","CDM","270","RC","","","","","facility","both","","","","40.87","40.87","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BANDAGE, ELASTIC 2""","Wilm546","CDM","270","RC","","","","","facility","both","","","","0.36","0.36","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BANDAGE, ELASTIC DOUBLE 6""","Ccsp4182180","CDM","270","RC","","","","","facility","both","","","","8.97","8.97","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BANDAGE, ELASTIC DOUBLE 6""","CcspMR82180","CDM","270","RC","","","","","facility","both","","","","8.97","8.97","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BANDAGE, ESMARK 3"" - NO LATEX","Wilm54214138","CDM","270","RC","","","","","facility","both","","","","17.82","17.82","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BASIN, DISPOSABLE PLACENTA","EplbChSup74412","CDM","270","RC","","","","","facility","both","","","","25.73","25.73","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT,  DRILL CANN LARGE 12MM QC/190MM","CcthChSup50925","CDM","272","RC","","","","","facility","both","","","","2912.18","2912.18","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, 4.2X230MM STERILE AO DRILL","CcthChSup23130","CDM","270","RC","","","","","facility","both","","","","887.7","887.7","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 1.1X50MM 15MM STOP W/NT","AngiChSup107881","CDM","270","RC","","","","","facility","both","","","","525.48","525.48","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 1.5 MINI-QUICK 65MM","EplbChSup211375","CDM","270","RC","","","","","facility","both","","","","440.7","440.7","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 1.8MM QUICK COUP","Wilm5494058","CDM","270","RC","","","","","facility","both","","","","1050.95","1050.95","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 2.0X14MM STOP QC","Wilm5437841","CDM","272","RC","","","","","facility","both","","","","970.67","970.67","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 2.5MM 3 FLUTED RES","EplbChSup76849","CDM","272","RC","","","","","facility","both","","","","278.33","278.33","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
