"*BIT, DRILL 2.4MM QUCK COUPHALL","EplbChSup94064","CDM","270","RC","","","","","facility","both","","","","1050.95","1050.95","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 2.5MM - 26628","EplbChSup26628","CDM","270","RC","","","","","facility","both","","","","495.11","495.11","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 2.5MM HAND MINI QUICK CONNECT NON-STERILE DISPOSABLE FRACTURE SYSTEM","EplbChSup118820","CDM","272","RC","","","","","facility","both","","","","233.54","233.54","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 2.5X 135MM","AngiWmSup114015","CDM","272","RC","","","","","facility","both","","","","735.5","735.5","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 3.5MM X 195MM","EplbChSup19813","CDM","272","RC","","","","","facility","both","","","","452.6","452.6","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 4.2MM","AngiWmSup110247","CDM","272","RC","","","","","facility","both","","","","1693.2","1693.2","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 4.2X180MM","AngiChSup107007","CDM","272","RC","","","","","facility","both","","","","1450.32","1450.32","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL 4.3MM LONG CALIBRATED STRL","EplbChSup113003","CDM","272","RC","","","","","facility","both","","","","2072.24","2072.24","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL AO SCALED 2.0X135MM","Chrs5471548","CDM","272","RC","","","","","facility","both","","","","916.66","916.66","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL CALIBRATED 2.5MM","Chrs5444097","CDM","272","RC","","","","","facility","both","","","","538.91","538.91","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL CANNULATED 2.0MM 107885","AngiChSup107885","CDM","270","RC","","","","","facility","both","","","","1722.39","1722.39","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL CANNULATED LRG QC 10 X 190 MM","Chrs5455031","CDM","272","RC","","","","","facility","both","","","","3233.77","3233.77","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL DEPTH GAUGE 2MM","CcthChSup41236","CDM","272","RC","","","","","facility","both","","","","824.82","824.82","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL EVOLVE EPS 2.5MM","Chrs5458122","CDM","270","RC","","","","","facility","both","","","","677.28","677.28","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL FLEXIBLE CANNULATED 12MM","CcthChSup110156","CDM","272","RC","","","","","facility","both","","","","7016.61","7016.61","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL THREE FLUTED RADIOLUCENT 4.2X145MM","EplbChSup113221","CDM","272","RC","","","","","facility","both","","","","1408.45","1408.45","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL THREE-FLUTED 3.5X110MM","CcthChSup120072","CDM","272","RC","","","","","facility","both","","","","586.61","586.61","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL W/STOP 1.1X6MM","EplbChSup48878","CDM","272","RC","","","","","facility","both","","","","590.69","590.69","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT, DRILL W/STOP 3.0X12MM","CcthChSup42865","CDM","272","RC","","","","","facility","both","","","","1021.76","1021.76","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BIT,DRILL 1.0MM - 31854","Wilm5431854","CDM","272","RC","","","","","facility","both","","","","440.7","440.7","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, 27MM RECIPROCATING","Chrs5418761","CDM","270","RC","","","","","facility","both","","","","425.05","425.05","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, DISSECTOR 3.5 AGGRESSIVE","Chrs5472311","CDM","272","RC","","","","","facility","both","","","","227.71","227.71","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, E-Z 4IN EXTENDED CAUTERY","EplbChSup74648","CDM","272","RC","","","","","facility","both","","","","20.88","20.88","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, E-Z CAUTERY MODIFIED","EplbChSup5505","CDM","270","RC","","","","","facility","both","","","","33.27","33.27","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, FLAT 10MM X 5CM","AngiWmSup115067","CDM","272","RC","","","","","facility","both","","","","932.9","932.9","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, INCISOR CURVED ELITE LONG 4.5MM","EplbChSup34899","CDM","270","RC","","","","","facility","both","","","","593.74","593.74","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, MICRO 7X15MM","EplbChSup64113","CDM","272","RC","","","","","facility","both","","","","186.43","186.43","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, PATELLA REAMER 51MM","AngiWmSup115518","CDM","272","RC","","","","","facility","both","","","","411.57","411.57","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, PATELLA REAMER 51MM","EplbChSup115518","CDM","272","RC","","","","","facility","both","","","","411.57","411.57","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, SAG DUAL CUT 18X90X1.27MM RES","CcthChSup76844","CDM","272","RC","","","","","facility","both","","","","69.01","69.01","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, SAG DUAL CUT 25X90X1.27MM RES","CcthChSup76842","CDM","272","RC","","","","","facility","both","","","","69.01","69.01","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, SAGITTAL SAW - MEDIUM","Chrs54203333","CDM","270","RC","","","","","facility","both","","","","138.37","138.37","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, SAW KOMET","Chrs54205136","CDM","272","RC","","","","","facility","both","","","","134.87","134.87","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE, SCLEROTOME SS 2.3MM WIDTH MULTI-SIDED TIP","AngiChSup114683","CDM","272","RC","","","","","facility","both","","","","59.86","59.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLADE,OPHTH 3.0MM ANGLED #2962","EplbChSup916","CDM","270","RC","","","","","facility","both","","","","62.53","62.53","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BLOCK,BITE SEMI RIG ADULT LATEX FREE STRAP","CcthChSup65146","CDM","270","RC","","","","","facility","both","","","","17.75","17.75","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BRA, POST SURGICAL DALE LARGE","RadtEk29070","CDM","270","RC","","","","","facility","both","","","","93.13","93.13","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BRUSH, CYTOLOGY BC-15C 2.4MM","Chrs5494211","CDM","270","RC","","","","","facility","both","","","","85.84","85.84","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BUR, CARBIDE FG 169","Chrs5460230","CDM","272","RC","","","","","facility","both","","","","10.51","10.51","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BUR, CARBIDE FG 169","EplbChSup60230","CDM","272","RC","","","","","facility","both","","","","10.51","10.51","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BUR, CLEARCUT OVAL 8-FLUTE 5.0MMX13CM","Chrs5450135","CDM","272","RC","","","","","facility","both","","","","231.2","231.2","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
