"*115423 BIT, DRILL 2.8MM","CcthChSup115423","CDM","272","RC","","","","","facility","both","","","","808.82","808.82","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, CATHETER","Ccim3811426","CDM","270","RC","","","","","facility","both","","","","0.91","0.91","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, CATHETER","HcccCT11426","CDM","270","RC","","","","","facility","both","","","","0.91","0.91","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, CATHETER","Wilm4111426","CDM","270","RC","","","","","facility","both","","","","0.91","0.91","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, EXTENSION LINE DLP 10""","Chrs5457898","CDM","272","RC","","","","","facility","both","","","","37.63","37.63","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, NEBULIZER 1000ML","CcthChSup77222","CDM","272","RC","","","","","facility","both","","","","11.98","11.98","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, NEBULIZER 1000ML","EplbChSup77222","CDM","272","RC","","","","","facility","both","","","","11.98","11.98","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*AIRWAY, 90 MM GUEDEL","Chrs542644x","CDM","270","RC","","","","","facility","both","","","","0.29","0.29","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, BILIARY DRAINAGE","Chrs313049","CDM","270","RC","","","","","facility","both","","","","93.33","93.33","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE SUCTION 500ML","Fcin47100777","CDM","270","RC","","","","","facility","both","","","","166.41","166.41","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE W/TWIST VALVE","WilmMR7963","CDM","270","RC","","","","","facility","both","","","","61.25","61.25","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, LEG URI-DRAIN MED","CcicUS2465","CDM","270","RC","","","","","facility","both","","","","16.86","16.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, URIMETER DRAINAGE 350ML","EplbChSup904","CDM","270","RC","","","","","facility","both","","","","41.92","41.92","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, URINARY DRAINAGE CYSTOFLO","AngiWmSup837","CDM","270","RC","","","","","facility","both","","","","16.46","16.46","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, URINARY DRAINAGE CYSTOFLO","FcinMR837","CDM","270","RC","","","","","facility","both","","","","16.46","16.46","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, URINARY DRAINAGE CYSTOFLO","MiddUS837","CDM","270","RC","","","","","facility","both","","","","16.46","16.46","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, UROSTOMY CUT TO FIT","CcthChSup2140","CDM","270","RC","","","","","facility","both","","","","6.63","6.63","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, ZIPLOC 8X10IN STERILE","EplbChSup65297","CDM","270","RC","","","","","facility","both","","","","12.46","12.46","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BALL, JURGAN W028","Wilm54212002","CDM","270","RC","","","","","facility","both","","","","40.87","40.87","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BALL, JURGAN W035","CcthChSup29055","CDM","270","RC","","","","","facility","both","","","","40.87","40.87","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BANDAGE, 4"" ELASTIC - STERILE","Chrs54203452","CDM","270","RC","","","","","facility","both","","","","0.74","0.74","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
