"1st plmt drug elut oc ins","0444T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","2572",,,,,,,"fee schedule","1343","6277",
"1st psyc collab care mgmt","99492","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","102.92",,,,,,,"fee schedule","101.9","216.02","APC"
"2019 nCoV diagnostic P","U0001","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Hmo/Pos","35.92",,,,,,,"fee schedule","26.94","76.15",
"3d render w/intrp postproces","76376","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","34.01",,,,,,,"fee schedule","23.08","711",
"3d render w/intrp postproces","76376","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","23.09",,,,,,,"fee schedule","23.08","711",
"Abd paracentesis","49082","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","927.92",,,,,,,"fee schedule","909.73","4840.09","APC"
"Abl1 gene","81170","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","636",,,,,,,"fee schedule","225","636","APC"
"Ablate bone tumor(s) perq","20983","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","3295",,,,,,,"fee schedule","3295","15429.7",
"Ablate bone tumor(s) perq","20983","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","7278.16",,,,,,,"fee schedule","3295","15429.7","APC"
"Ablate heart dysrhythm focus","33261","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Hmo/Pos","8821.68",,,,,,,"fee schedule","3051","8821.68",
"Ablate inf turbinate submuc","30802","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","5051.48",,,,,,,"fee schedule","1556.28","5051.48",
"Ablate inf turbinate submuc","30802","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","3590",,,,,,,"fee schedule","1556.28","5051.48",
"Ablate inf turbinate superf","30801","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","1602.96",,,,,,,"fee schedule","1556.28","5051.48","APC"
"Ablate inf turbinate superf","30801","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","3590",,,,,,,"fee schedule","1556.28","5051.48",
"Ablt b9 brst tum perq lsr ea","0970T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","4045.09",,,,,,,"fee schedule","3927.28","8325.82","APC"
"Abltj b9 thyr ndul perq lasr","0673T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Wellcare","Medicare Managed Care Plan","1755.99",,,,,,,"fee schedule","1656.59","10726","APC"
"Abltj perc lxtr/perph nrv","0441T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","7268.12",,,,,,,"fee schedule","1958.63","10227.73",
"Abltj perc lxtr/perph nrv","0441T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","5087",,,,,,,"fee schedule","1958.63","10227.73",
"Abltj perc plex/trncl nrv","0442T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Medicare Managed Care Plan","10227.73",,,,,,,"fee schedule","3295","18661.07",
"Abo gnotyp next gnrj seq abo","0221U","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","233.61",,,,,,,"fee schedule","206.12","582.64",
"Abortion With D&C, Aspiration Curettage Or Hysterotomy","770","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Cigna","Hmo/Pos",,,"[Stop Loss: Total Charges > 166953.75 | Total % of Charge: 65] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Alcohol/ Chemical Dependency-Per Diem: 1376] [Psych-Per Diem: 1376] [Rehab-Per Diem: 3466] [SNF-Per Diem: 1762] [IP High Cost Drugs (%BC): 76] [IP Prosthetics/Implants/Devices (%BC): 76] [Transplants-Case Rate: FEE SCHEDULE]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Abortion Without D&C","779","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Kaiser","Medicare Managed Care Plan",,,"[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Abortion Without D&C","779","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Wellcare","Medicare Managed Care Plan","10043.97",,,,,,,"fee schedule","9475.44","20087.93","MSDRG Base Rate"
"Abortion","59850","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","5051.48",,,,,,,"fee schedule","3011.79","5051.48",
"Abortion","59852","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","3051",,,,,,,"fee schedule","3011.79","5051.48",
"Abortion","59856","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","3826",,,,,,,"fee schedule","2912","5051.48",
"Abortion","59856","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","5051.48",,,,,,,"fee schedule","2912","5051.48",
"Abortion","59856","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Core/Charter/Nexus Other Commercial Plan","2912",,,,,,,"fee schedule","2912","5051.48",
"Abortion","59857","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Medicare Managed Care Plan","4840.09",,,,,,,"fee schedule","3011.79","5051.48",
"Abscess drainage under x-ray","75989","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","105.04",,,,,,,"fee schedule","83.8","123.77",
"Acetylcholn rcptr modlg antb","86043","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","16.46",,,,,,,"fee schedule","9.04","25.55",
"Acetylcysteine: 4 Vial, Single-Dose In 1 Carton (72611-860-04)  / 30 Ml In 1 Vial, Single-Dose (72611-860-01)","38303_72611086004","CDM","636","RC","J0132","HCPCS","72611086004","NDC","facility","both","1","EA",,"2.67","2.67",,,,,,,,,,,,,"Price is variable based on underlying billing methodology - especially, for drug and supply items."
"Actemra: 1 Vial, Single-Use In 1 Box (50242-136-01)  / 10 Ml In 1 Vial, Single-Use","5000996_50242013601","CDM","636","RC","J3262","HCPCS","50242013601","NDC","facility","both","1","EA",,"14.98","14.98",,,,,,,,,,,,,"Price is variable based on underlying billing methodology - especially, for drug and supply items."
"Acute & Subacute Endocarditis","126","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Cigna","Hmo/Pos",,,"[Stop Loss: Total Charges > 166953.75 | Total % of Charge: 65] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Alcohol/ Chemical Dependency-Per Diem: 1376] [Psych-Per Diem: 1376] [Rehab-Per Diem: 3466] [SNF-Per Diem: 1762] [IP High Cost Drugs (%BC): 76] [IP Prosthetics/Implants/Devices (%BC): 76] [Transplants-Case Rate: FEE SCHEDULE]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Acute Adjustment Reaction And Psychosocial Dysfunction","880","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Bcbs","Blue Pathways Exchange","9886.43",,,,,,,"fee schedule","9886.43","22305.47",
"Acute Adjustment Reaction And Psychosocial Dysfunction","880","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Cigna","Ppo",,"72",,"23444.54","23444.54","23444.54","1 through 10","percent of total billed charges",,,
"Acute Adjustment Reaction And Psychosocial Dysfunction","880","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Clover Health","Medicare Managed Care Plan",,,"[MSDRG Base Rate: FEE SCHEDULE]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Acute Adjustment Reaction And Psychosocial Dysfunction","880","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Optum","Ccn Government",,,"[MSDRG Base Rate: FEE SCHEDULE]","11800.08","11232.73","13989.4","1 through 10","other",,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer's algorithm."
"Acute Adjustment Reaction And Psychosocial Dysfunction","880","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Va Community Care Network","Government","10521.45",,,,,,,"fee schedule","9886.43","22305.47","MSDRG Base Rate"
"Acute And Subacute Endocarditis With Cc","289","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Bcbs","Hpn Other Commercial Plan",,,"[Stop Loss: Total Charges > 210600.19 | Total % of Charge: 69] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [C-Section-Case Rate: 15204.02] [Normal Vaginal Delivery-Case Rate: 10860.01] [Psych-Per Diem: 2022.14] [Rehab-Per Diem: 3228.69] [IP High Cost Drugs ($): 0 Charge Threshold 1000 (%BC): 70] [IP Prosthetics/Implants/Devices ($): 0 Charge Threshold 400 (%BC): 76] [Transplants-Case Rate: FEE SCHEDULE]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Acute And Subacute Endocarditis With Mcc","288","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Unitedhealthcare","Core/Charter/Nexus Other Commercial Plan","49289.04",,,,,,,"fee schedule","25881.63","57985.5",
"Acute And Subacute Endocarditis Without Cc/Mcc","290","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Aetna","Hmo/Pos",,,"[Stop Loss: Total Charges > 302159 | Total % of Charge: 55] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Alcohol/ Chemical Dependency-Per Diem: 1979] [Psych-Per Diem: 1979] [Rehab-Per Diem: 2455] [IP High Cost Drugs ($): 0 Charge Threshold 1000 (%BC): 76] [IP Prosthetics/Implants/Devices ($): 0 Charge Threshold 400 (%BC): 76] [Cardiac Surgery-Per Diem: 52424 Days: 8 Additional Days: 5194] [PTCA-Per Diem: 19887 Days: 4 Additional Days: 5194] [Transplants-Case Rate: FEE SCHEDULE] [Pancreas Transplant (%BC): 80]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Acute And Subacute Endocarditis Without Cc/Mcc","290","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Va Community Care Network","Government",,,"[MSDRG Base Rate: FEE SCHEDULE]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Acute Leukemia With Cc","835","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Humana","Hmo/Pos","35719.4",,,,,,,"fee schedule","20423.75","45343.03",
"Acute Leukemia With Cc","835","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Unitedhealthcare","Hmo/Pos",,,"[Stop Loss: Total Charges > 307779 | Total % of Charge: 59] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Alcohol/ Chemical Dependency-Per Diem: 1979] [Psych-Per Diem: 1979] [Rehab-Per Diem: 3703] [IP High Cost Drugs ($): 0 Charge Threshold 1000 (%BC): 76] [IP Prosthetics/Implants/Devices ($): 0 Charge Threshold 400 (%BC): 76] [Cardiac Surgery-Case Rate: 53400 Days: 8 Additional Days: 5291] [PTCA-Case Rate: 20258 Days: 4 Additional Days: 5291]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Acute Leukemia With Mcc","834","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Ambetter Health","Peach State Exchange",,,"[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [All Other IP (%BC): 70]","87805.41","87620.52","106052.68","1 through 10","other",,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer's algorithm."
"Acute Leukemia With Other Procedures","850","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Devoted Health","Medicare Managed Care Plan",,,"[MSDRG Base Rate: FEE SCHEDULE]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Acute Leukemia With Other Procedures","850","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Unitedhealthcare","Hmo/Pos","195555.9",,,,,,,"fee schedule","78254.91","195555.9",
"Acute Leukemia Without Cc/Mcc","836","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Bcbs","Hmo",,,"[Stop Loss: Total Charges > 199621.03 | Total % of Charge: 69] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [C-Section-Case Rate: 17240.57] [Normal Vaginal Delivery-Case Rate: 12314.69] [Psych-Per Diem: 2293] [Rehab-Per Diem: 3661.16] [IP High Cost Drugs ($): 0 Charge Threshold 1000 (%BC): 70] [IP Prosthetics/Implants/Devices ($): 0 Charge Threshold 400 (%BC): 76] [Transplants-Case Rate: FEE SCHEDULE]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Acute Leukemia Without Cc/Mcc","836","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Va Community Care Network","Government","12802.6",,,,,,,"fee schedule","12802.6","27141.51","MSDRG Base Rate"
"Acute Major Eye Infections With Cc/Mcc","121","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Aetna","Hmo/Pos","22888.64",,,,,,,"fee schedule","11995.53","26093.36",
"Acute Major Eye Infections Without Cc/Mcc","122","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Unitedhealthcare","Hmo/Pos","14400.31",,,,,,,"fee schedule","6995.59","19052.84",
"Acute Major Eye Infections","044","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Va Community Care Network","Government",,,"[MSDRG Base Rate: FEE SCHEDULE]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Acute Myocardial Infarction, Discharged Alive With Cc","281","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","17614.68",,,,,,,"fee schedule","9506.9","21538.95",
