"1 VIAL in 1 CARTON (0069-0248-01)  / 100 mL in 1 VIAL","40840026_00069024801","CDM","250","RC","J2704","HCPCS","00069024801","NDC","facility","both","1","EA",,"1.13","1.13",,,,,,,,,,,,,"Price is variable based on underlying billing methodology - especially, for drug and supply items."
"10 BOTTLE, GLASS in 1 BOX (0407-1414-03)  / 150 mL in 1 BOTTLE, GLASS","5001569_00407141403","CDM","636","RC","Q9967","HCPCS","00407141403","NDC","facility","both","1","EA",,"4.02","4.02",,,,,,,,,,,,,"Price is variable based on underlying billing methodology - especially, for drug and supply items."
"10 BOTTLE, GLASS in 1 BOX (0407-2223-03)  / 150 mL in 1 BOTTLE, GLASS","17595_00407222303","CDM","255","RC","Q9967","HCPCS","00407222303","NDC","facility","both","1","EA",,"4.56","4.56",,,,,,,,,,,,,"Price is variable based on underlying billing methodology - especially, for drug and supply items."
"10 VIAL in 1 TRAY (0409-6533-01)  / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL (0409-6533-11)","162638_00409653301","CDM","250","RC","J3370","HCPCS","00409653301","NDC","facility","both","1","EA",,"35.02","35.02",,,,,,,,,,,,,"Price is variable based on underlying billing methodology - especially, for drug and supply items."
"2d tte w or w/o fol w/con,fu","C8924","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","741.85",,,,,,,"fee schedule","349.93","741.85","APC"
"3d bn img algor drvd fr mri","G0566","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","132.93",,,,,,,"fee schedule","129.06","273.61","APC"
"Abdomen surgery procedure","49999","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","5611",,,,,,,"fee schedule","909.73","11531.48",
"Abeta42 & ttau eclia csf","0459U","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","260.5",,,,,,,"fee schedule","260.5","552.26","APC"
"Ablate atria w/o bypass ext","33255","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","3051",,,,,,,"fee schedule","3051","8382.61",
"Ablate bone tumor(s) perq","20982","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Hmo/Pos","10848.4",,,,,,,"fee schedule","2572","37284.11",
