"1 BOTTLE, DROPPER in 1 CARTON (0065-0303-55)  / 5 mL in 1 BOTTLE, DROPPER","736_00065030355","CDM","637","RC","00065030355","NDC",,,"facility","both","1","EA",,"219.44","219.44",,,,,,,,,,,,,"Price is variable based on underlying billing methodology - especially, for drug and supply items."
"2d cephalometric image","D0340","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","87.29",,,,,,,"fee schedule","87.29","185.05","APC"
"3d bn img algor drvd fr mri","G0566","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","131.64",,,,,,,"fee schedule","129.06","273.61","APC"
"3d bn img algor drvd fr mri","G0566","HCPCS",,,,,,,"facility","outpatient",,,,,,"Wellcare","Medicare Managed Care Plan","136.81",,,,,,,"fee schedule","129.06","273.61","APC"
"3d render w/intrp postproces","76376","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","711",,,,,,,"fee schedule","23.08","711",
"Abdomen surgery procedure","22999","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","254.84",,,,,,,"fee schedule","247.41","11531.48","APC"
"Ablate inf turbinate submuc","30802","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","3299.31",,,,,,,"fee schedule","1556.28","5051.48","APC"
"Ablate pulm tumors + extnsn","0340T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","6187",,,,,,,"fee schedule","6187","7118",
"Ablation, HIFU, prostate","C9747","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Hmo/Pos","11403.39",,,,,,,"fee schedule","11403.39","11403.39",
"Ablt trurl prst8 tis trnsdcr","55882","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","28054.72",,,,,,,"fee schedule","6580.16","28054.72","APC"
"Abltj b9 prst8 tissue hifu","0950T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","9779.94",,,,,,,"fee schedule","9495.09","20129.59","APC"
"Abltj ire liver 1+ tum perq","47384","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","10875.22",,,,,,,"fee schedule","10661.98","22603.4","APC"
"Abltj mal prst8 mag fld ndct","0739T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","2865.29",,,,,,,"fee schedule","2301.38","3826",
"Abltj perc plex/trncl nrv","0442T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Hmo/Pos","8655",,,,,,,"fee schedule","3295","18661.07",
"Abortion (mpr)","59866","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","305.65",,,,,,,"fee schedule","305.65","4840.09","APC"
"Abortion With D&C, Aspiration Curettage Or Hysterotomy","770","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Bcbs","Blue Pathways Exchange","11096.2",,,,,,,"fee schedule","10895.34","23098.12",
"Abortion Without D&C","779","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Cigna","Hmo/Pos",,,"[Stop Loss: Total Charges > 166953.75 | Total % of Charge: 65] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Alcohol/ Chemical Dependency-Per Diem: 1376] [Psych-Per Diem: 1376] [Rehab-Per Diem: 3466] [SNF-Per Diem: 1762] [IP High Cost Drugs (%BC): 76] [IP Prosthetics/Implants/Devices (%BC): 76] [Transplants-Case Rate: FEE SCHEDULE]","15579.76","15579.76","15579.76","1 through 10","other",,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer's algorithm."
"Abortion Without D&C","779","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Kaiser","Ppo",,"70",,,,,"0","percent of total billed charges",,,"No services performed during 15-month lookback period."
"Abortion","59850","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","4797",,,,,,,"fee schedule","3011.79","5051.48",
"Abrasion lesion single","15786","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","203.25",,,,,,,"fee schedule","201.24","4840.09","APC"
"Abscess drainage under x-ray","75989","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Hmo/Pos","123.77",,,,,,,"fee schedule","83.8","123.77",
"Acetone assay","82010","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","12.26",,,,,,,"fee schedule","6.13","17.32",
"Acetone assay","82010","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","8.42",,,,,,,"fee schedule","6.13","17.32","APC"
"Acetylcholinesterase assay","82013","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","12.9",,,,,,,"fee schedule","9.22","26.05","APC"
"Acetylcholinesterase assay","82013","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Hmo/Pos","12.29",,,,,,,"fee schedule","9.22","26.05",
"Acetylcholn rcptr blckg antb","86042","HCPCS",,,,,,,"facility","outpatient",,,,,,"Wellcare","Medicare Managed Care Plan","19.5",,,,,,,"fee schedule","13.8","39.01","APC"
"Acetylcholn rcptr bndng antb","86041","HCPCS",,,,,,,"facility","outpatient",,,,,,"Wellcare","Medicare Managed Care Plan","19.5",,,,,,,"fee schedule","13.8","39.01","APC"
"Acetylcholn rcptr modlg antb","86043","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","12.05",,,,,,,"fee schedule","9.04","25.55",
"Acetylcysteine: 3 Vial In 1 Carton (63323-690-30)  / 30 Ml In 1 Vial (63323-690-22)","5001856_63323069030","CDM","637","RC","J7608","HCPCS","63323069030","NDC","facility","both","1","EA",,"16.47","16.47",,,,,,,,,,,,,"Price is variable based on underlying billing methodology - especially, for drug and supply items."
"Acid perfusion of esophagus","91030","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","393",,,,,,,"fee schedule","374.29","2572","APC"
"Acitretin: 30 Capsule In 1 Bottle (62332-741-30)","13980_62332074130","CDM","250","RC","62332074130","NDC",,,"facility","both","1","EA",,"112.44","112.44",,,,,,,,,,,,,"Price is variable based on underlying billing methodology - especially, for drug and supply items."
"Acoustic immitance testing","92570","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","131.64",,,,,,,"fee schedule","129.06","273.61","APC"
"Acth stimulation panel","80400","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","32.62",,,,,,,"fee schedule","24.47","69.15",
"Acth stimulation panel","80400","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","34.25",,,,,,,"fee schedule","24.47","69.15","APC"
"Acth stimulation panel","80400","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","44.56",,,,,,,"fee schedule","24.47","69.15",
