"100 BLISTER PACK in 1 CARTON (59762-1710-1)  / 1 TABLET, FILM COATED in 1 BLISTER PACK","36983_59762171001","CDM","637","RC","59762171001","NDC",,,"facility","both","1","EA",,"14.63","14.63",,,,,,,,,,,,,"Price is variable based on underlying billing methodology - especially, for drug and supply items."
"2d tee w or w/o fol w/con,in","C8925","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","809.88",,,,,,,"fee schedule","786.29","1666.94","APC"
"2d tee w or w/o fol w/con,in","C8925","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","825.61",,,,,,,"fee schedule","786.29","1666.94","APC"
"3d cntr simula trgt lvr les","0944T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","251.29",,,,,,,"fee schedule","239.32","507.37","APC"
"3d render w/intrp postproces","76377","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","60.26",,,,,,,"fee schedule","59.87","88.2",
"Abdomen surgery procedure","22999","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","259.78",,,,,,,"fee schedule","247.41","11531.48","APC"
"Ablate atria lmtd add-on","33257","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","3051",,,,,,,"fee schedule","3051","8382.61",
"Ablate atria lmtd endo","33265","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","7392.41",,,,,,,"fee schedule","3051","8382.61",
"Ablate heart dysrhythm focus","33251","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Hmo/Pos","8821.68",,,,,,,"fee schedule","3051","8821.68",
"Ablate heart dysrhythm focus","93650","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","7979.72",,,,,,,"fee schedule","5125.78","16585.3","APC"
"Ablate inf turbinate submuc","30802","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","2572",,,,,,,"fee schedule","1556.28","5051.48",
"Ablate inf turbinate superf","30801","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","3299.31",,,,,,,"fee schedule","1556.28","5051.48","APC"
"Abltj mal brst tum perq crtx","0581T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Hmo/Pos","4581",,,,,,,"fee schedule","3514.53","8325.82",
"Abltj perc plex/trncl nrv","0442T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","7118",,,,,,,"fee schedule","3295","18661.07",
"Abltj perc uxtr/perph nrv","0440T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","1978.22",,,,,,,"fee schedule","1958.63","10227.73","APC"
"Abltj perc uxtr/perph nrv","0440T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","2017.39",,,,,,,"fee schedule","1958.63","10227.73","APC"
"Abo gnotyp abo 7 exons","0180U","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","280.33",,,,,,,"fee schedule","206.12","582.64","APC"
"Abo gnotyp next gnrj seq abo","0221U","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","274.83",,,,,,,"fee schedule","206.12","582.64","APC"
"Abortion (mpr)","59866","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Core/Charter/Nexus Other Commercial Plan","1343",,,,,,,"fee schedule","305.65","4840.09",
"Abortion With D&C, Aspiration Curettage Or Hysterotomy","770","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Devoted Health","Medicare Managed Care Plan",,,"[MSDRG Base Rate: FEE SCHEDULE]",,,,"0","other",,,"No services performed during 15-month lookback period."
