"1 VIAL in 1 CARTON (0069-0248-01)  / 100 mL in 1 VIAL","131626_00069024801","CDM","250","RC","J2704","HCPCS","00069024801","NDC","facility","both","1","EA",,"0.93","0.93",,,,,,,,,,,,,"Price is variable based on underlying billing methodology - especially, for drug and supply items."
"1st psyc collab care mgmt","99492","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","101.9",,,,,,,"fee schedule","101.9","216.02","APC"
"2019 nCoV diagnostic P","U0001","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","36.28",,,,,,,"fee schedule","26.94","76.15","APC"
"3d anat seg imaging preop","C8001","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","129.06",,,,,,,"fee schedule","129.06","273.61","APC"
"Abd paracentesis w/imaging","49083","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","3826",,,,,,,"fee schedule","909.73","4840.09",
"Abd paracentesis w/imaging","49083","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","2678.54",,,,,,,"fee schedule","909.73","4840.09",
"Abdomen surgery procedure","49999","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","955.21",,,,,,,"fee schedule","909.73","11531.48","APC"
"Ablate arrhythmia add on","93655","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","2572",,,,,,,"fee schedule","1343","2987",
"Ablate heart dysrhythm focus","93650","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","7392.41",,,,,,,"fee schedule","5125.78","16585.3",
"Ablate inf turbinate superf","30801","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","1571.84",,,,,,,"fee schedule","1556.28","5051.48","APC"
"Ablt b9 brst tum perq lsr ea","0970T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","3966.55",,,,,,,"fee schedule","3927.28","8325.82","APC"
"Abltj ire prst8 1+ tum perq","55877","HCPCS",,,,,,,"facility","outpatient",,,,,,"Wellcare","Medicare Managed Care Plan","11301.7",,,,,,,"fee schedule","10661.98","22603.4","APC"
"Abltj mal brst tum perq crtx","0581T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","8325.82",,,,,,,"fee schedule","3514.53","8325.82","APC"
