"2019 nCoV diagnostic P","U0001","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","37",,,,,,,"fee schedule","26.94","76.15","APC"
"3d render w/intrp postproces","76377","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","71.84",,,,,,,"fee schedule","59.87","88.2",
"473 mL in 1 BOTTLE, PLASTIC (0363-0871-43)","3752_00363087143","CDM","259","RC","00363087143","NDC",,,"facility","both","1","EA",,"7.21","7.21",,,,,,,,,,,,,"Price is variable based on underlying billing methodology - especially, for drug and supply items."
"Abd paracentesis w/imaging","49083","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","955.21",,,,,,,"fee schedule","909.73","4840.09","APC"
"Abdomen surgery procedure","49999","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","937.02",,,,,,,"fee schedule","909.73","11531.48","APC"
"Abl1 gene","81170","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","303",,,,,,,"fee schedule","225","636","APC"
"Ablate atria lmtd add-on","33257","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","8382.61",,,,,,,"fee schedule","3051","8382.61",
"Ablate atria lmtd endo","33265","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","5125.78",,,,,,,"fee schedule","3051","8382.61",
"Ablate atria lmtd endo","33265","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","8382.61",,,,,,,"fee schedule","3051","8382.61",
"Ablate bone tumor(s) perq","20982","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Hmo/Pos","8655",,,,,,,"fee schedule","2572","37284.11",
"Ablate bone tumor(s) perq","20983","HCPCS",,,,,,,"facility","outpatient",,,,,,"Wellcare","Medicare Managed Care Plan","7714.85",,,,,,,"fee schedule","3295","15429.7","APC"
"Ablate inf turbinate superf","30801","HCPCS",,,,,,,"facility","outpatient",,,,,,"Wellcare","Medicare Managed Care Plan","1649.65",,,,,,,"fee schedule","1556.28","5051.48","APC"
"Ablt mal brst tum pq lsr uni","0971T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","4123.64",,,,,,,"fee schedule","3927.28","8325.82","APC"
"Ablt trurl prst8 tis trnsdcr","55882","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","9413.46",,,,,,,"fee schedule","6580.16","28054.72",
"Abltj b9 thyr ndul perq lasr","0673T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","2987",,,,,,,"fee schedule","1656.59","10726",
"Abltj b9 thyr ndul perq lasr","0673T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Hmo/Pos","3425",,,,,,,"fee schedule","1656.59","10726",
"Abltj mal brst tum perq crtx","0581T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","3966.55",,,,,,,"fee schedule","3514.53","8325.82","APC"
"Abltj mal prst8 tiss hifu","55880","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","6409.58",,,,,,,"fee schedule","3295","20129.59",
"Abltj perc plex/trncl nrv","0442T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","3295",,,,,,,"fee schedule","3295","18661.07",
"Abortion With D&C, Aspiration Curettage Or Hysterotomy","770","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Cigna","Ppo",,"72",,,,,"0","percent of total billed charges",,,"No services performed during 15-month lookback period."
"Abortion With D&C, Aspiration Curettage Or Hysterotomy","770","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Unitedhealthcare","Hmo/Pos",,,"[Stop Loss: Total Charges > 307779 | Total % of Charge: 59] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Alcohol/ Chemical Dependency-Per Diem: 1979] [Psych-Per Diem: 1979] [Rehab-Per Diem: 3703] [IP High Cost Drugs ($): 0 Charge Threshold 1000 (%BC): 76] [IP Prosthetics/Implants/Devices ($): 0 Charge Threshold 400 (%BC): 76] [Cardiac Surgery-Case Rate: 53400 Days: 8 Additional Days: 5291] [PTCA-Case Rate: 20258 Days: 4 Additional Days: 5291]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Abortion","59841","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","3279.39",,,,,,,"fee schedule","3011.79","8364.54","APC"
"Abortion","59857","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Hmo/Pos","4840.09",,,,,,,"fee schedule","3011.79","5051.48",
"Abrasion lesion single","15786","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","4221.48",,,,,,,"fee schedule","201.24","4840.09",
"Abrasion lesion single","15786","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Hmo/Pos","4840.09",,,,,,,"fee schedule","201.24","4840.09",
"Abscess drainage under x-ray","75989","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","92.43",,,,,,,"fee schedule","83.8","123.77",
"Access thoracic lymph duct","38794","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Medicare Managed Care Plan","4840.09",,,,,,,"fee schedule","1343","4840.09",
"Acetazolamide: 100 Capsule, Extended Release In 1 Bottle (29033-030-01)","8962_29033003001","CDM","637","RC","29033003001","NDC",,,"facility","both","1","EA",,"15.47","15.47",,,,,,,,,,,,,"Price is variable based on underlying billing methodology - especially, for drug and supply items."
