"3-d radiotherapy plan","77295","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","777.18",,,,,,,"fee schedule","378.49","2943.23",
"3-d radiotherapy plan","77295","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","1457.73",,,,,,,"fee schedule","378.49","2943.23","APC"
"3d cntr simula trgt lvr les","0944T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","244.11",,,,,,,"fee schedule","239.32","507.37","APC"
"3d render w/intrp postproces","76376","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","23.08",,,,,,,"fee schedule","23.08","711",
"Abdomen surgery procedure","22999","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Medicare Managed Care Plan","4840.09",,,,,,,"fee schedule","247.41","11531.48",
"Abeta42 & ptau181 eclia csf","0445U","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","273.53",,,,,,,"fee schedule","260.5","552.26","APC"
"Ablate heart dysrhythm focus","33251","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","3051",,,,,,,"fee schedule","3051","8821.68",
"Ablate pulm tumor perq crybl","32994","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","5594",,,,,,,"fee schedule","4817","22603.4",
"Ablate pulm tumor perq crybl","32994","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Core/Charter/Nexus Other Commercial Plan","7797",,,,,,,"fee schedule","4817","22603.4",
"Ablt b9 brst tum perq lsr ea","0970T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","3927.28",,,,,,,"fee schedule","3927.28","8325.82","APC"
"Ablt trurl prst8 tis trnsdcr","55882","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","10674.37",,,,,,,"fee schedule","6580.16","28054.72",
"Abltj b9 thyr ndul perq lasr","0673T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","10726",,,,,,,"fee schedule","1656.59","10726",
"Abltj b9 thyr ndul perq lasr","0673T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Medicare Managed Care Plan","4840.09",,,,,,,"fee schedule","1656.59","10726",
"Abltj mal prst8 tiss hifu","55880","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","3295",,,,,,,"fee schedule","3295","20129.59",
"Abltj perc lxtr/perph nrv","0441T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","2572",,,,,,,"fee schedule","1958.63","10227.73",
"Abltj perc lxtr/perph nrv","0441T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","1978.22",,,,,,,"fee schedule","1958.63","10227.73","APC"
"Abltj perc plex/trncl nrv","0442T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","7268.12",,,,,,,"fee schedule","3295","18661.07",
"Abo gnotyp next gnrj seq abo","0221U","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","283.07",,,,,,,"fee schedule","206.12","582.64","APC"
"Abortion (mpr)","59866","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","3722.82",,,,,,,"fee schedule","305.65","4840.09",
"Abortion With D&C, Aspiration Curettage Or Hysterotomy","770","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Aetna","Hmo/Pos",,,"[Stop Loss: Total Charges > 302159 | Total % of Charge: 55] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Alcohol/ Chemical Dependency-Per Diem: 1979] [Psych-Per Diem: 1979] [Rehab-Per Diem: 2455] [IP High Cost Drugs ($): 0 Charge Threshold 1000 (%BC): 76] [IP Prosthetics/Implants/Devices ($): 0 Charge Threshold 400 (%BC): 76] [Cardiac Surgery-Per Diem: 52424 Days: 8 Additional Days: 5194] [PTCA-Per Diem: 19887 Days: 4 Additional Days: 5194] [Transplants-Case Rate: FEE SCHEDULE] [Pancreas Transplant (%BC): 80]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Abortion With D&C, Aspiration Curettage Or Hysterotomy","770","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Caresource","Medicaid Managed Care Plan",,,"[Inpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://dch.georgia.gov/providers/provider-types/hospital-providers]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Abortion Without D&C","779","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Cigna","Ppo",,"72",,,,,"0","percent of total billed charges",,,"No services performed during 15-month lookback period."
"Abortion Without D&C","779","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Unitedhealthcare","Core/Charter/Nexus Other Commercial Plan",,,"[Stop Loss: Total Charges > 307779 | Total % of Charge: 59] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Rehab-Per Diem: 3148] [IP High Cost Drugs ($): 0 Charge Threshold 1000 (%BC): 76] [IP Prosthetics/Implants/Devices ($): 0 Charge Threshold 400 (%BC): 76] [Cardiac Surgery-Case Rate: 45389 Days: 8 Additional Days: 4497] [PTCA-Case Rate: 17219 Days: 4 Additional Days: 4497]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Abortion","59840","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","3246.92",,,,,,,"fee schedule","3011.79","8364.54","APC"
"Abortion","59855","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","5051.48",,,,,,,"fee schedule","3011.79","5051.48",
"Abscess drainage under x-ray","75989","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","100.56",,,,,,,"fee schedule","83.8","123.77",
