"Abortion With D&C, Aspiration Curettage Or Hysterotomy","770","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Amerigroup","Medicaid Managed Care Plan",,,"[Inpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://dch.georgia.gov/providers/provider-types/hospital-providers]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Abortion Without D&C","779","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Aetna","Exchange","15202.9",,,,,,,"fee schedule","9475.44","20087.93",
"Abortion","59840","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","6883.46",,,,,,,"fee schedule","3011.79","8364.54","APC"
"Abortion","59850","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","3826",,,,,,,"fee schedule","3011.79","5051.48",
"Abortion","59851","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","4797",,,,,,,"fee schedule","3011.79","5051.48",
"Acetaminophen: 20 Bag In 1 Case (63323-434-00)  / 100 Ml In 1 Bag (63323-434-41)","108021_63323043400","CDM","250","RC","J0134","HCPCS","63323043400","NDC","facility","both","1","EA",,"0.41","0.41",,,,,,,,,,,,,"Price is variable based on underlying billing methodology - especially, for drug and supply items."
"Acetone assay","82010","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","14.71",,,,,,,"fee schedule","6.13","17.32",
"Acetylcholinesterase assay","82013","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","12.29",,,,,,,"fee schedule","9.22","26.05","APC"
"Acetylcholinesterase assay","82013","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Core/Charter/Nexus Other Commercial Plan","12.29",,,,,,,"fee schedule","9.22","26.05",
"Acetylcholn rcptr blckg antb","86042","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","15.64",,,,,,,"fee schedule","13.8","39.01",
"Acetylcholn rcptr blckg antb","86042","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","18.4",,,,,,,"fee schedule","13.8","39.01",
"Acetylcholn rcptr bndng antb","86041","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","18.58",,,,,,,"fee schedule","13.8","39.01","APC"
"Acetylcholn rcptr modlg antb","86043","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","9.04",,,,,,,"fee schedule","9.04","25.55",
"Acetylcholn rcptr modlg antb","86043","HCPCS",,,,,,,"facility","outpatient",,,,,,"Wellcare","Medicare Managed Care Plan","12.77",,,,,,,"fee schedule","9.04","25.55","APC"
"Acupunct w/stimul 15 min","97813","HCPCS",,,,,,,"facility","outpatient",,,,,,"Wellcare","Medicare Managed Care Plan","30.75",,,,,,,"fee schedule","29.01","61.5","APC"
"Acute & Subacute Endocarditis","126","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Kaiser","Ppo",,"70",,,,,"0","percent of total billed charges",,,"No services performed during 15-month lookback period."
