"1 VIAL, GLASS in 1 PACKAGE (0088-5021-01)  / 10 mL in 1 VIAL, GLASS","28282_00088502101","CDM","250","RC","J1815","HCPCS","00088502101","NDC","facility","both","1","EA",,"6.09","6.09",,,,,,,,,,,,,"Price is variable based on underlying billing methodology - especially, for drug and supply items."
"10 SYRINGE in 1 CARTON (0409-1283-05)  / .5 mL in 1 SYRINGE (0409-1283-04)","181217_00409128305","CDM","250","RC","J1170","HCPCS","00409128305","NDC","facility","both","1","EA",,"14.56","14.56",,,,,,,,,,,,,"Price is variable based on underlying billing methodology - especially, for drug and supply items."
"2019 nCoV diagnostic P","U0001","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","30.53",,,,,,,"fee schedule","26.94","76.15",
"2019 nCoV diagnostic P","U0001","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","35.92",,,,,,,"fee schedule","26.94","76.15","APC"
"3d render w/intrp postproces","76377","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","66.02",,,,,,,"fee schedule","59.87","88.2",
"Abacavir: 30 Blister Pack In 1 Box, Unit-Dose (68084-021-21)  / 1 Tablet, Film Coated In 1 Blister Pack (68084-021-11)","24438_68084002121","CDM","637","RC","68084002121","NDC",,,"facility","both","1","EA",,"36.05","36.05",,,,,,,,,,,,,"Price is variable based on underlying billing methodology - especially, for drug and supply items."
"Abeta42 & ttau eclia csf","0459U","HCPCS",,,,,,,"facility","outpatient",,,,,,"Wellcare","Medicare Managed Care Plan","276.13",,,,,,,"fee schedule","260.5","552.26","APC"
"Ablate arrhythmia add on","93655","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","2987",,,,,,,"fee schedule","1343","2987",
"Ablate atria lmtd add-on","33257","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","5125.78",,,,,,,"fee schedule","3051","8382.61",
"Ablate atria w/bypass add-on","33259","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","7392.41",,,,,,,"fee schedule","3051","8382.61",
"Ablate heart dysrhythm focus","33261","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","3051",,,,,,,"fee schedule","3051","8821.68",
"Ablate inf turbinate submuc","30802","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","1556.28",,,,,,,"fee schedule","1556.28","5051.48","APC"
"Ablate inf turbinate superf","30801","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Hmo/Pos","4840.09",,,,,,,"fee schedule","1556.28","5051.48",
