"2d cephalometric image","D0340","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","89.91",,,,,,,"fee schedule","87.29","185.05","APC"
"365 d implant glucose sensor","G0564","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Hmo/Pos","7870",,,,,,,"fee schedule","4419.21","7870",
"3d anat seg imaging preop","C8001","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","130.35",,,,,,,"fee schedule","129.06","273.61","APC"
"3d render w/intrp postproces","76376","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","23.24",,,,,,,"fee schedule","23.08","711",
"3d render w/intrp postproces","76377","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Hmo/Pos","81.81",,,,,,,"fee schedule","59.87","88.2",
"Abd paracentesis","49082","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Core/Charter/Nexus Other Commercial Plan","2912",,,,,,,"fee schedule","909.73","4840.09",
"Abdomen surgery procedure","49999","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Medicare Managed Care Plan","4840.09",,,,,,,"fee schedule","909.73","11531.48",
"Abeta42 & ptau181 eclia csf","0445U","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","268.32",,,,,,,"fee schedule","260.5","552.26","APC"
"Ablate atria lmtd add-on","33257","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","7392.41",,,,,,,"fee schedule","3051","8382.61",
"Ablate atria lmtd","33254","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","5125.78",,,,,,,"fee schedule","3051","8382.61",
"Ablate bone tumor(s) perq","20983","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","3826",,,,,,,"fee schedule","3295","15429.7",
"Ablate bone tumor(s) perq","20983","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","6156.44",,,,,,,"fee schedule","3295","15429.7",
"Ablate inf turbinate submuc","30802","HCPCS",,,,,,,"facility","outpatient",,,,,,"Kaiser","Hmo","3051",,,,,,,"fee schedule","1556.28","5051.48",
"Ablate inf turbinate submuc","30802","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","4249",,,,,,,"fee schedule","1556.28","5051.48",
"Ablate inf turbinate superf","30801","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Medicare Managed Care Plan","4840.09",,,,,,,"fee schedule","1556.28","5051.48",
"Ablt b9 brst tum perq lsr ea","0970T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","8325.82",,,,,,,"fee schedule","3927.28","8325.82","APC"
"Ablt trurl prst8 tis trnsdcr","55882","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","13630.36",,,,,,,"fee schedule","6580.16","28054.72","APC"
"Abltj mal brst tum perq crtx","0581T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","3927.28",,,,,,,"fee schedule","3514.53","8325.82","APC"
"Abltj perc lxtr/perph nrv","0441T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Hmo/Pos","10227.73",,,,,,,"fee schedule","1958.63","10227.73",
"Abltj perc lxtr/perph nrv","0441T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Hmo/Pos","8655",,,,,,,"fee schedule","1958.63","10227.73",
"Abo gnotyp abo 7 exons","0180U","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","233.61",,,,,,,"fee schedule","206.12","582.64",
"Abortion (mpr)","59866","HCPCS",,,,,,,"facility","outpatient",,,,,,"Wellcare","Medicare Managed Care Plan","323.99",,,,,,,"fee schedule","305.65","4840.09","APC"
"Abortion With D&C, Aspiration Curettage Or Hysterotomy","770","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","10895.34",,,,,,,"fee schedule","10895.34","23098.12","MSDRG Base Rate"
"Abortion With D&C, Aspiration Curettage Or Hysterotomy","770","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Kaiser","Medicare Managed Care Plan",,,"[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Abortion With D&C, Aspiration Curettage Or Hysterotomy","770","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Unitedhealthcare","Ppo",,,"[IP High Cost Drugs (%BC): 72] [All Other IP (%BC): 72]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Abortion Without D&C","779","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Kaiser","Medicare Managed Care Plan","9475.44",,,,,,,"fee schedule","9475.44","20087.93","MSDRG Base Rate"
"Abortion Without D&C","779","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Peach State Health Plan","Medicaid Managed Care Plan",,,"[Inpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://dch.georgia.gov/providers/provider-types/hospital-providers]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Abortion","59841","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","5051.48",,,,,,,"fee schedule","3011.79","8364.54",
"Abortion","59841","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","7750",,,,,,,"fee schedule","3011.79","8364.54",
"Abortion","59850","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","3011.79",,,,,,,"fee schedule","3011.79","5051.48",
"Abortion","59856","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Hmo/Pos","4840.09",,,,,,,"fee schedule","2912","5051.48",
"Abortion","59857","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","3295",,,,,,,"fee schedule","3011.79","5051.48",
"Acetaminophen: 24 Bag In 1 Carton (67457-940-10)  / 100 Ml In 1 Bag","108021_67457094010","CDM","250","RC","J0131","HCPCS","67457094010","NDC","facility","both","1","EA",,"1.62","1.62",,,,,,,,,,,,,"Price is variable based on underlying billing methodology - especially, for drug and supply items."
"Acetylcholinesterase assay","82013","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","26.05",,,,,,,"fee schedule","9.22","26.05","APC"
"Acetylcholn rcptr modlg antb","86043","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","12.65",,,,,,,"fee schedule","9.04","25.55","APC"
"Acne surgery","10040","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","3722.82",,,,,,,"fee schedule","201.24","4840.09",
"Acth stimulation panel","80400","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Core/Charter/Nexus Other Commercial Plan","32.62",,,,,,,"fee schedule","24.47","69.15",
"Acth stimulation panel","80400","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Hmo/Pos","32.62",,,,,,,"fee schedule","24.47","69.15",
"Acute & Subacute Endocarditis","126","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Amerigroup","Medicaid Managed Care Plan",,,"[Inpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://dch.georgia.gov/providers/provider-types/hospital-providers]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Acute & Subacute Endocarditis","126","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Va Community Care Network","Government",,,"[MSDRG Base Rate: FEE SCHEDULE]",,,,"0","other",,,"No services performed during 15-month lookback period."
