"FRACTURES AND DISLOCATIONS EXCEPT FEMUR, PELVIS AND BACK",342-4,APR-DRG,,,,,,,,,,inpatient,facility,,,,,20697,28100.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25155.14,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,27967.55,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21731.85,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20697,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,20697,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,22352.76,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,,percent of total billed charges,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28100.73,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,24836.4,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,20697,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,percent of total billed charges,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LYMPHOMA, MYELOMA AND NON-ACUTE LEUKEMIA",691-3,APR-DRG,,,,,,,,,,inpatient,facility,,,,,21534.95,30216.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26173.58,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,29099.86,,,case rate,28540.3,28540.3,28540.3,1 through 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22611.7,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21534.95,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,21534.95,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,23257.75,,,case rate,24658.56,24658.56,24658.56,1 through 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,,percent of total billed charges,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30216.83,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,25841.94,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,21534.95,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,percent of total billed charges,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MALIGNANCY, MALE REPRODUCTIVE SYSTEM",500-2,APR-DRG,,,,,,,,,,inpatient,facility,,,,,8417.34,11865.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10230.44,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,11374.23,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8838.21,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8417.34,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,8417.34,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,9090.73,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,,percent of total billed charges,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11865.74,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,10100.81,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,8417.34,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,percent of total billed charges,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEONATE, TRANSFERRED < 5 DAYS OLD, NOT BORN HERE",580-3,APR-DRG,,,,,,,,,,inpatient,facility,,,,,8245.7,12731.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10021.83,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,11142.3,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9070.28,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8245.7,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,8245.7,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,9070.28,,,fee schedule,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,,percent of total billed charges,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12731.2,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,9894.85,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,8245.7,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,percent of total billed charges,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OTHER  O.R. PROCEDURES FOR LYMPHATIC, HEMATOPOIETIC OR OTHER NEOPLASMS",681-1,APR-DRG,,,,,,,,,,inpatient,facility,,,,,12832.42,18107.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15596.53,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,17340.26,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13474.04,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12832.42,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,12832.42,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,13859.02,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,,percent of total billed charges,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18107.88,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,15398.91,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,12832.42,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,percent of total billed charges,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OTHER BACK AND NECK DISORDERS, FRACTURES AND INJURIES",347-4,APR-DRG,,,,,,,,,,inpatient,facility,,,,,22210.94,30013.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26995.18,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,30013.32,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23321.49,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22210.94,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,22210.94,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,23987.82,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,,percent of total billed charges,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29629.17,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,26653.13,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,22210.94,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,percent of total billed charges,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OTHER STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES",222-3,APR-DRG,,,,,,,,,,inpatient,facility,,,,,21953.92,32792.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26682.8,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,29666.01,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23051.62,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21953.92,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,21953.92,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,23710.24,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,,percent of total billed charges,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32792.21,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,26344.71,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,21953.92,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,percent of total billed charges,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT AMI, HEART FAILURE OR SHOCK",171-1,APR-DRG,,,,,,,,,,inpatient,facility,,,,,14213.45,20889.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17275.03,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,19206.43,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14924.13,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14213.45,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,14213.45,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,15350.53,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,,percent of total billed charges,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20889.43,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,17056.14,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,14213.45,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,percent of total billed charges,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POST-OPERATIVE, POST-TRAUMA, OTHER DEVICE INFECTIONS WITH O.R. PROCEDURE",711-3,APR-DRG,,,,,,,,,,inpatient,facility,,,,,25078.63,36213.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30480.57,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,33888.38,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26332.56,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25078.63,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,25078.63,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,27084.92,,,case rate,29551.99,29551.99,36597.39,1 through 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,,percent of total billed charges,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36213.29,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,30094.36,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,25078.63,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,percent of total billed charges,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKIN GRAFT, EXCEPT HAND, FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE DIAGNOSES",312-2,APR-DRG,,,,,,,,,,inpatient,facility,,,,,22065.71,30510.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26818.67,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,29817.07,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23168.99,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22065.71,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,22065.71,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,23830.97,,,case rate,24898.35,24898.35,24898.35,1 through 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,,percent of total billed charges,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30510.67,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,26478.85,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,22065.71,,,case rate,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,percent of total billed charges,,,,0,Zero instances of the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
