"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION",RX-150589,CDM,J0131,HCPCS,0636,RC,67457-0940-10,NDC,,outpatient,100,ML,61.8,61.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.96,,,,,,,fee schedule,,8.96,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.96,,,,,,,fee schedule,,8.96,,,,,,,fee schedule,,8.96,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.96,,,,,,,fee schedule,,8.96,,,,,,,fee schedule,,,,,,,,,,,8.96,,,,,,,fee schedule,,6,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.96,,,,,,,fee schedule,,8.96,,,,,,,fee schedule,,8.96,,,,,,,fee schedule,,8.96,,,,,,,fee schedule,,8.96,,,,,,,fee schedule,,8.96,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8.96,
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION|DISCARDED DRUG NOT ADMINISTE",RX-150589,CDM,J0136,HCPCS,0636,RC,00264-4100-90,NDC,JW,outpatient,100,ML,17.42,17.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.16,,,,,,,fee schedule,,8.16,,,,,,,fee schedule,,12.75,,,,,,,fee schedule,,,,,,,,,,,12.75,,,,,,,fee schedule,,6,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75,,,,,,,fee schedule,,8.16,,,,,,,fee schedule,,8.16,,,,,,,fee schedule,,8.16,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.16,,,,,,,fee schedule,,8.16,,,,,,,fee schedule,,,,,,,,,,,8.16,,,,,,,fee schedule,,6,,,,,,,fee schedule,,12.11,,,,,,,fee schedule,,12.75,,,,,,,fee schedule,,12.75,,,,,,,fee schedule,,8.16,,,,,,,fee schedule,,8.16,,,,,,,fee schedule,,8.16,,,,,,,fee schedule,,8.16,,,,,,,fee schedule,,8.16,,,,,,,fee schedule,,8.16,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,12.75,
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION|DISCARDED DRUG NOT ADMINISTE",RX-150589,CDM,J0137,HCPCS,0636,RC,00143-9386-10,NDC,JW,both,100,ML,25.8,25.8,23.22,90,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,20.64,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,21.16,82,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,21.16,82,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.93,85,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,20.64,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,21.29,82.5,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,21.93,85,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,21.93,85,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,19.35,75,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,22.7,88,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,20.64,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,23.22,90,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.16,82,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,21.29,82.5,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,21.93,85,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,21.16,82,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,19.35,75,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,88,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,19.35,75,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.16,82,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,21.16,82,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,20.64,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,21.93,85,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,19.35,23.22,
"ADVATE 1,000 (+/-) UNIT INTRAVENOUS SOLUTION",RX-76391,CDM,J7192,HCPCS,0636,RC,00944-3053-02,NDC,,both,1,F2,49.3,49.3,44.37,90,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,39.44,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.91,85,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,39.44,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,40.67,82.5,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,41.91,85,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,41.91,85,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,36.98,75,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,43.38,88,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,39.44,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,44.37,90,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.43,82,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,40.67,82.5,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,41.91,85,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,40.43,82,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,36.98,75,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.38,88,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,36.98,75,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.43,82,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,40.43,82,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,39.44,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,41.91,85,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,36.98,44.37,
"ALBUMIN, HUMAN 25 % INTRAVENOUS SOLUTION|DISCARDED DRUG NOT ADMINISTE",RX-8981,CDM,P9047,HCPCS,0250,RC,68982-0643-02,NDC,JW,inpatient,50,ML,123.41,123.41,,,,,,,,,,,,,,,,,,,101.2,82,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,101.2,82,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.73,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.22,65,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.73,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,80.22,101.2,
"ALBUMIN, HUMAN 25 % INTRAVENOUS SOLUTION|DISCARDED DRUG NOT ADMINISTE",RX-8981,CDM,P9047,HCPCS,0250,RC,76125-0792-25,NDC,JW,inpatient,50,ML,103.2,103.2,,,,,,,,,,,,,,,,,,,84.62,82,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,84.62,82,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.56,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.08,65,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.56,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,67.08,84.62,
"ALBUMIN, HUMAN 25 % IV SOLUTION BOLUS|DISCARDED DRUG NOT ADMINISTE",RX-408488220,CDM,P9047,HCPCS,0636,RC,68516-5216-02,NDC,JW,outpatient,50,ML,100.62,100.62,,,,,,,,,,,,,,,,,,,100.85,,,,,,,fee schedule,,100.85,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,135.35,,,,,,,fee schedule,,53.61,,APC Price ($53.08). Final payment is multiplied by 101%.,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,135.35,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.35,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,,,,,,,,,,53.08,,APC Price ($53.08).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.38,,APC Price ($53.08). Final payment is multiplied by 110%.,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,53.08,,APC Price ($53.08).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,54.14,,APC Price ($53.08). Final payment is multiplied by 102%.,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,53.08,,APC Price ($53.08).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,54.14,,APC Price ($53.08). Final payment is multiplied by 102%.,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,53.08,,APC Price ($53.08).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,53.08,,APC Price ($53.08).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,53.08,,APC Price ($53.08).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,53.08,,APC Price ($53.08).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,55.73,,APC Price ($53.08). Final payment is multiplied by 105%.,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,,,,,,,,,,84.92,,,,,,,fee schedule,,,,,,,,,,,128.59,,,,,,,fee schedule,,135.35,,,,,,,fee schedule,,135.35,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,53.08,,APC Price ($53.08).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,53.08,135.35,
"ALBUMIN, HUMAN 25 % IV SOLUTION BOLUS|DISCARDED DRUG NOT ADMINISTE",RX-408488220,CDM,P9047,HCPCS,0636,RC,68516-5216-04,NDC,JW,both,50,ML,100.62,100.62,90.56,90,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,80.5,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.5,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,85.53,85,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,80.5,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,83.01,82.5,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,85.53,85,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,80.5,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,85.53,85,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,75.47,75,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,88.55,88,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,80.5,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,90.56,90,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.51,82,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,83.01,82.5,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,85.53,85,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,82.51,82,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,75.47,75,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.55,88,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,75.47,75,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,80.5,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.51,82,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,82.51,82,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,80.5,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,85.53,85,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,75.47,90.56,
"ALBUMIN, HUMAN 5 % INTRAVENOUS SOLUTION",RX-8982,CDM,P9041,HCPCS,0250,RC,68516-5214-01,NDC,,inpatient,250,ML,136.52,136.52,,,,,,,,,,,,,,,,,,,111.95,82,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,111.95,82,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.22,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.74,65,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.22,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,88.74,111.95,
"ALBUMIN, HUMAN 5 % INTRAVENOUS SOLUTION|DISCARDED DRUG NOT ADMINISTE",RX-8982,CDM,P9041,HCPCS,0250,RC,68516-5214-01,NDC,JW,inpatient,250,ML,100.52,100.52,,,,,,,,,,,,,,,,,,,82.43,82,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,82.43,82,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.42,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.34,65,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.42,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,65.34,82.43,
"ALBUMIN, HUMAN 5 % INTRAVENOUS SOLUTION|DISCARDED DRUG NOT ADMINISTE",RX-8982,CDM,P9041,HCPCS,0250,RC,68516-5214-03,NDC,JW,inpatient,250,ML,100.52,100.52,,,,,,,,,,,,,,,,,,,82.43,82,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,82.43,82,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.42,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.34,65,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.42,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,65.34,82.43,
"ALBUMIN, HUMAN 5 % INTRAVENOUS SOLUTION|DISCARDED DRUG NOT ADMINISTE",RX-8982,CDM,P9041,HCPCS,0636,RC,68982-0623-02,NDC,JW,outpatient,250,ML,148.89,148.89,,,,,,,,,,,,,,,,,,,100.85,,,,,,,fee schedule,,100.85,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,135.41,,,,,,,fee schedule,,10.72,,APC Price ($10.62). Final payment is multiplied by 101%.,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,135.41,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.41,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,,,,,,,,,,10.62,,APC Price ($10.62).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.68,,APC Price ($10.62). Final payment is multiplied by 110%.,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,10.62,,APC Price ($10.62).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,10.83,,APC Price ($10.62). Final payment is multiplied by 102%.,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,10.62,,APC Price ($10.62).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,10.83,,APC Price ($10.62). Final payment is multiplied by 102%.,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,10.62,,APC Price ($10.62).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,10.62,,APC Price ($10.62).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,10.62,,APC Price ($10.62).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,10.62,,APC Price ($10.62).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,11.15,,APC Price ($10.62). Final payment is multiplied by 105%.,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,,,,,,,,,,84.92,,,,,,,fee schedule,,,,,,,,,,,128.63,,,,,,,fee schedule,,135.41,,,,,,,fee schedule,,135.41,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,10.62,,APC Price ($10.62).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,10.62,135.41,
