"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION",RX-150589,CDM,J0131,HCPCS,0250,RC,67457-0940-10,NDC,,inpatient,100,ML,61.8,61.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.44,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.44,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.44,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.44,49.44,
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION",RX-150589,CDM,J0136,HCPCS,0250,RC,00264-4100-90,NDC,,inpatient,100,ML,53.42,53.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.74,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.74,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.74,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.74,42.74,
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION|DISCARDED DRUG NOT ADMINISTE",RX-150589,CDM,J0131,HCPCS,0250,RC,36000-0306-60,NDC,JW,both,100,ML,20.43,20.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.34,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.28,65,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.34,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,13.28,16.34,
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION|DISCARDED DRUG NOT ADMINISTE",RX-150589,CDM,J0134,HCPCS,0250,RC,63323-0434-00,NDC,JW,inpatient,100,ML,20.64,20.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.51,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.51,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.51,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.51,16.51,
"ADVATE 1,000 (+/-) UNIT INTRAVENOUS SOLUTION|DISCARDED DRUG NOT ADMINISTE",RX-76391,CDM,J7192,HCPCS,0636,RC,00944-3053-02,NDC,JW,inpatient,1,F2,4.3,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,65,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,2.8,3.44,
"ADVATE 1,000 (+/-) UNIT INTRAVENOUS SOLUTION|DISCARDED DRUG NOT ADMINISTE",RX-76391,CDM,J7192,HCPCS,0636,RC,00944-3053-02,NDC,JW,outpatient,1,F2,4.3,4.3,,,,,,,,,,,,,,,,,,,3.06,,,,,,,fee schedule,,3.06,,,,,,,fee schedule,,2.55,,,,,,,fee schedule,,2.55,,,,,,,fee schedule,,3.95,,,,,,,fee schedule,,1.63,,,,,,,fee schedule,,3.95,,,,,,,fee schedule,,1.8,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95,,,,,,,fee schedule,,2.55,,,,,,,fee schedule,,2.55,,,,,,,fee schedule,,2.55,,,,,,,fee schedule,,,,,,,,,,,1.61,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,,,,,,,fee schedule,,1.61,,,,,,,fee schedule,,1.65,,,,,,,fee schedule,,1.61,,,,,,,fee schedule,,1.65,,,,,,,fee schedule,,1.61,,,,,,,fee schedule,,1.61,,,,,,,fee schedule,,1.61,,,,,,,fee schedule,,1.61,,,,,,,fee schedule,,1.69,,,,,,,fee schedule,,,,,,,,,,,2.55,,,,,,,fee schedule,,2.55,,,,,,,fee schedule,,,,,,,,,,,2.55,,,,,,,fee schedule,,1.8,,,,,,,fee schedule,,3.75,,,,,,,fee schedule,,3.95,,,,,,,fee schedule,,3.95,,,,,,,fee schedule,,2.55,,,,,,,fee schedule,,2.55,,,,,,,fee schedule,,2.55,,,,,,,fee schedule,,2.55,,,,,,,fee schedule,,2.55,,,,,,,fee schedule,,2.55,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,1.61,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,1.61,3.95,
"ADVATE 2,000 (+/-) UNIT INTRAVENOUS SOLUTION",RX-78224,CDM,J7192,HCPCS,0636,RC,00944-3045-10,NDC,,both,1,F2,49.3,49.3,44.37,90,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,39.44,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.91,85,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,39.44,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,40.67,82.5,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,41.91,85,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,41.91,85,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,36.98,75,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,43.38,88,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,39.44,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,44.37,90,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.43,82,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,40.67,82.5,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,41.91,85,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,40.43,82,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,36.98,75,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.38,88,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,36.98,75,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.43,82,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,40.43,82,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,39.44,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,41.91,85,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,36.98,44.37,
"ADVATE 4,000 (+/-) UNIT INTRAVENOUS SOLUTION",RX-159425,CDM,J7192,HCPCS,0636,RC,00944-3047-10,NDC,,inpatient,1,F2,49.3,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.44,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.05,65,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.44,80,,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,32.05,39.44,
"ALBUMIN, HUMAN 25 % INTRAVENOUS SOLUTION",RX-8981,CDM,P9047,HCPCS,0636,RC,44206-0251-05,NDC,,outpatient,50,ML,229.5,229.5,,,,,,,,,,,,,,,,,,,100.85,,,,,,,fee schedule,,100.85,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,135.35,,,,,,,fee schedule,,53.61,,APC Price ($53.08). Final payment is multiplied by 101%.,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,135.35,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.35,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,,,,,,,,,,53.08,,APC Price ($53.08).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.38,,APC Price ($53.08). Final payment is multiplied by 110%.,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,53.08,,APC Price ($53.08).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,54.14,,APC Price ($53.08). Final payment is multiplied by 102%.,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,53.08,,APC Price ($53.08).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,54.14,,APC Price ($53.08). Final payment is multiplied by 102%.,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,53.08,,APC Price ($53.08).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,53.08,,APC Price ($53.08).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,53.08,,APC Price ($53.08).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,53.08,,APC Price ($53.08).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,55.73,,APC Price ($53.08). Final payment is multiplied by 105%.,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,,,,,,,,,,84.92,,,,,,,fee schedule,,,,,,,,,,,128.59,,,,,,,fee schedule,,135.35,,,,,,,fee schedule,,135.35,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,53.08,,APC Price ($53.08).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,53.08,135.35,
"ALBUMIN, HUMAN 25 % INTRAVENOUS SOLUTION",RX-8981,CDM,P9047,HCPCS,0636,RC,68516-5216-02,NDC,,outpatient,50,ML,136.62,136.62,,,,,,,,,,,,,,,,,,,100.85,,,,,,,fee schedule,,100.85,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,135.35,,,,,,,fee schedule,,53.61,,APC Price ($53.08). Final payment is multiplied by 101%.,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,135.35,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.35,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,,,,,,,,,,53.08,,APC Price ($53.08).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.38,,APC Price ($53.08). Final payment is multiplied by 110%.,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,53.08,,APC Price ($53.08).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,54.14,,APC Price ($53.08). Final payment is multiplied by 102%.,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,53.08,,APC Price ($53.08).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,54.14,,APC Price ($53.08). Final payment is multiplied by 102%.,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,53.08,,APC Price ($53.08).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,53.08,,APC Price ($53.08).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,53.08,,APC Price ($53.08).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,53.08,,APC Price ($53.08).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,55.73,,APC Price ($53.08). Final payment is multiplied by 105%.,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,,,,,,,,,,84.92,,,,,,,fee schedule,,,,,,,,,,,128.59,,,,,,,fee schedule,,135.35,,,,,,,fee schedule,,135.35,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,84.92,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,53.08,,APC Price ($53.08).,,,,0,other,OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file.,,,,,,,,,,,,,,,,,,,53.08,135.35,
