"ADENOIDECTOMY, PRIMARY; AGE 12 OR OVER",42831,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,360,4928.77,,,,,,,1797.68,6160.96,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, AXILLAE, GENITALIA, HANDS AND/OR FEET; DEFECT 10 SQ CM OR LESS",14040,CPT,,,,,,,facility,outpatient,,,,,Banner University Health Plan,AZ Medicaid - AHCCCS,360,1243.64,,,,,,,1243.64,4357.45,case rate,
"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, AXILLAE, GENITALIA, HANDS AND/OR FEET; DEFECT 10 SQ CM OR LESS",14040,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,BCBSAZ Workers Comp,360,4357.45,,,,,,,1243.64,4357.45,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, AXILLAE, GENITALIA, HANDS AND/OR FEET; DEFECT 10.1 SQ CM TO 30.0 SQ CM",14041,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,BCBSAZ Workers Comp,360,4988.05,,,,,,,1243.64,4988.05,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, SCALP, ARMS AND/OR LEGS; DEFECT 10 SQ CM OR LESS",14020,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,360,3741.03,,,,,,,1243.64,4988.05,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, SCALP, ARMS AND/OR LEGS; DEFECT 10 SQ CM OR LESS",14020,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,Commercial,360,4988.05,,,,,,,1243.64,4988.05,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, SCALP, ARMS AND/OR LEGS; DEFECT 10.1 SQ CM TO 30.0 SQ CM",14021,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,360,3741.03,,,,,,,1243.64,4988.05,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
"ALVEOLOPLASTY, EACH QUADRANT (SPECIFY)",41874,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,Medicare Supplemental Senior Preferred,360,1455.44,,,,,,,1455.44,4988.05,fee schedule,"For Outpatient Covered Services in which Medicare has made payment, reimbursement is the remaining balance payable up to the Medicare Allowed Amount. For Outpatient Covered Services in which Medicare has not made payment, reimbursement is the lesser of 100% of Billed Charges or a percentage of the BCBSAZ Outpatient Fee Schedule."
"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH MCC",616,TRIS-DRG,,,,,,,facility,inpatient,,,,,TriWest Healthcare Alliance Corp - VA CCN,Tricare,,,,"Inpatient services are paid at 100% of the TRICARE Maximum Allowed DRG rate. The exact rate is variable based on billed charges, DRG, discharge status, NTAP, etc.",,,,0,,,other,"Inpatient services are paid at 100% of the TRICARE Maximum Allowed DRG rate. The exact rate is variable based on billed charges, DRG, discharge status, NTAP, etc.; there were no paid claims found for this combination of service, payer, and plan within the prior 12-15 months of this file's publishing"
"AMPUTATION, FOOT; TRANSMETATARSAL",28805,CPT,,,,,,,facility,outpatient,,,,,Banner University Health Plan,University Family Plan,360,2052.04,,,,,,,2052.04,13084.95,case rate,
