"LAMINECTOMY, FACETECTOMY AND FORAMINOTOMY (UNILATERAL OR BILATERAL WITH DECOMPRESSION OF SPINAL CORD, CAUDA EQUINA AND/OR NERVE ROOT[S], [EG, SPINAL OR LATERAL RECESS STENOSIS]), SINGLE VERTEBRAL SEGMENT; EACH ADDITIONAL VERTEBRAL SEGMENT, CERVICAL, THORACIC, OR LUMBAR (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)",63048,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,360,3889.54,,,,,,,1418.64,16820.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
"LAMINECTOMY, FACETECTOMY AND FORAMINOTOMY (UNILATERAL OR BILATERAL WITH DECOMPRESSION OF SPINAL CORD, CAUDA EQUINA AND/OR NERVE ROOT[S], [EG, SPINAL OR LATERAL RECESS STENOSIS]), SINGLE VERTEBRAL SEGMENT; LUMBAR",63047,CPT,,,,,,,facility,outpatient,,,,,Arizona Physicians IPA,Medicaid,360,4542.09,,,,,,,2837.28,16820.00,case rate,
"LAMINOTOMY (HEMILAMINECTOMY), WITH DECOMPRESSION OF NERVE ROOT(S), INCLUDING PARTIAL FACETECTOMY, FORAMINOTOMY AND/OR EXCISION OF HERNIATED INTERVERTEBRAL DISC, REEXPLORATION, SINGLE INTERSPACE; LUMBAR",63042,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,360,7779.08,,,,,,,2837.28,16820.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
"LAPAROSCOPY, ABDOMEN, PERITONEUM, AND OMENTUM, DIAGNOSTIC, WITH OR WITHOUT COLLECTION OF SPECIMEN(S) BY BRUSHING OR WASHING (SEPARATE PROCEDURE)",49320,CPT,,,,,,,facility,outpatient,,,,,Health Net,Medicaid,360,3668.82,,,,,,,1455.44,4988.05,case rate,
"LAPAROSCOPY, SURGICAL, CLOSURE OF ENTEROSTOMY, LARGE OR SMALL INTESTINE, WITH RESECTION AND ANASTOMOSIS",44227,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,Commercial,360,13084.95,,,,,,,3818.00,13084.95,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
"LAPAROSCOPY, SURGICAL, COLPOPEXY (SUSPENSION OF VAGINAL APEX)",57425,CPT,,,,,,,facility,outpatient,,,,,Banner University Health Plan,University Family Plan,360,6458.05,,,,,,,2044.24,7005.97,case rate,
"LAPAROSCOPY, SURGICAL, COLPOPEXY (SUSPENSION OF VAGINAL APEX)",57425,CPT,,,,,,,facility,outpatient,,,,,TriWest Healthcare Alliance Corp - VA CCN,Tricare,360,,,"Outpatient services are paid at 100% of the TRICARE OPPS methodology. The exact rate is variable based on patient specific maternity diagnoses, multiple procedure pricing logic, etc.",,,,0,2044.24,7005.97,other,"Outpatient services are paid at 100% of the TRICARE OPPS methodology. The exact rate is variable based on patient specific maternity diagnoses, multiple procedure pricing logic, etc.; there were no paid claims found for this combination of service, payer, and plan within the prior 12-15 months of this file's publishing"
"LAPAROSCOPY, SURGICAL, ESOPHAGEAL SPHINCTER AUGMENTATION PROCEDURE, PLACEMENT OF SPHINCTER AUGMENTATION DEVICE (IE, MAGNETIC BAND), INCLUDING CRUROPLASTY WHEN PERFORMED",43284,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,360,3990.44,,,,,,,1455.44,6458.05,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
"LAPAROSCOPY, SURGICAL, ESOPHAGOGASTRIC FUNDOPLASTY (EG, NISSEN, TOUPET PROCEDURES)",43280,CPT,,,,,,,facility,outpatient,,,,,Banner University Health Plan,University Family Plan,360,6458.05,,,,,,,2044.24,7005.97,case rate,
"LAPAROSCOPY, SURGICAL, ESOPHAGOMYOTOMY (HELLER TYPE), WITH FUNDOPLASTY, WHEN PERFORMED",43279,CPT,,,,,,,facility,outpatient,,,,,United Healthcare,Individual Exchange,360,6394.00,,,,,,,2044.24,7005.97,fee schedule,
"LAPAROSCOPY, SURGICAL, GASTRIC RESTRICTIVE PROCEDURE; LONGITUDINAL GASTRECTOMY (IE, SLEEVE GASTRECTOMY)",43775,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,BCBSAZ Workers Comp,360,14761.84,,,,,,,4307.29,17329.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
"LAPAROSCOPY, SURGICAL, GASTRIC RESTRICTIVE PROCEDURE; PLACEMENT OF ADJUSTABLE GASTRIC RESTRICTIVE DEVICE (EG, GASTRIC BAND AND SUBCUTANEOUS PORT COMPONENTS)",43770,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,360,10305.58,,,,,,,4009.36,17329.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
"LAPAROSCOPY, SURGICAL, GASTRIC RESTRICTIVE PROCEDURE; PLACEMENT OF ADJUSTABLE GASTRIC RESTRICTIVE DEVICE (EG, GASTRIC BAND AND SUBCUTANEOUS PORT COMPONENTS)",43770,CPT,,,,,,,facility,outpatient,,,,,Health Net,Medicaid,360,6458.05,,,,,,,4009.36,17329.00,fee schedule,
"LAPAROSCOPY, SURGICAL, GASTRIC RESTRICTIVE PROCEDURE; REMOVAL OF ADJUSTABLE GASTRIC RESTRICTIVE DEVICE AND SUBCUTANEOUS PORT COMPONENTS",43774,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,Commercial,360,10209.41,,,,,,,2273.53,10209.41,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
"LAPAROSCOPY, SURGICAL, MYOMECTOMY, EXCISION; 5 OR MORE INTRAMURAL MYOMAS AND/OR INTRAMURAL MYOMAS WITH TOTAL WEIGHT GREATER THAN 250 G",58546,CPT,,,,,,,facility,outpatient,,,,,Mercy Care,Medicaid,360,6458.05,,,,,,,3818.00,13084.95,case rate,
"LAPAROSCOPY, SURGICAL, REPAIR OF PARAESOPHAGEAL HERNIA, INCLUDES FUNDOPLASTY, WHEN PERFORMED; WITHOUT IMPLANTATION OF MESH",43281,CPT,,,,,,,facility,outpatient,,,,,"Health Choice Arizona, Inc.",Medicaid,360,6458.05,,,,,,,3818.00,13084.95,fee schedule,
"LAPAROSCOPY, SURGICAL, SUPRACERVICAL HYSTERECTOMY, FOR UTERUS 250 G OR LESS; WITH REMOVAL OF TUBE(S) AND/OR OVARY(S)",58542,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,Commercial,360,13084.95,,,,,,,3818.00,13084.95,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
"LAPAROSCOPY, SURGICAL, SUPRACERVICAL HYSTERECTOMY, FOR UTERUS GREATER THAN 250 G; WITH REMOVAL OF TUBE(S) AND/OR OVARY(S)",58544,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,360,10467.96,,,,,,,3818.00,13084.95,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
"LAPAROSCOPY, SURGICAL, SUPRACERVICAL HYSTERECTOMY, FOR UTERUS GREATER THAN 250 G;",58543,CPT,,,,,,,facility,outpatient,,,,,"Health Choice Arizona, Inc.",Medicaid,360,6458.05,,,,,,,3818.00,13084.95,fee schedule,
"LAPAROSCOPY, SURGICAL, WITH ADRENALECTOMY, PARTIAL OR COMPLETE, OR EXPLORATION OF ADRENAL GLAND WITH OR WITHOUT BIOPSY, TRANSABDOMINAL, LUMBAR OR DORSAL",60650,CPT,,,,,,,facility,outpatient,,,,,United Healthcare,Individual Exchange,360,2311.23,,,,,,,2311.23,13084.95,fee schedule,
"LAPAROSCOPY, SURGICAL, WITH VAGINAL HYSTERECTOMY, FOR UTERUS 250 G OR LESS; WITH REMOVAL OF TUBE(S) AND/OR OVARY(S)",58552,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,BXBSAZ Alliance CHS,360,10991.27,,,,,,,3818.00,13084.95,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
"LAPAROSCOPY, SURGICAL; CHOLECYSTECTOMY WITH EXPLORATION OF COMMON DUCT",47564,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,BXBSAZ Alliance CHS,360,10991.27,,,,,,,3668.82,16820.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
"LAPAROSCOPY, SURGICAL; COLECTOMY, PARTIAL, WITH ANASTOMOSIS",44204,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,Commercial,360,13084.95,,,,,,,2311.23,13084.95,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
"LAPAROSCOPY, SURGICAL; GASTROSTOMY, WITHOUT CONSTRUCTION OF GASTRIC TUBE (EG, STAMM PROCEDURE) (SEPARATE PROCEDURE)",43653,CPT,,,,,,,facility,outpatient,,,,,Arizona Physicians IPA,Medicaid,360,3668.82,,,,,,,3668.82,13084.95,case rate,
"LAPAROSCOPY, SURGICAL; GASTROSTOMY, WITHOUT CONSTRUCTION OF GASTRIC TUBE (EG, STAMM PROCEDURE) (SEPARATE PROCEDURE)",43653,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,360,9813.71,,,,,,,3668.82,13084.95,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
"LAPAROSCOPY, SURGICAL; NEPHRECTOMY, INCLUDING PARTIAL URETERECTOMY",50546,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,Medicare Supplemental Senior Preferred,360,3818.00,,,,,,,3818.00,13084.95,fee schedule,"For Outpatient Covered Services in which Medicare has made payment, reimbursement is the remaining balance payable up to the Medicare Allowed Amount. For Outpatient Covered Services in which Medicare has not made payment, reimbursement is the lesser of 100% of Billed Charges or a percentage of the BCBSAZ Outpatient Fee Schedule."
"LAPAROSCOPY, SURGICAL; WITH ASPIRATION OF CAVITY OR CYST (EG, OVARIAN CYST) (SINGLE OR MULTIPLE)",49322,CPT,,,,,,,facility,outpatient,,,,,Health Net,Medicaid,360,3668.82,,,,,,,1797.68,6160.96,case rate,
"LAPAROSCOPY, SURGICAL; WITH BILATERAL TOTAL PELVIC LYMPHADENECTOMY",38571,CPT,,,,,,,facility,outpatient,,,,,Mercy Care,Medicaid,360,6458.05,,,,,,,3818.00,13084.95,case rate,
"LAPAROSCOPY, SURGICAL; WITH INSERTION OF TUNNELED INTRAPERITONEAL CATHETER",49324,CPT,,,,,,,facility,outpatient,,,,,Health Net,Medicaid,360,3668.82,,,,,,,949.44,3668.82,case rate,
"LAPAROSCOPY, SURGICAL; WITH LYSIS OF ADHESIONS (SALPINGOLYSIS, OVARIOLYSIS) (SEPARATE PROCEDURE)",58660,CPT,,,,,,,facility,outpatient,,,,,Banner University Health Plan,University Family Plan,360,3668.82,,,,,,,2044.24,7005.97,case rate,
"LARYNGOSCOPY DIRECT, WITH OR WITHOUT TRACHEOSCOPY; DIAGNOSTIC, EXCEPT NEWBORN",31525,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,BXBSAZ Alliance CHS,360,2733.25,,,,,,,949.44,3253.90,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
"LARYNGOSCOPY DIRECT, WITH OR WITHOUT TRACHEOSCOPY; WITH DILATION, INITIAL",31528,CPT,,,,,,,facility,outpatient,,,,,"Health Choice Arizona, Inc.",Medicaid,360,2246.06,,,,,,,1271.44,4357.45,fee schedule,
"LARYNGOSCOPY DIRECT, WITH OR WITHOUT TRACHEOSCOPY; WITH DILATION, INITIAL",31528,CPT,,,,,,,facility,outpatient,,,,,Banner University Health Plan,University Family Plan,360,2246.06,,,,,,,1271.44,4357.45,case rate,
"LARYNGOSCOPY DIRECT, WITH OR WITHOUT TRACHEOSCOPY; WITH DILATION, INITIAL",31528,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,Medicare Supplemental Senior Preferred,360,1271.44,,,,,,,1271.44,4357.45,fee schedule,"For Outpatient Covered Services in which Medicare has made payment, reimbursement is the remaining balance payable up to the Medicare Allowed Amount. For Outpatient Covered Services in which Medicare has not made payment, reimbursement is the lesser of 100% of Billed Charges or a percentage of the BCBSAZ Outpatient Fee Schedule."
"LARYNGOSCOPY, DIRECT, OPERATIVE, WITH ARYTENOIDECTOMY; WITH OPERATING MICROSCOPE OR TELESCOPE",31561,CPT,,,,,,,facility,outpatient,,,,,Mercy Care,Medicaid,360,4221.50,,,,,,,2044.24,7005.97,case rate,
"LARYNGOSCOPY, DIRECT, OPERATIVE, WITH BIOPSY; WITH OPERATING MICROSCOPE OR TELESCOPE",31536,CPT,,,,,,,facility,outpatient,,,,,"Health Choice Arizona, Inc.",Medicaid,360,2246.06,,,,,,,1455.44,4988.05,fee schedule,
"LARYNGOSCOPY, DIRECT, OPERATIVE, WITH BIOPSY; WITH OPERATING MICROSCOPE OR TELESCOPE",31536,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,360,3990.44,,,,,,,1455.44,4988.05,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
"LARYNGOSCOPY, DIRECT, OPERATIVE, WITH EXCISION OF TUMOR AND/OR STRIPPING OF VOCAL CORDS OR EPIGLOTTIS; WITH OPERATING MICROSCOPE OR TELESCOPE",31541,CPT,,,,,,,facility,outpatient,,,,,"Health Choice Arizona, Inc.",Medicaid,360,2246.06,,,,,,,1797.68,6160.96,fee schedule,
"LARYNGOSCOPY, DIRECT, OPERATIVE, WITH EXCISION OF TUMOR AND/OR STRIPPING OF VOCAL CORDS OR EPIGLOTTIS;",31540,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,360,3990.44,,,,,,,1455.44,4988.05,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
"LARYNGOSCOPY, DIRECT, OPERATIVE, WITH FOREIGN BODY REMOVAL; WITH OPERATING MICROSCOPE OR TELESCOPE",31531,CPT,,,,,,,facility,outpatient,,,,,Banner University Health Plan,AZ Medicaid - AHCCCS,360,2246.06,,,,,,,1455.44,4988.05,case rate,
"LARYNGOSCOPY, DIRECT, OPERATIVE, WITH FOREIGN BODY REMOVAL;",31530,CPT,,,,,,,facility,outpatient,,,,,Health Net,Medicaid,360,1084.88,,,,,,,1084.88,4357.45,case rate,
"LARYNGOSCOPY, DIRECT, WITH INJECTION INTO VOCAL CORD(S), THERAPEUTIC;",31570,CPT,,,,,,,facility,outpatient,,,,,Banner University Health Plan,University Family Plan,360,2246.06,,,,,,,1271.44,4357.45,case rate,
"LARYNGOSCOPY, FLEXIBLE; WITH ABLATION OR DESTRUCTION OF LESION(S) WITH LASER, UNILATERAL",31572,CPT,,,,,,,facility,outpatient,,,,,Arizona Physicians IPA,Medicaid,360,2246.06,,,,,,,1271.44,4357.45,fee schedule,Rates may be adjusted for facility-specific peer groups and all other adjusters.
"LARYNGOSCOPY, FLEXIBLE; WITH THERAPEUTIC INJECTION(S) (EG, CHEMODENERVATION AGENT OR CORTICOSTEROID, INJECTED PERCUTANEOUS, TRANSORAL, OR VIA ENDOSCOPE CHANNEL), UNILATERAL",31573,CPT,,,,,,,facility,outpatient,,,,,Banner University Health Plan,University Family Plan,360,1084.88,,,,,,,1084.88,4357.45,fee schedule,
"LIGATION, DIVISION, AND/OR EXCISION OF VARICOSE VEIN CLUSTER(S), 1 LEG",37785,CPT,,,,,,,facility,outpatient,,,,,Banner University Health Plan,University Family Plan,360,2074.70,,,,,,,1455.44,4988.05,case rate,
"LIGATION, DIVISION, AND/OR EXCISION OF VARICOSE VEIN CLUSTER(S), 1 LEG",37785,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,BCBSAZ Workers Comp,360,4988.05,,,,,,,1455.44,4988.05,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
"LITHOTRIPSY, EXTRACORPOREAL SHOCK WAVE",50590,CPT,,,,,,,facility,outpatient,,,,,Health Net,Medicaid,790,2230.35,,,,,,,2230.35,21352.12,case rate,
"LITHOTRIPSY, EXTRACORPOREAL SHOCK WAVE",50590,CPT,,,,,,,facility,outpatient,,,,,Mercy Care,Medicaid,790,2230.35,,,,,,,2230.35,21352.12,case rate,
"LOWER ESOPHAGEAL MYOTOMY, TRANSORAL (IE, PERORAL ENDOSCOPIC MYOTOMY [POEM])",43497,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,750,2440.42,,,,,,,949.44,3253.90,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
"LOWER ESOPHAGEAL MYOTOMY, TRANSORAL (IE, PERORAL ENDOSCOPIC MYOTOMY [POEM])",43497,CPT,,,,,,,facility,outpatient,,,,,Health Net,Medicaid,750,2273.53,,,,,,,949.44,3253.90,fee schedule,
"MANIPULATION OF TEMPOROMANDIBULAR JOINT(S) (TMJ), THERAPEUTIC, REQUIRING AN ANESTHESIA SERVICE (IE, GENERAL OR MONITORED ANESTHESIA CARE)",21073,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,Commercial,360,3253.90,,,,,,,949.44,3253.90,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
"MASTOTOMY WITH EXPLORATION OR DRAINAGE OF ABSCESS, DEEP",19020,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,Commercial,360,4357.45,,,,,,,1020.08,4357.45,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
"MEDIASTINOSCOPY; WITH LYMPH NODE BIOPSY(IES) (EG, LUNG CANCER STAGING)",39402,CPT,,,,,,,facility,outpatient,,,,,Arizona Physicians IPA,Medicaid,360,3668.82,,,,,,,1455.44,4988.05,fee schedule,Rates may be adjusted for facility-specific peer groups and all other adjusters.
"MENISCECTOMY, PARTIAL OR COMPLETE, TEMPOROMANDIBULAR JOINT (SEPARATE PROCEDURE)",21060,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,360,3485.96,,,,,,,1271.44,4357.45,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
"MIDFACE FLAP (IE, ZYGOMATICOFACIAL FLAP) WITH PRESERVATION OF VASCULAR PEDICLE(S)",15730,CPT,,,,,,,facility,outpatient,,,,,Arizona Physicians IPA,Medicaid,360,2553.56,,,,,,,1455.44,4988.05,case rate,
"MS-DRG 42.00: ABORTION WITH D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY",770,MS-DRG,,,,,,,facility,inpatient,,,,12709.95000,Aetna,Qualified Health Plan,,16703.71,,,,,,,10896.09,32565.14,fee schedule,"Delays due to unavailability of PAHS, or delay in Company response to requests from Hospital for PAHS, will result in an additional per diem payment of $684 for Qualified Health Plan and $560 for Medicare Advantage plan."
"MS-DRG 42.00: ABORTION WITH D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY",770,MS-DRG,,,,,,,facility,inpatient,,,,12709.95000,Devoted Health Services,Medicare Advantage,,11440.89,,,,,,,10896.09,32565.14,fee schedule,
"MS-DRG 42.00: ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",281,MS-DRG,,,,,,,facility,inpatient,,,,14523.39000,Arizona Physicians IPA,Medicare Advantage,,9461.75,,,,,,,9461.75,43649.44,fee schedule,
"MS-DRG 42.00: ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",281,MS-DRG,,,,,,,facility,inpatient,,,,14523.39000,Banner Health,Medicare Advantage,,9461.75,,,,,,,9461.75,43649.44,fee schedule,
"MS-DRG 42.00: ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",281,MS-DRG,,,,,,,facility,inpatient,,,,14523.39000,Health Net,Commerical Exchange Product,,14003.39,,,,,,,9461.75,43649.44,fee schedule,
"MS-DRG 42.00: ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",281,MS-DRG,,,,,,,facility,inpatient,,,,14523.39000,Health Net,Commerical Exchange Product,,14003.39,,,,,,,9461.75,43649.44,fee schedule,
"MS-DRG 42.00: ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",280,MS-DRG,,,,,,,facility,inpatient,,,,25244.92000,UPMC Health Plan,Medicare Advantage,,16155.37,,,,,,,16155.37,57837.86,fee schedule,
"MS-DRG 42.00: ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC",283,MS-DRG,,,,,,,facility,inpatient,,,,31353.33000,Humana,Medicare Advantage,,19648.46,,,,,,,19076.17,59180.18,fee schedule,
"MS-DRG 42.00: AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH CC",560,MS-DRG,,,,,,,facility,inpatient,,,,18007.09000,Banner Health,Medicare Advantage,,11479.33,,,,,,,11479.33,34462.76,fee schedule,
"MS-DRG 42.00: AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH CC",560,MS-DRG,,,,,,,facility,inpatient,,,,18007.09000,Kaiser Foundation Health Plan,Medicare Advantage,,11479.33,,,,,,,11479.33,34462.76,fee schedule,
"MS-DRG 42.00: AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH CC",560,MS-DRG,,,,,,,facility,inpatient,,,,18007.09000,Kaiser Foundation Health Plan,Medicare Advantage,,11479.33,,,,,,,11479.33,34462.76,fee schedule,
"MS-DRG 42.00: AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH CC",560,MS-DRG,,,,,,,facility,inpatient,,,,18007.09000,United Healthcare,UHC Core,,28686.13,,,,,,,11479.33,34462.76,case rate,"When Eligible Charges exceed the Inpatient Outlier Threshold, the contract rate will be designated % of Eligible Charges for the entire admission. Additionally, when the length of stay exceeds 20 days during a single admission, the contract rate will be a per diem rate for each day in excess in addition to the applicable contract rate."
"MS-DRG 42.00: AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC",559,MS-DRG,,,,,,,facility,inpatient,,,,29444.46000,Aetna,Joint Venture,,37632.77,,,,,,,18154.36,56180.92,case rate,"If Eligible Billed Charges for inpatient covered services exceed the stop loss threshold limit, then the inpatient days prior to, including the date on which threshold is reached, will be reimbursed at the set per diem rate. Delays in discharge solely due to unavailability of PABHS, or delay in Company response to requests from Hospital for PABHS, are paid at an additional per diem rate. Company may determine that the Inpatient level of care provided for a given service was not Medically Necessary. If Banner Health agrees to accept Company’s level of care determination, Banner Health may resubmit the claim with Observation bill type for payment of Covered Services in accordance with the Observation Case Rate for non-rehab stays. For rehab stays, a case rate will be paid."
"MS-DRG 42.00: AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC",559,MS-DRG,,,,,,,facility,inpatient,,,,29444.46000,Banner Health,Medicare Advantage,,18154.36,,,,,,,18154.36,56180.92,fee schedule,
"MS-DRG 42.00: AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC",559,MS-DRG,,,,,,,facility,inpatient,,,,29444.46000,United Healthcare,Medicare Advantage,,18154.36,,,,,,,18154.36,56180.92,fee schedule,
"MS-DRG 42.00: AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT CC/MCC",561,MS-DRG,,,,,,,facility,inpatient,,,,12407.71000,"Cigna Healthcare of Arizona, Inc.",Commercial,,24744.66,,,,,,,8492.49,24744.66,case rate,"If Hospital’s total Billed Charges for Covered Services rendered with respect to a particular Participant’s continuous acute inpatient confinement exceed $355,665.00, Hospital will be reimbursed at a 38.7% reduction from Hospital’s Billed Charges, less applicable Copayments, Coinsurance and Deductibles, for Covered Services rendered to the Participant during the entire covered acute inpatient stay and the applicable case rate or per diem specified above shall not apply."
"MS-DRG 42.00: AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT CC/MCC",561,MS-DRG,,,,,,,facility,inpatient,,,,12407.71000,Aetna,Designated Group,,17611.10,,,,,,,8492.49,24744.66,case rate,"If Eligible Billed Charges for inpatient covered services exceed the stop loss threshold limit, then the inpatient days prior to, including the date on which threshold is reached, will be reimbursed at the set per diem rate. Delays in discharge solely due to unavailability of PABHS, or delay in Company response to requests from Hospital for PABHS, are paid at an additional per diem rate. Company may determine that the Inpatient level of care provided for a given service was not Medically Necessary. If Banner Health agrees to accept Company’s level of care determination, Banner Health may resubmit the claim with Observation bill type for payment of Covered Services in accordance with the Observation Case Rate for non-rehab stays. For rehab stays, a case rate will be paid."
"MS-DRG 42.00: AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT CC/MCC",561,MS-DRG,,,,,,,facility,inpatient,,,,12407.71000,Blue Cross Blue Shield of Arizona,Medicare Advantage,,8492.49,,,,,,,8492.49,24744.66,fee schedule,
"MS-DRG 42.00: AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT CC/MCC",561,MS-DRG,,,,,,,facility,inpatient,,,,12407.71000,Blue Cross Blue Shield of Arizona,Medicare Advantage,,8492.49,,,,,,,8492.49,24744.66,fee schedule,
"MS-DRG 42.00: ALCOHOL, DRUG ABUSE OR DEPENDENCE WITH REHABILITATION THERAPY",895,MS-DRG,,,,,,,facility,inpatient,,,,25594.88000,NaphCare,Federal,,22968.75,,,,,,,1973.00,43820.69,fee schedule,
"MS-DRG 42.00: ALCOHOL, DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITH MCC",896,MS-DRG,,,,,,,facility,inpatient,,,,28283.22000,Aetna,Banner Employee Plans,,19546.31,,,,,,,1973.00,53895.91,fee schedule,"Delays in discharge solely due to unavailability of PABHS, or delay in Company response to requests from Hospital for PABHS, are paid at an additional per diem of $557. Company may determine that the Inpatient level of care provided for a given service was not Medically Necessary.  If Banner Health agrees to accept Company’s level of care determination, Banner Health may resubmit the claim with Observation bill type for payment of Covered Services in accordance with the Observation Case Rate for non-rehab stays. For rehab stays, a case rate of $3,748 will be paid."
"MS-DRG 42.00: ALCOHOL, DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITH MCC",896,MS-DRG,,,,,,,facility,inpatient,,,,28283.22000,Aetna,Qualified Health Plan,,26754.01,,,,,,,1973.00,53895.91,fee schedule,"Delays due to unavailability of PAHS, or delay in Company response to requests from Hospital for PAHS, will result in an additional per diem payment of $684 for Qualified Health Plan and $560 for Medicare Advantage plan."
"MS-DRG 42.00: ALCOHOL, DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITH MCC",896,MS-DRG,,,,,,,facility,inpatient,,,,28283.22000,Arizona Physicians IPA,Medicare Advantage,,17452.06,,,,,,,1973.00,53895.91,fee schedule,
