"ALVIMOPAN 12 MG CAPSULE","1353460151","CDM","250","RC","25010066","HCPCS","0591-2312-15","NDC","facility","both","1","EA","","1590","620.1","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"AMINO ACID 3 % PEDI-D10W-CALC 3.75 MEQ-HEPARIN 125 UNIT/250 ML IV SOLN","1352089822","CDM","258","RC","25010067","HCPCS","71285-0420-1","NDC","facility","both","1","EA","","358.7","139.89","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 250 MILLILITERS"
"AMITRIPTYLINE 50 MG TABLET","1354015440","CDM","250","RC","25010066","HCPCS","50268-039-15","NDC","facility","both","1","EA","","5","1.95","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"AMOXICILLIN 250 MG-POTASSIUM CLAVULANATE 62.5 MG/5 ML ORAL SUSPENSION","1065375858","CDM","250","RC","25010066","HCPCS","59651-026-01","NDC","facility","both","1","EA","","115.9","45.20","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 17.48 MILLILITERS"
"AMOXICILLIN 500 MG-POTASSIUM CLAVULANATE 125 MG TABLET","1355931458","CDM","250","RC","25010066","HCPCS","65862-502-20","NDC","facility","both","1","EA","","29.1","11.35","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"AMPICILLIN-SULBACTAM 1.5 GRAM SOLUTION FOR INJECTION","1349362373","CDM","636","RC","25010070","HCPCS","71288-031-91","NDC","facility","both","1","EA","","20","7.8","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"AMPICILLIN-SULBACTAM 3 GRAM SOLUTION FOR INJECTION","1356275388","CDM","636","RC","25010070","HCPCS","70594-082-02","NDC","facility","both","1","EA","","76.9","29.99","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"APREPITANT 130 MG/18 ML (CINVANTI) INTRAVENOUS EMULSION","1353386928","CDM","636","RC","25010068","HCPCS","47426-201-01","NDC","facility","both","1","EA","","3106.3","1211.46","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 18 MILLILITERS"
"ATOVAQUONE 750 MG/5 ML ORAL SUSPENSION","1359354263","CDM","250","RC","25010066","HCPCS","0904-7459-41","NDC","facility","both","1","EA","","231.2","90.17","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 5 MILLILITERS"
"ATOVAQUONE 750 MG/5 ML ORAL SUSPENSION","1361641564","CDM","250","RC","25010066","HCPCS","68462-421-69","NDC","facility","both","1","EA","","316.8","123.55","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 5 MILLILITERS"
"AZITHROMYCIN 500 MG INTRAVENOUS SOLUTION","1354135604","CDM","636","RC","25010070","HCPCS","0069-3150-83","NDC","facility","both","1","EA","","52.1","20.32","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"AZITHROMYCIN 500 MG INTRAVENOUS SOLUTION","1359675038","CDM","636","RC","25010070","HCPCS","0069-0400-10","NDC","facility","both","1","EA","","52.1","20.32","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"AZTREONAM 2 GRAM SOLUTION FOR INJECTION","1358470355","CDM","636","RC","25010070","HCPCS","0409-0830-01","NDC","facility","both","1","EA","","571.8","223.00","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"Abduction rotation bar shoe","L3140","HCPCS","","","","","","","facility","outpatient","","","","","","Caresource","Exchange","215.66","","","","","","","fee schedule","110.03","215.66","APC"
"Abduction rotation bar shoe","L3140","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar Healthplan","Exchange","203.56","","","","","","","fee schedule","110.03","215.66","APC"
"Abeta42 & ttau eclia csf","0459U","HCPCS","","","","","","","facility","outpatient","","","","","","Caresource","Medicare Managed Care Plan","278.74","","","","","","","fee schedule","260.5","956.04","APC"
"Ablate bone tumor(s) perq","20983","HCPCS","","","","","","","facility","outpatient","","","","","","Bcbs","Hmo/Pos","27667.48","","","","","","","fee schedule","4714","27667.48","APC 338.11"
"Ablate pulm tumor perq crybl","32994","HCPCS","","","","","","","facility","outpatient","","","","","","Unitedhealthcare","All Commercial Plans","15026","","","","","","","fee schedule","6389","40530.88",""
"Ablt b9 brst tum perq lsr ea","0970T","HCPCS","","","","","","","facility","outpatient","","","","","","Caresource","Exchange","7794.84","","","","","","","fee schedule","3976.96","14929.3","APC"
"Abltj 1/+thyr ndul 1lobe prq","60660","HCPCS","","","","","","","facility","outpatient","","","","","","Caresource","Medicare Managed Care Plan","1794.98","","","","","","","fee schedule","1677.55","6297.43","APC"
"Abltj b9 thyr ndul perq lasr","0673T","HCPCS","","","","","","","facility","outpatient","","","","","","Caresource","Exchange","3288","","","","","","","fee schedule","1677.55","6297.43","APC"
"Abltj ire prst8 1+ tum perq","55877","HCPCS","","","","","","","facility","outpatient","","","","","","Caresource","Medicare Managed Care Plan","11552.64","","","","","","","fee schedule","10796.86","40530.88","APC"
"Abltj perc uxtr/perph nrv","0440T","HCPCS","","","","","","","facility","outpatient","","","","","","Bcbs","Medicare Managed Care Plan","2023.08","","","","","","","fee schedule","1983.41","11889","APC"
"Abortion With D&C, Aspiration Curettage Or Hysterotomy","770","MS-DRG","","","","","","","facility","inpatient","","","","","","Amerigroup","Medicaid Managed Care Plan","","","[Inpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://dch.georgia.gov/providers/provider-types/hospital-providers]","5821","5821","5821","1 through 10","other","","","Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
"Abortion Without D&C","779","MS-DRG","","","","","","","facility","inpatient","","","","","","Clover","Medicare Managed Care Plan","","","[MSDRG Base Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Abortion Without D&C","779","MS-DRG","","","","","","","facility","inpatient","","","","","","Unitedhealthcare","Medicare Managed Care Plan","","","[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Abortion Without D&C","779","MS-DRG","","","","","","","facility","inpatient","","","","","","Wellcare","Medicare Managed Care Plan","","","[MSDRG Base Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Above knee manual lock","L5925","HCPCS","","","","","","","facility","outpatient","","","","","","Caresource","Exchange","1075.02","","","","","","","fee schedule","548.48","1075.02","APC"
"Abrasion lesion single","15786","HCPCS","","","","","","","facility","outpatient","","","","","","Aetna","Medicare Managed Care Plan","203.79","","","","","","","fee schedule","203.79","5063","APC"
"Abrasion lesion single","15786","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar Healthplan","Exchange","377.01","","","","","","","fee schedule","203.79","5063","APC"
"Access Model 313-6002","L_6632515","CDM","272","RC","","","","","facility","both","","","","4347","1695.33","","","","","","","","","","","","","Gross Charge Type: Fsc 789"
"Acesso dl, per sq cm","Q4293","HCPCS","","","","","","","facility","outpatient","","","","","","Caresource","Medicare Managed Care Plan","135.25","","","","","","","fee schedule","126.4","2422.05","APC"
"Acetone assay","82010","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Medicare Managed Care Plan","8.58","","","","","","","fee schedule","8.17","29.98","APC"
"Acetone assay","82010","HCPCS","","","","","","","facility","outpatient","","","","","","Unitedhealthcare","All Commercial Plans","14.32","","","","","","","fee schedule","8.17","29.98",""
"Actin antibody each","86015","HCPCS","","","","","","","facility","outpatient","","","","","","Ambetter","Select Exchange","21.21","","","","","","","fee schedule","12.05","44.22","APC"
"Acute And Subacute Endocarditis With Cc","289","MS-DRG","","","","","","","facility","inpatient","","","","","","Aetna","Medicare Managed Care Plan","","","[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute And Subacute Endocarditis With Cc","289","MS-DRG","","","","","","","facility","inpatient","","","","","","Cigna","Individual Family Plan Exchange","","","[Stop Loss: Total Charges > 161631 | Excess % of Charge: 34] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute And Subacute Endocarditis With Cc","289","MS-DRG","","","","","","","facility","inpatient","","","","","","Clover","Medicare Managed Care Plan","","","[MSDRG Base Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute And Subacute Endocarditis With Cc","289","MS-DRG","","","","","","","facility","inpatient","","","","","","Unitedhealthcare","Medicare Managed Care Plan","","","[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute And Subacute Endocarditis With Mcc","288","MS-DRG","","","","","","","facility","inpatient","","","","","","Caresource","Medicare Managed Care Plan","28390.22","","","","","","","fee schedule","26532.92","109536.06","MSDRG Base Rate"
