"""Guide, Spring .025""""""","L_5706568","CDM","272","RC","","","","","facility","both","","","","92.12","35.93","","","","","","","","","","","","","Gross Charge Type: Fsc 789"
"""Pad, Decubitus 33"""" X 72""""""","L_5701470","CDM","270","RC","","","","","facility","both","","","","66.24","25.83","","","","","","","","","","","","","Gross Charge Type: Fsc 789"
"1st opn implt bat modulj sys","64654","HCPCS","","","","","","","facility","outpatient","","","","","","Bcbs","Hmo/Pos","167946.4","","","","","","","fee schedule","44738.6","167946.4","APC 338.11"
"1st opn implt bat modulj sys","64654","HCPCS","","","","","","","facility","outpatient","","","","","","Bcbs","Medicare Managed Care Plan","45633.37","","","","","","","fee schedule","44738.6","167946.4","APC"
"23 Mm Avalus Aortic Valve","L_4043028","CDM","278","RC","","","","","facility","both","","","","26516.7","10341.51","","","","","","","","","","","","","Gross Charge Type: Fsc 789"
"365 d implant glucose sensor","G0564","HCPCS","","","","","","","facility","outpatient","","","","","","Aetna","Hmo/Pos/Ppo","4714","","","","","","","fee schedule","4714","8448",""
"3d anat seg imaging preop","C8001","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Medicare Managed Care Plan","137.23","","","","","","","fee schedule","130.69","490.62","APC"
"9vhpv vaccine 3 dose im","90651","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Hmo","656.66","","","","","","","fee schedule","656.66","656.66",""
"ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY","1355350652","CDM","250","RC","25010066","HCPCS","51672-2115-2","NDC","facility","both","1","EA","","4","1.56","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"ACETAMINOPHEN 160 MG/5 ML ORAL LIQUID (WRAPPED)","1353616111","CDM","250","RC","25010066","HCPCS","68094-330-62","NDC","facility","both","1","EA","","14.9","5.81","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 20.3125 MILLILITERS"
"ACETYLCYSTEINE 200 MG/ML (20 %) RESPIRATORY SOLUTION","1354738919","CDM","250","RC","25010065","HCPCS","63323-694-22","NDC","facility","both","1","EA","","91.9","35.84","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 3 MILLILITERS"
"ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION","1352143635","CDM","636","RC","25010070","HCPCS","55150-154-10","NDC","facility","both","1","EA","","136.7","53.31","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 7.5 MILLILITERS"
