"1st plmt drug elut oc ins","0444T","HCPCS","","","","","","","facility","outpatient","","","","","","Aetna","Hmo/Pos/Ppo","5809","","","","","","","fee schedule","2665","5809",""
"2019 nCoV diagnostic P","U0001","HCPCS","","","","","","","facility","outpatient","","","","","","Ambetter","Select Exchange","63.22","","","","","","","fee schedule","35.92","131.83","APC"
"2d tee w or w/o fol w/con,in","C8925","HCPCS","","","","","","","facility","outpatient","","","","","","Bcbs","Hmo/Pos","2989.04","","","","","","","fee schedule","796.24","2989.04","APC 338.11"
"2d tte w or w/o fol w/con,co","C8923","HCPCS","","","","","","","facility","outpatient","","","","","","Bcbs","Medicare Managed Care Plan","812.16","","","","","","","fee schedule","796.24","2989.04","APC"
"3d bn img algor drvd fr mri","G0566","HCPCS","","","","","","","facility","outpatient","","","","","","Aetna","Medicare Managed Care Plan","130.69","","","","","","","fee schedule","130.69","490.62","APC"
"4-bar link above knee w/swng","L5614","HCPCS","","","","","","","facility","outpatient","","","","","","Caresource","Medicare Managed Care Plan","2235.37","","","","","","","fee schedule","2089.13","4094.69","APC"
"ACETAMINOPHEN 300 MG-CODEINE 30 MG TABLET","1353145455","CDM","637","RC","25010066","HCPCS","0406-0484-62","NDC","facility","both","1","EA","","4.8","1.87","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION","1354836287","CDM","636","RC","25010070","HCPCS","63323-325-10","NDC","facility","both","1","EA","","279.4","108.97","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 17.4 MILLILITERS"
"ADULT CYCLIC 2-IN-1 CPN USING CLINIMIX BASE","1354803366","CDM","258","RC","25010067","HCPCS","0338-0184-04","NDC","facility","both","1","EA","","504","196.56","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1200 MILLILITERS"
"ALBUMIN, HUMAN 25 % INTRAVENOUS SOLUTION","1332361290","CDM","636","RC","25010068","HCPCS","76125-792-25","NDC","facility","both","1","EA","","410","159.9","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 50 MILLILITERS"
"ALBUTEROL SULFATE 1.25 MG/3 ML SOLUTION FOR NEBULIZATION","1362572158","CDM","250","RC","25010065","HCPCS","76204-011-01","NDC","facility","both","1","EA","","13.5","5.26","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 3 MILLILITERS"
"ALPRAZOLAM 0.5 MG TABLET","1352408898","CDM","250","RC","25010066","HCPCS","0781-1077-01","NDC","facility","both","1","EA","","6.7","2.61","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"ALS1-emergency","A0427","HCPCS","","","","","","","facility","outpatient","","","","","","Bcbs","Ppo","2552.52","","","","","","","fee schedule","557.65","2552.52",""
"ALUMINUM-MAG HYDROXIDE-SIMETHICONE 400 MG-400 MG-40 MG/5 ML ORAL SUSP","1352197419","CDM","250","RC","25010065","HCPCS","0904-5725-14","NDC","facility","both","1","EA","","0.2","0.08","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 3.75 MILLILITERS"
"AMANTADINE HCL 100 MG CAPSULE","1352731578","CDM","250","RC","25010066","HCPCS","0904-7042-06","NDC","facility","both","1","EA","","10.8","4.21","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"AMILORIDE 5 MG TABLET","1360399117","CDM","637","RC","25010066","HCPCS","0574-0292-01","NDC","facility","both","1","EA","","4.8","1.87","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"AMIODARONE 200 MG TABLET","1357266908","CDM","250","RC","25010066","HCPCS","65862-732-05","NDC","facility","both","1","EA","","51.9","20.24","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 2 UNITS"
"AMIODARONE 200 MG TABLET","1359183699","CDM","250","RC","25010066","HCPCS","72888-039-60","NDC","facility","both","1","EA","","26","10.14","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"AMLODIPINE 5 MG TABLET","1355469819","CDM","250","RC","25010066","HCPCS","51079-451-20","NDC","facility","both","1","EA","","13.3","5.19","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"AMOXICILLIN 400 MG-POTASSIUM CLAVULANATE 57 MG/5 ML ORAL SUSPENSION","1353804332","CDM","250","RC","25010066","HCPCS","65862-534-75","NDC","facility","both","1","EA","","24","9.36","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 5 MILLILITERS"
"ARGATROBAN 1 MG/ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS SOLUTION","1362562439","CDM","636","RC","25010068","HCPCS","0143-9559-01","NDC","facility","both","1","EA","","1380.1","538.24","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 50 MILLILITERS"
"ATOMOXETINE 18 MG CAPSULE","1361481659","CDM","250","RC","6370001","HCPCS","0002-3238-30","NDC","facility","both","1","EA","","101.1","39.43","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
