"1st opn implt bat modulj sys","64654","HCPCS","","","","","","","facility","outpatient","","","","","","Ambetter","Select Exchange","78739.93","","","","","","","fee schedule","44738.6","167946.4","APC"
"2019 nCoV diagnostic P","U0001","HCPCS","","","","","","","facility","outpatient","","","","","","Caresource","Exchange","70.4","","","","","","","fee schedule","35.92","131.83","Laboratory"
"270Ch Tube,Shiley #Cfs 8","L_5705834","CDM","272","RC","","","","","facility","both","","","","378.81","147.74","","","","","","","","","","","","","Gross Charge Type: Fsc 789"
"ABACAVIR 300 MG TABLET","1355801964","CDM","250","RC","25010066","HCPCS","0904-6874-04","NDC","facility","both","1","EA","","133","51.87","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 2 UNITS"
"ACETAMINOPHEN 325 MG RECTAL SUPPOSITORY","1352995559","CDM","250","RC","25010066","HCPCS","51672-2116-2","NDC","facility","both","1","EA","","1.6","0.62","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 0.3692307692 UNITS"
"ACETAMINOPHEN 325 MG TABLET","1355919460","CDM","250","RC","25010066","HCPCS","49483-340-01","NDC","facility","both","1","EA","","0.6","0.23","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 2 UNITS"
"ADO-TRASTUZUMAB EMTANSINE 100 MG INTRAVENOUS SOLUTION","1358558282","CDM","636","RC","25010068","HCPCS","50242-088-01","NDC","facility","both","1","EA","","1493.8","582.58","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 0.06 UNITS"
"ADULT 2-IN-1 CPN USING CLINIMIX BASE","1362776573","CDM","258","RC","25010067","HCPCS","0338-0198-06","NDC","facility","both","1","EA","","504","196.56","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 500 MILLILITERS"
"AFO spiral prefabricated","L1951","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar Healthplan","Exchange","1919.76","","","","","","","fee schedule","1037.71","2033.91","APC"
"AFO supramalleolar custom","L1907","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar Healthplan","Exchange","1286.25","","","","","","","fee schedule","695.27","1362.73","APC"
"AK/BK self-aligning unit ea","L5617","HCPCS","","","","","","","facility","outpatient","","","","","","Ambetter","Select Exchange","1219.13","","","","","","","fee schedule","692.69","1357.67","APC"
"ALUMINUM-MAG HYDROXIDE-SIMETHICONE 400 MG-400 MG-40 MG/5 ML ORAL SUSP","1350059407","CDM","250","RC","25010065","HCPCS","70677-1064-1","NDC","facility","both","1","EA","","0.3","0.12","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 3.75 MILLILITERS"
"ALUMINUM-MAG HYDROXIDE-SIMETHICONE 400 MG-400 MG-40 MG/5 ML ORAL SUSP","1362056643","CDM","250","RC","25010065","HCPCS","0536-0015-83","NDC","facility","both","1","EA","","0.2","0.08","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 3.75 MILLILITERS"
"AMIKACIN 1,000 MG/4 ML INJECTION SOLUTION","1356136593","CDM","636","RC","25010070","HCPCS","23155-786-41","NDC","facility","both","1","EA","","94.3","36.78","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 4 MILLILITERS"
"AMIODARONE 200 MG TABLET","1354961044","CDM","250","RC","25010066","HCPCS","0904-6993-61","NDC","facility","both","1","EA","","4.8","1.87","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"AMITRIPTYLINE 10 MG TABLET","1352582953","CDM","250","RC","25010066","HCPCS","0781-1486-01","NDC","facility","both","1","EA","","4.8","1.87","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"AMITRIPTYLINE 10 MG TABLET","1361417286","CDM","250","RC","25010066","HCPCS","50268-037-15","NDC","facility","both","1","EA","","4.8","1.87","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"AMOXICILLIN 500 MG CAPSULE","1353185761","CDM","250","RC","25010066","HCPCS","0781-2613-01","NDC","facility","both","1","EA","","4.8","1.87","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"AMOXICILLIN 875 MG-POTASSIUM CLAVULANATE 125 MG TABLET","1355932372","CDM","250","RC","25010066","HCPCS","0093-2275-34","NDC","facility","both","1","EA","","38.8","15.13","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"ANTI-INHIBITOR COAGULANT COMPLX 1,750 UNIT-3,250 UNIT INTRAVENOUS SOLN","1357133687","CDM","636","RC","25010068","HCPCS","64193-425-02","NDC","facility","both","1","EA","","0.01","0.0039","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1.0264 UNITS"
