"2d tee w or w/o fol w/con,in","C8925","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar Healthplan","Exchange","1473.04","","","","","","","fee schedule","796.24","2989.04","APC"
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION","1356737978","CDM","636","RC","25010070","HCPCS","63323-434-00","NDC","facility","both","1","EA","","82","31.98","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 100 MILLILITERS"
"ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY","1353116091","CDM","250","RC","25010066","HCPCS","1191712480","NDC","facility","both","1","EA","","5.7","2.22","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1.3333333333 UNITS"
"ACETIC ACID 3% SOLUTION","1353790645","CDM","250","RC","25010065","HCPCS","0000-0050-35","NDC","facility","both","1","EA","","32.6","12.71","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 120 MILLILITERS"
"ACTIVATED CHARCOAL 25 GRAM/120 ML ORAL SUSPENSION","1360420612","CDM","250","RC","25010065","HCPCS","0574-0521-74","NDC","facility","both","1","EA","","128","49.92","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 120 MILLILITERS"
"ADENOSINE 3 MG/ML IV SOLN (WRAPPED)","1360793394","CDM","636","RC","25010068","HCPCS","17478-953-02","NDC","facility","both","1","EA","","63.6","24.80","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 2 MILLILITERS"
"ADULT 2-IN-1 CPN USING CLINIMIX BASE","1358005012","CDM","258","RC","25010067","HCPCS","0338-1133-03","NDC","facility","both","1","EA","","504","196.56","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1000 MILLILITERS"
"ADULT 2-IN-1 CPN USING CLINIMIX BASE","1360049565","CDM","258","RC","25010067","HCPCS","0338-1137-03","NDC","facility","both","1","EA","","504","196.56","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1000 MILLILITERS"
"ADULT 2-IN-1 PPN","1359373102","CDM","258","RC","25010067","HCPCS","0990-7171-17","NDC","facility","both","1","EA","","315","122.85","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 360 MILLILITERS"
"ADULT CYCLIC 2-IN-1 CPN USING CLINIMIX BASE","1359572434","CDM","258","RC","25010067","HCPCS","0338-0180-06","NDC","facility","both","1","EA","","504","196.56","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1000 MILLILITERS"
