"ADULT 2-IN-1 PPN","1361655551","CDM","258","RC","25010067","HCPCS","0338-0644-04","NDC","facility","both","1","EA","","315","122.85","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 700 MILLILITERS"
"AFO spiral prefabricated","L1951","HCPCS","","","","","","","facility","outpatient","","","","","","Caresource","Medicare Managed Care Plan","1110.35","","","","","","","fee schedule","1037.71","2033.91","APC"
"ALBUTEROL SULFATE CONCENTRATE 5 MG/ML(0.5 %) SOLUTION FOR NEBULIZATION","1358138870","CDM","250","RC","25010065","HCPCS","73177-163-33","NDC","facility","both","1","EA","","383.5","149.56","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 20 MILLILITERS"
"ALLOPURINOL 100 MG TABLET","1358066329","CDM","250","RC","25010066","HCPCS","63739-410-10","NDC","facility","both","1","EA","","4.8","1.87","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 0.5 UNITS"
"AMANTADINE HCL 100 MG CAPSULE","1353269927","CDM","250","RC","25010066","HCPCS","50268-069-15","NDC","facility","both","1","EA","","26.8","10.45","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"AMINOCAPROIC ACID 250 MG/ML INTRAVENOUS SOLUTION","1362793104","CDM","636","RC","25010070","HCPCS","0517-9120-25","NDC","facility","both","1","EA","","146","56.94","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 34.7333333333 MILLILITERS"
"AMIODARONE 200 MG TABLET","1359230143","CDM","250","RC","25010066","HCPCS","65862-732-60","NDC","facility","both","1","EA","","26","10.14","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"AMITRIPTYLINE 50 MG TABLET","1361489013","CDM","250","RC","25010066","HCPCS","0781-1488-01","NDC","facility","both","1","EA","","5.5","2.14","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"AMLODIPINE 5 MG TABLET","1110600642","CDM","250","RC","25010066","HCPCS","50268-084-15","NDC","facility","both","1","EA","","53.4","20.83","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 2 UNITS"
"AMOXICILLIN 250 MG/5 ML ORAL SUSPENSION","1359036945","CDM","250","RC","25010066","HCPCS","0093-4155-73","NDC","facility","both","1","EA","","4.8","1.87","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 5.75 MILLILITERS"
"AMOXICILLIN 500 MG CAPSULE","1359118799","CDM","250","RC","25010066","HCPCS","57237-031-01","NDC","facility","both","1","EA","","4.8","1.87","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"AMOXICILLIN 875 MG-POTASSIUM CLAVULANATE 125 MG TABLET","1361054191","CDM","250","RC","25010066","HCPCS","42571-162-42","NDC","facility","both","1","EA","","38.8","15.13","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"AMPICILLIN 2 GRAM SOLUTION FOR INJECTION","1359001265","CDM","636","RC","25010070","HCPCS","0781-9273-95","NDC","facility","both","1","EA","","143.1","55.81","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"AMPICILLIN 2 GRAM SOLUTION FOR INJECTION","1361325216","CDM","636","RC","25010070","HCPCS","55150-114-20","NDC","facility","both","1","EA","","136","53.04","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"ANTITHROMBIN III (HUMAN) 500 (+/-) UNIT INTRAVENOUS SOLUTION","1357808463","CDM","636","RC","25010068","HCPCS","13533-603-20","NDC","facility","both","1","EA","","15428","6016.92","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1.142 UNITS"
"APREPITANT 40 MG CAPSULE","1356598712","CDM","636","RC","25010068","HCPCS","13668-591-82","NDC","facility","both","1","EA","","843.3","328.89","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"ARFORMOTEROL 15 MCG/2 ML SOLUTION FOR NEBULIZATION","1341767457","CDM","250","RC","25010065","HCPCS","70756-612-70","NDC","facility","both","1","EA","","156.2","60.92","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 2 MILLILITERS"
"ARGATROBAN 1 MG/ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS SOLUTION","1354168728","CDM","636","RC","25010068","HCPCS","0143-9377-01","NDC","facility","both","1","EA","","854","333.06","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 50 MILLILITERS"
"ARIPIPRAZOLE 5 MG TABLET","1324694592","CDM","250","RC","25010066","HCPCS","63739-070-10","NDC","facility","both","1","EA","","43.7","17.04","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"ARTIFICIAL SALIVA(CARBOXYMETHYLCELLULOSE-ELECTROLYTES) SPRAY PUMP","1359317692","CDM","250","RC","25010065","HCPCS","5529960104","NDC","facility","both","1","EA","","68.2","26.60","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 120 MILLILITERS"
"ATENOLOL 50 MG TABLET","1355647831","CDM","250","RC","25010066","HCPCS","51079-684-20","NDC","facility","both","1","EA","","4.8","1.87","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 0.5 UNITS"
"Abatacept injection","J0129","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Hmo","83.48","","","","","","","fee schedule","44.11","158.4",""
