"""Hc Tunneler 5 Pack 13""""""","27260531","CDM","272","RC","","","","","facility","both","","","","195.1","76.09","","","","","","","","","","","","","Gross Charge Type: Fsc 103 (Default)"
"""Jamshidi """"Basic"""" Bone Marrow B""","L_5705086","CDM","272","RC","","","","","facility","both","","","","365.36","142.49","","","","","","","","","","","","","Gross Charge Type: Fsc 789"
"""Micordon Sheeting 34"""" X 36"""" Ea""","L_5703361","CDM","270","RC","","","","","facility","both","","","","252.54","98.49","","","","","","","","","","","","","Gross Charge Type: Fsc 789"
"2d tte w or w/o fol w/con,fu","C8924","HCPCS","","","","","","","facility","outpatient","","","","","","Bcbs","Hmo/Pos","1330.23","","","","","","","fee schedule","354.36","1330.23","APC 338.11"
"2d tte w or w/o fol w/con,fu","C8924","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar Healthplan","Exchange","655.56","","","","","","","fee schedule","354.36","1330.23","APC"
"3-d radiotherapy plan","77295","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar Healthplan","Exchange","2600.88","","","","","","","fee schedule","623.45","5277.6","APC"
"3d bn img algor drvd fr mri","G0566","HCPCS","","","","","","","facility","outpatient","","","","","","Ambetter","Select Exchange","230.02","","","","","","","fee schedule","130.69","490.62","APC"
"3d bn img algor drvd fr mri","G0566","HCPCS","","","","","","","facility","outpatient","","","","","","Bcbs","Hmo/Pos","490.62","","","","","","","fee schedule","130.69","490.62","APC 338.11"
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION","1361238603","CDM","636","RC","25010070","HCPCS","67457-940-10","NDC","facility","both","1","EA","","384.3","149.88","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 100 MILLILITERS"
"ACETAMINOPHEN 160 MG/5 ML ORAL SUSPENSION","1358673552","CDM","250","RC","25010066","HCPCS","0000-0060-85","NDC","facility","both","1","EA","","0.6","0.23","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 5 MILLILITERS"
"ACETAMINOPHEN 325 MG TABLET","1337366012","CDM","250","RC","25010066","HCPCS","49483-340-10","NDC","facility","both","1","EA","","0.6","0.23","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 2 UNITS"
"ACETIC ACID 0.25 % IRRIGATION SOLUTION","1350400350","CDM","250","RC","25010065","HCPCS","0264-2304-10","NDC","facility","both","1","EA","","52.6","20.51","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 500 MILLILITERS"
"AFO spiral prefabricated","L1951","HCPCS","","","","","","","facility","outpatient","","","","","","Ambetter","Select Exchange","1826.37","","","","","","","fee schedule","1037.71","2033.91","APC"
