"(Stem Cemented Distal)","L_6632164","CDM","278","RC","C1776","HCPCS","","","facility","both","","","","22052.74","8600.57","","","","","","","","","","","","","Gross Charge Type: Fsc 789"
"1/2 NS (0.45% SODIUM CHLORIDE) (UAC)","1359274369","CDM","250","RC","25010065","HCPCS","0409-7985-09","NDC","facility","both","1","EA","","22.9","8.93","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 0.5 MILLILITERS"
"1st opn implt bat modulj sys","64654","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar Healthplan","Exchange","82766.4","","","","","","","fee schedule","44738.6","167946.4","APC"
"2d tte w or w/o fol w/con,fu","C8924","HCPCS","","","","","","","facility","outpatient","","","","","","Caresource","Medicare Managed Care Plan","379.16","","","","","","","fee schedule","354.36","1330.23","APC"
"5 Fr. Cath. Umbilical Artery","L_5706216","CDM","272","RC","C1751","HCPCS","","","facility","both","","","","177.41","69.19","","","","","","","","","","","","","Gross Charge Type: Fsc 789"
"5% dextrose in lac ringers","J7121","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Hmo","15.51","","","","","","","fee schedule","15.51","15.51",""
"AAS 3 % NO.2 PEDI-D5W-CALCIUM 3.75 MEQ-HEPARIN 125 UNIT/250 ML IV SOLN","1353941195","CDM","258","RC","25010067","HCPCS","71285-0419-1","NDC","facility","both","1","EA","","341.6","133.22","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 250 MILLILITERS"
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION","1358724019","CDM","636","RC","25010070","HCPCS","55150-307-24","NDC","facility","both","1","EA","","149.5","58.30","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 100 MILLILITERS"
"ACETAMINOPHEN 160 MG/5 ML ORAL LIQUID (WRAPPED)","1362186403","CDM","250","RC","25010066","HCPCS","0904-7445-20","NDC","facility","both","1","EA","","0.6","0.23","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 3 MILLILITERS"
"ACETAMINOPHEN 650 MG RECTAL SUPPOSITORY","1359069973","CDM","250","RC","25010066","HCPCS","45802-730-33","NDC","facility","both","1","EA","","1.2","0.47","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"ACETAZOLAMIDE 250 MG TABLET","1358201195","CDM","250","RC","25010066","HCPCS","51672-4023-1","NDC","facility","both","1","EA","","44.3","17.28","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 2 UNITS"
"ACETAZOLAMIDE ER 500 MG CAPSULE,EXTENDED RELEASE","1356370066","CDM","250","RC","25010066","HCPCS","16729-331-01","NDC","facility","both","1","EA","","98.9","38.57","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 3 UNITS"
"ACETIC ACID 2% SOLUTION","1361082256","CDM","250","RC","25010065","HCPCS","0000-0050-34","NDC","facility","both","1","EA","","32.6","12.71","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 120 MILLILITERS"
"ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION","1352101871","CDM","636","RC","25010068","HCPCS","55150-259-30","NDC","facility","both","1","EA","","307.5","119.92","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 16.9 MILLILITERS"
"ACYCLOVIR 800 MG TABLET","1346685278","CDM","250","RC","25010066","HCPCS","23155-228-01","NDC","facility","both","1","EA","","28.2","11.00","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"AFO supramalleolar custom","L1907","HCPCS","","","","","","","facility","outpatient","","","","","","Caresource","Medicare Managed Care Plan","743.94","","","","","","","fee schedule","695.27","1362.73","APC"
"ALLOPURINOL 100 MG TABLET","1342262649","CDM","250","RC","25010066","HCPCS","0591-5543-01","NDC","facility","both","1","EA","","11.2","4.37","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 3 UNITS"
"ALPRAZOLAM 0.5 MG TABLET","1234335225","CDM","250","RC","25010066","HCPCS","0228-2029-10","NDC","facility","both","1","EA","","14.4","5.62","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 2 UNITS"
"ALUMINUM-MAG HYDROXIDE-SIMETHICONE 200 MG-200 MG-20 MG/5 ML ORAL SUSP","1343693569","CDM","250","RC","25010065","HCPCS","63739-159-10","NDC","facility","both","1","EA","","8","3.12","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 30 MILLILITERS"
"AMIODARONE 200 MG TABLET","1349101683","CDM","250","RC","25010066","HCPCS","63739-051-10","NDC","facility","both","1","EA","","4.8","1.87","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
