"1/2 NAAC (0.45% SODIUM ACETATE) WITH 1 UNIT/ML HEPARIN UAC/PAL","1356070944","CDM","250","RC","25010065","HCPCS","0000-0070-04","NDC","facility","both","1","EA","","35.9","14.00","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 50 MILLILITERS"
"2019 nCoV diagnostic P","U0001","HCPCS","","","","","","","facility","outpatient","","","","","","Aetna","Medicare Managed Care Plan","35.92","","","","","","","fee schedule","35.92","131.83","Laboratory"
"2d tee w or w/o fol w/con,in","C8925","HCPCS","","","","","","","facility","outpatient","","","","","","Ambetter","Select Exchange","1401.38","","","","","","","fee schedule","796.24","2989.04","APC"
"3-d radiotherapy plan","77295","HCPCS","","","","","","","facility","outpatient","","","","","","Aetna","Medicare Managed Care Plan","1405.88","","","","","","","fee schedule","623.45","5277.6","APC"
"9 BOTTLE, PLASTIC in 1 CARTON (0338-0048-05)  / 1500 mL in 1 BOTTLE, PLASTIC","NDC00338004805_A4649_272","CDM","272","RC","A4649","HCPCS","00338004805","NDC","facility","both","1","EA","","53.71","20.95","","","","","","","","","","","","","Gross Charge Type: Fsc 103 (Default) | NDC EA = 1 EA"
"ACETAMINOPHEN 160 MG/5 ML ORAL LIQUID (WRAPPED)","1317274655","CDM","250","RC","25010066","HCPCS","39328-034-50","NDC","facility","both","1","EA","","9.5","3.70","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 20.3125 MILLILITERS"
"ACETAMINOPHEN 325 MG TABLET","1341797486","CDM","250","RC","25010066","HCPCS","57896-102-01","NDC","facility","both","1","EA","","0.6","0.23","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 2 UNITS"
"ACETAMINOPHEN 500 MG TABLET","1353554801","CDM","250","RC","25010066","HCPCS","50580-457-11","NDC","facility","both","1","EA","","0.6","0.23","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 2 UNITS"
"ACETAZOLAMIDE 250 MG TABLET","1103084022","CDM","250","RC","25010066","HCPCS","72578-150-01","NDC","facility","both","1","EA","","10.6","4.13","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 0.5 UNITS"
"ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION","1353933778","CDM","636","RC","25010068","HCPCS","25021-812-30","NDC","facility","both","1","EA","","515.2","200.93","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 18.1 MILLILITERS"
"ADULT 2-IN-1 CPN USING CLINIMIX BASE","1354022545","CDM","258","RC","25010067","HCPCS","0338-0206-04","NDC","facility","both","1","EA","","504","196.56","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1200 MILLILITERS"
"ADULT 2-IN-1 CPN USING CLINIMIX BASE","1355851658","CDM","258","RC","25010067","HCPCS","0338-1091-04","NDC","facility","both","1","EA","","504","196.56","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 2000 MILLILITERS"
"ADULT 2-IN-1 CPN USING CLINIMIX BASE","1359191438","CDM","258","RC","25010067","HCPCS","0338-1099-04","NDC","facility","both","1","EA","","504","196.56","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 2000 MILLILITERS"
"ADULT CYCLIC 2-IN-1 CPN","1354453958","CDM","258","RC","25010067","HCPCS","0338-0644-06","NDC","facility","both","1","EA","","504","196.56","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1050 MILLILITERS"
"AFLIBERCEPT 2 MG/0.05 ML INTRAVITREAL SOLUTION FOR INJECTION","1333355621","CDM","636","RC","25010068","HCPCS","61755-005-02","NDC","facility","both","1","EA","","13216.9","5154.59","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 0.05 MILLILITERS"
"ALPHA-1 PROTEINASE INHIBITOR (HUMAN) 1,000 MG (WRAPPED)","1357903718","CDM","636","RC","25010068","HCPCS","13533-705-01","NDC","facility","both","1","EA","","19107.6","7451.96","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 5190 MILLIGRAMS"
"ALPRAZOLAM 1 MG TABLET","1361718838","CDM","250","RC","25010066","HCPCS","0781-1079-01","NDC","facility","both","1","EA","","8.9","3.47","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"ALTEPLASE 2 MG INTRA-CATHETER SOLUTION","1363354179","CDM","636","RC","25010068","HCPCS","50242-041-64","NDC","facility","both","1","EA","","790.7","308.37","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 0.5 UNITS"
"ALUMINUM-MAG HYDROXIDE-SIMETHICONE 400 MG-400 MG-40 MG/5 ML ORAL SUSP","1352491005","CDM","250","RC","25010065","HCPCS","0121-1762-30","NDC","facility","both","1","EA","","19.2","7.49","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 30 MILLILITERS"
"AMINOLEVULINIC ACID HCL 30 MG/ML ORAL SOLUTION","1352839851","CDM","250","RC","25010065","HCPCS","59137-231-01","NDC","facility","both","1","EA","","20101","7839.39","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 0.82 UNITS"
"AMIODARONE 200 MG TABLET","1352449449","CDM","250","RC","25010066","HCPCS","60687-437-01","NDC","facility","both","1","EA","","4.8","1.87","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"AMMONIUM LACTATE 12 % LOTION","1353145237","CDM","250","RC","25010066","HCPCS","0904598426","NDC","facility","both","1","EA","","29.4","11.47","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 225 GRAMS"
"AMOXICILLIN 250 MG CAPSULE","1352645755","CDM","250","RC","25010066","HCPCS","0093-3107-01","NDC","facility","both","1","EA","","4.8","1.87","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 2 UNITS"
