"""Infusion Y-Set 22G X 5/8"""" Bent""","L_5701840","CDM","270","RC","","","","","facility","both","","","","62.1","24.22","","","","","","","","","","","","","Gross Charge Type: Fsc 789"
"""Pouch Drainable 12"""" 1-3/4 Tran""","L_5707245","CDM","270","RC","","","","","facility","both","","","","219.42","85.57","","","","","","","","","","","","","Gross Charge Type: Fsc 789"
"""System Trach 8Fr Closed """"Y"""" Ne""","L_5706244","CDM","272","RC","","","","","facility","both","","","","285.86","111.49","","","","","","","","","","","","","Gross Charge Type: Fsc 789"
"2d tte w or w/o fol w/con,co","C8923","HCPCS","","","","","","","facility","outpatient","","","","","","Aetna","Medicare Managed Care Plan","796.24","","","","","","","fee schedule","796.24","2989.04","APC"
"2d tte w or w/o fol w/con,fu","C8924","HCPCS","","","","","","","facility","outpatient","","","","","","Caresource","Exchange","694.54","","","","","","","fee schedule","354.36","1330.23","APC"
"36 Mm Humeral Liner","L_6631573","CDM","278","RC","C1776","HCPCS","","","facility","both","","","","4694.76","1830.96","","","","","","","","","","","","","Gross Charge Type: Fsc 789"
"3d bn img algor drvd fr mri","G0566","HCPCS","","","","","","","facility","outpatient","","","","","","Bcbs","Medicare Managed Care Plan","133.31","","","","","","","fee schedule","130.69","490.62","APC"
"5% dextrose/water","J7060","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Hmo","3.43","","","","","","","fee schedule","3.43","3.43",""
"5% dextrose/water","J7060","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Ppo","3.43","","","","","","","fee schedule","3.43","3.43",""
"ACETAMINOPHEN 160 MG/5 ML ORAL LIQUID (DYE-FREE)","1359426078","CDM","250","RC","25010066","HCPCS","58657-525-16","NDC","facility","both","1","EA","","0.9","0.35","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 5 MILLILITERS"
"ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION","1352114415","CDM","636","RC","25010070","HCPCS","23155-313-31","NDC","facility","both","1","EA","","339.1","132.25","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"ACETYLCYSTEINE 100 MG/ML (10 %) SOLUTION","1351369889","CDM","250","RC","25010065","HCPCS","0517-7504-25","NDC","facility","both","1","EA","","83.4","32.53","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 4 MILLILITERS"
"ACYCLOVIR 400 MG TABLET","1356534851","CDM","250","RC","25010066","HCPCS","31722-777-01","NDC","facility","both","1","EA","","16.7","6.51","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"ACYCLOVIR 5 % TOPICAL OINTMENT","1355647242","CDM","250","RC","25010066","HCPCS","16714-885-02","NDC","facility","both","1","EA","","5831","2274.09","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 30 GRAMS"
"ACYCLOVIR 5 % TOPICAL OINTMENT","1362732699","CDM","250","RC","25010066","HCPCS","65162-835-94","NDC","facility","both","1","EA","","3058.9","1192.97","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 15 GRAMS"
"ALLOPURINOL 100 MG TABLET","1238038835","CDM","250","RC","25010066","HCPCS","16714-576-03","NDC","facility","both","1","EA","","4.8","1.87","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"ALLOPURINOL 100 MG TABLET","1351744230","CDM","250","RC","25010066","HCPCS","0904-7041-61","NDC","facility","both","1","EA","","5.1","1.99","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 2 UNITS"
"AMANTADINE HCL 100 MG CAPSULE","1356357481","CDM","250","RC","25010066","HCPCS","0781-2048-01","NDC","facility","both","1","EA","","15.5","6.04","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"AMINO ACID 3 % PEDI-D10W-CALC 3.75 MEQ-HEPARIN 125 UNIT/250 ML IV SOLN","1327163430","CDM","258","RC","25010067","HCPCS","72196-0420-1","NDC","facility","both","1","EA","","358.7","139.89","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 250 MILLILITERS"
"AMITRIPTYLINE 10 MG TABLET","1361417286","CDM","250","RC","25010066","HCPCS","72888-067-01","NDC","facility","both","1","EA","","4.8","1.87","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"AMPHOTERICIN B LIPOSOME 50 MG INTRAVENOUS SUSPENSION","1350102288","CDM","636","RC","25010068","HCPCS","0469-3051-30","NDC","facility","both","1","EA","","21298.8","8306.53","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 9.6 UNITS"
"AMPHOTERICIN B LIPOSOME 50 MG INTRAVENOUS SUSPENSION","1354598841","CDM","636","RC","25010068","HCPCS","55150-365-01","NDC","facility","both","1","EA","","2130.8","831.01","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"AMPICILLIN-SULBACTAM 1.5 GRAM SOLUTION FOR INJECTION","1356169934","CDM","636","RC","25010070","HCPCS","55150-116-20","NDC","facility","both","1","EA","","66.1","25.78","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 0.459 UNITS"
"AMPICILLIN-SULBACTAM 3 GRAM SOLUTION FOR INJECTION","1355657449","CDM","636","RC","25010070","HCPCS","71288-032-21","NDC","facility","both","1","EA","","69.8","27.22","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"AMPICILLIN-SULBACTAM 3 GRAM SOLUTION FOR INJECTION","1361669305","CDM","636","RC","25010070","HCPCS","55150-117-20","NDC","facility","both","1","EA","","124.7","48.63","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"ARGININE 25 MG-LYSINE 25MG/ML IN STERILE WATER INTRAVENOUS SOLUTION","1359892766","CDM","250","RC","25010067","HCPCS","71266-8020-1","NDC","facility","both","1","EA","","2138.1","833.86","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1000 MILLILITERS"
"ASCORBIC ACID (VITAMIN C) 1,000 MG TABLET","1350870784","CDM","250","RC","25010066","HCPCS","4329222327","NDC","facility","both","1","EA","","4.8","1.87","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"ATENOLOL 25 MG TABLET","1361831650","CDM","250","RC","25010066","HCPCS","51079-759-20","NDC","facility","both","1","EA","","4.8","1.87","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 0.5 UNITS"
"ATOMOXETINE 40 MG CAPSULE","1301218098","CDM","250","RC","25010066","HCPCS","60687-326-25","NDC","facility","both","1","EA","","58.2","22.70","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"ATORVASTATIN 20 MG TABLET","1348769233","CDM","250","RC","25010066","HCPCS","50268-094-15","NDC","facility","both","1","EA","","4.8","1.87","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
"ATORVASTATIN 40 MG TABLET","1352889958","CDM","250","RC","25010066","HCPCS","0904-6292-61","NDC","facility","both","1","EA","","4.8","1.87","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 UNITS"
