"3D RENDERING WITH INTERPRETATION AND REPORTING OF COMPUTED TOMOGRAPHY, MAGNETIC RESONANCE IMAGING, ULTRASOUND, OR OTHER TOMOGRAPHIC MODALITY WITH IMAGE POSTPROCESSING UNDER CONCURRENT SUPERVISION; NOT REQUIRING IMAGE POSTPROCESSING ON AN INDEPENDENT WORKSTATION",361,RC,76376,CPT,,,,,facility,outpatient,,,,,Blue Cross Blue Shield,City of Dallas,,50.65,,,,,,,26.66,56.25,fee schedule,
"ABDOMINAL LYMPHADENECTOMY, REGIONAL, INCLUDING CELIAC, GASTRIC, PORTAL, PERIPANCREATIC, WITH OR WITHOUT PARA-AORTIC AND VENA CAVAL NODES (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)",360,RC,38747,CPT,,,,,facility,outpatient,,,,,University of Mary Hardin-Baylor,Commercial,,,60.00,,,,,0,473.23,8280.00,percent of total billed charges,"Not to exceed $14,226.; there were no paid claims found for this combination of service, payer, and plan within the prior 12-15 months of this file's publishing"
"ABLATION THERAPY FOR REDUCTION OR ERADICATION OF 1 OR MORE BONE TUMORS (EG, METASTASIS) INCLUDING ADJACENT SOFT TISSUE WHEN INVOLVED BY TUMOR EXTENSION, PERCUTANEOUS, INCLUDING IMAGING GUIDANCE WHEN PERFORMED; CRYOABLATION",361,RC,20983,CPT,,,,,facility,outpatient,,,,,Superior Health Plan,Medicare,,7653.74,,,,,,,6924.82,21355.56,fee schedule,
"ABLATION THERAPY FOR REDUCTION OR ERADICATION OF 1 OR MORE BONE TUMORS (EG, METASTASIS) INCLUDING ADJACENT SOFT TISSUE WHEN INVOLVED BY TUMOR EXTENSION, PERCUTANEOUS, INCLUDING IMAGING GUIDANCE WHEN PERFORMED; RADIOFREQUENCY",361,RC,20982,CPT,,,,,facility,outpatient,,,,,United Healthcare,Commercial Broad,,8568.00,,,,,,,2398.52,37869.50,case rate,Multi proc logic: 100/50/25/0
"ABLATION THERAPY FOR REDUCTION OR ERADICATION OF 1 OR MORE BONE TUMORS (EG, METASTASIS) INCLUDING ADJACENT SOFT TISSUE WHEN INVOLVED BY TUMOR EXTENSION, PERCUTANEOUS, INCLUDING IMAGING GUIDANCE WHEN PERFORMED; RADIOFREQUENCY",361,RC,20982,CPT,,,,,facility,outpatient,,,,,WellPoint (fka Amerigroup),CHIP/Medicaid,,2398.52,,,,,,,2398.52,37869.50,fee schedule,Some rates may differ based on patient age.
"ABLATION THERAPY FOR REDUCTION OR ERADICATION OF 1 OR MORE PULMONARY TUMOR(S) INCLUDING PLEURA OR CHEST WALL WHEN INVOLVED BY TUMOR EXTENSION, PERCUTANEOUS, INCLUDING IMAGING GUIDANCE WHEN PERFORMED, UNILATERAL; CRYOABLATION",361,RC,32994,CPT,,,,,facility,outpatient,,,,,Blue Cross Blue Shield,Blue Premier/High Performance Network/My BlueHealth,,11552.57,,,,,,,7038.00,25500.18,case rate,Multiple procedure logic: 100/50/0
"ABLATION THERAPY FOR REDUCTION OR ERADICATION OF 1 OR MORE PULMONARY TUMOR(S) INCLUDING PLEURA OR CHEST WALL WHEN INVOLVED BY TUMOR EXTENSION, PERCUTANEOUS, INCLUDING IMAGING GUIDANCE WHEN PERFORMED, UNILATERAL; CRYOABLATION",361,RC,32994,CPT,,,,,facility,outpatient,,,,,Superior Health Plan,Medicare,,11212.18,,,,,,,7038.00,25500.18,fee schedule,
"ABLATION, 1 OR MORE LIVER TUMOR(S), PERCUTANEOUS, CRYOABLATION",361,RC,47383,CPT,,,,,facility,outpatient,,,,,HealthSpring,Medicare Advantage,,11212.18,,,,,,,2813.82,25500.18,fee schedule,
"ABLATION, 1 OR MORE LIVER TUMOR(S), PERCUTANEOUS, RADIOFREQUENCY",361,RC,47382,CPT,,,,,facility,outpatient,,,,,HealthSpring,Medicare Advantage,,6376.73,,,,,,,1888.85,17256.34,fee schedule,
"ABLATION, 1 OR MORE LIVER TUMOR(S), PERCUTANEOUS, RADIOFREQUENCY",361,RC,47382,CPT,,,,,facility,outpatient,,,,,Sedgwick,Preferred Network,,9079.25,,,,,,,1888.85,17256.34,fee schedule,"If facility does not send in separate implant invoices, reimbursement is instead at 230% Medicare payment rate."
"ABLATION, 1 OR MORE RENAL TUMOR(S), PERCUTANEOUS, UNILATERAL, RADIOFREQUENCY",360,RC,50592,CPT,,,,,facility,outpatient,,,,,Baylor Scott & White Health Plan,Medicare Advantage,,5769.43,,,,,,,1888.85,17256.34,fee schedule,
"ABLATION, RENAL TUMOR(S), UNILATERAL, PERCUTANEOUS, CRYOTHERAPY",360,RC,50593,CPT,,,,,facility,outpatient,,,,,Mark Cuban,Commercial,,25500.18,,,,,,,4645.39,30034.80,fee schedule,
"ABLATION, SOFT TISSUE OF INFERIOR TURBINATES, UNILATERAL OR BILATERAL, ANY METHOD (EG, ELECTROCAUTERY, RADIOFREQUENCY ABLATION, OR TISSUE VOLUME REDUCTION); SUPERFICIAL",360,RC,30801,CPT,,,,,facility,outpatient,,,,,United Healthcare,Charter,,2850.00,,,,,,,420.64,4817.14,case rate,Multi proc logic: 100/50/25/0
"ABLATION, SOFT TISSUE OF INFERIOR TURBINATES, UNILATERAL OR BILATERAL, ANY METHOD (EG, ELECTROCAUTERY, RADIOFREQUENCY ABLATION, OR TISSUE VOLUME REDUCTION); SUPERFICIAL",360,RC,30801,CPT,,,,,facility,outpatient,,,,,WellPoint (fka Amerigroup),CHIP/Medicaid,,420.64,,,,,,,420.64,4817.14,fee schedule,Some rates may differ based on patient age.
"ACETABULOPLASTY; RESECTION, FEMORAL HEAD (EG, GIRDLESTONE PROCEDURE)",360,RC,27122,CPT,,,,,facility,outpatient,,,,,TriWest,Community Care Network,,7289.28,,,,,,,1934.37,15671.95,fee schedule,
"ACROMIOPLASTY OR ACROMIONECTOMY, PARTIAL, WITH OR WITHOUT CORACOACROMIAL LIGAMENT RELEASE",360,RC,23130,CPT,,,,,facility,outpatient,,,,,Superior Ambetter,Ambetter Exchange,,7066.86,,,,,,,1088.27,9772.70,fee schedule,
