"2d tte w or w/o fol w/con,co","C8923","HCPCS","","","","","facility","outpatient","","","","","","Clover Health","Medicare Managed Care Plan","743.69","","","","","","","fee schedule","729.11","2472.37","APC"
"2vhpv vaccine 3 dose im","90650","HCPCS","","","","","facility","outpatient","","","","","","Cigna","Marketplace Exchange","222.75","","","","","","","fee schedule","121.01","326.17",""
"4-bar link above knee w/swng","L5614","HCPCS","","","","","facility","outpatient","","","","","","Aetna","Medicare Managed Care Plan","2089.13","","","","","","","fee schedule","2089.13","2298.04","APC"
"ABACAVIR 300 MG TABLET","65862-073-60","NDC","","","","","facility","both","1","EA","","63","31.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY","45802-732-00","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 160 MG/5 ML ORAL LIQUID","0000-0020-12","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 10.15 ML"
"ACETAMINOPHEN 160 MG/5 ML ORAL SUSPENSION","0000-0006-93","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 3.125 ML"
"ACETAMINOPHEN 500 MG TABLET","50580-457-11","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACYCLOVIR 400 MG TABLET","68382-791-01","NDC","","","","","facility","both","1","EA","","16","8","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION","63323-325-10","NDC","","","","","facility","both","1","EA","","136","68","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 10 ML"
"ALBUTEROL SULFATE 2.5 MG/3 ML (0.083 %) SOLUTION FOR NEBULIZATION","0378-8270-91","NDC","","","","","facility","both","1","EA","","15","7.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 3 ML"
