"1st psyc collab care mgmt","99492","HCPCS","","","","","facility","outpatient","","","","","","Aetna","Medicare Managed Care Plan","94.49","","","","","","","fee schedule","53.95","145.41","APC"
"2019 nCoV diagnostic P","U0001","HCPCS","","","","","facility","outpatient","","","","","","Absolute Total Care","Ambetter Exchange","38.61","","","","","","","fee schedule","22.58","60.86","APC"
"2d tte w or w/o fol w/con,fu","C8924","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Bluechoice Exchange","965.57","","","","","","","fee schedule","324.48","2472.37",""
"2d tte w or w/o fol w/con,fu","C8924","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","State Other Commercial Plan","1679.94","","","","","","","fee schedule","324.48","2472.37",""
"5% dextrose/water","J7060","HCPCS","","","","","facility","outpatient","","","","","","Cigna","Marketplace Exchange","2.73","","","","","","","fee schedule","2.73","3.87",""
"ACETAMINOPHEN 325 MG TABLET","45049660","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 500 MG TABLET","1093942333","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 650 MG RECTAL SUPPOSITORY","45802-730-33","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACETAZOLAMIDE 250 MG TABLET","23155-288-01","NDC","","","","","facility","both","1","EA","","22","11","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"AFLIBERCEPT 2 MG/0.05 ML INTRAVITREAL SYRINGE","61755-005-01","NDC","","","","","facility","both","1","EA","","5148","2574","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 0.05 ML"
"AFO supramalleolar custom","L1907","HCPCS","","","","","facility","outpatient","","","","","","Molina","Exchange","764.8","","","","","","","fee schedule","695.27","764.8","APC"
"ALBUMIN, HUMAN 25 % INTRAVENOUS SOLUTION","68516-5216-7","NDC","","","","","facility","both","1","EA","","194","97","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 50 ML"
"ALBUMIN, HUMAN 25 % INTRAVENOUS SOLUTION","68516-5216-8","NDC","","","","","facility","both","1","EA","","383","191.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 100 ML"
"ALBUTEROL SULFATE HFA 90 MCG/ACTUATION AEROSOL INHALER","59310-579-22","NDC","","","","","facility","both","1","EA","","303","151.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 8.5 G"
"ALLOPURINOL 100 MG TABLET","60687-677-01","NDC","","","","","facility","both","1","EA","","8","4","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ALPROSTADIL-PAPAVERINE-CHLORP INJ","0000-0004-43","NDC","","","","","facility","both","1","EA","","1696","848","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 208 ML"
"ALUMINUM HYDROXIDE GEL 320 MG/5 ML ORAL SUSPENSION","0536-0091-85","NDC","","","","","facility","both","1","EA","","52","26","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 473 ML"
"ALUMINUM-MAG HYDROXIDE-SIMETHICONE 200 MG-200 MG-20 MG/5 ML ORAL SUSP","0121-1761-30","NDC","","","","","facility","both","1","EA","","27","13.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 30 ML"
"AMILORIDE 5 MG-HYDROCHLOROTHIAZIDE 50 MG TABLET","0555-0483-02","NDC","","","","","facility","both","1","EA","","12","6","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"AMINO ACIDS 82 GRAM-328 KCAL/100 GRAM ORAL POWDER","4973500124","NDC","","","","","facility","both","1","EA","","410","205","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 200 G"
"AMINOCAPROIC ACID 250 MG/ML (25 %) ORAL SOLUTION","17478-447-08","NDC","","","","","facility","both","1","EA","","6828","3414","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 236.5 ML"
"AMINOCAPROIC ACID 500 MG TABLET","62559-225-30","NDC","","","","","facility","both","1","EA","","135","67.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"AMIODARONE 200 MG TABLET","68084-371-01","NDC","","","","","facility","both","1","EA","","9","4.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
