"3-d radiotherapy plan","77295","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Bluechoice Exchange","1444.69","","","","","","","fee schedule","1287.35","3699.18",""
"3-d radiotherapy plan","77295","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","State Other Commercial Plan","2513.28","","","","","","","fee schedule","1287.35","3699.18",""
"4vhpv vaccine 3 dose im","90649","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","State Other Commercial Plan","224.4","","","","","","","fee schedule","122.45","330.03",""
"ABACAVIR 300 MG TABLET","0904-6874-04","NDC","","","","","facility","both","1","EA","","66","33","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ABOBOTULINUMTOXINA 300 UNIT INTRAMUSCULAR SOLUTION","15054-0530-6","NDC","","","","","facility","both","1","EA","","2149","1074.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL LIQUID WRAPPER","0121-0657-05","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 5 ML"
"ACETYLCYSTEINE 200 MG/ML (20 %) ORAL LIQUID","0000-0010-88","NDC","","","","","facility","both","1","EA","","236","118","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 100 ML"
"ACYCLOVIR 800 MG TABLET","60505-5307-1","NDC","","","","","facility","both","1","EA","","30","15","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACYCLOVIR 800 MG TABLET","60505-5307-5","NDC","","","","","facility","both","1","EA","","30","15","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ADENOSINE (DIAGNOSTIC) 3 MG/ML INTRAVENOUS SOLUTION","16714-556-01","NDC","","","","","facility","both","1","EA","","431","215.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 20 ML"
"ALLOPURINOL 100 MG TABLET","62584-988-11","NDC","","","","","facility","both","1","EA","","8","4","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ALLOPURINOL 300 MG TABLET","16714-042-10","NDC","","","","","facility","both","1","EA","","11","5.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ALPRAZOLAM 0.25 MG TABLET","59762-3719-1","NDC","","","","","facility","both","1","EA","","9","4.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ALPRAZOLAM 0.5 MG TABLET","59762-3720-1","NDC","","","","","facility","both","1","EA","","10","5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ALPRAZOLAM 1 MG/ML ORAL CONCENTRATE","0054-3068-44","NDC","","","","","facility","both","1","EA","","377","188.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 30 ML"
"ALTEPLASE 1 MG/ML INFUSION 6 ML (NEONATAL/PEDS SYRINGE)","0000-9002-46","NDC","","","","","facility","both","1","EA","","1796","898","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 6 ML"
"ALTEPLASE 100 MG INTRAVENOUS SOLUTION","50242-085-25","NDC","","","","","facility","both","1","EA","","23872","11936","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ALUMINUM-MAG HYDROXIDE-SIMETHICONE 200 MG-200 MG-20 MG/5 ML ORAL SUSP","0536-1317-83","NDC","","","","","facility","both","1","EA","","30","15","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 355 ML"
