"5% dextrose/normal saline","J7042","HCPCS","","","","","facility","outpatient","","","","","","Unitedhealthcare","All Commercial Plans","2.43","","","","","","","fee schedule","1.71","2.43",""
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION","67457-940-10","NDC","","","","","facility","both","1","EA","","265","132.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 100 ML"
"ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY","51672-2115-2","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL LIQUID WRAPPER","0000-9043-69","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 5 ML"
"ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL LIQUID WRAPPER","81033-002-50","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 5 ML"
"ACETAMINOPHEN 500 MG TABLET","49348-042-14","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 500 MG TABLET","71399-8022-2","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 500 MG/15 ML ORAL LIQUID","0904-5847-09","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 237 ML"
"ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION","23155-831-31","NDC","","","","","facility","both","1","EA","","165","82.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION","66220-207-30","NDC","","","","","facility","both","1","EA","","185","92.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 30 ML"
